Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-12T10:47:00Z,2012-02-12T17:55:00Z,007:08,720,Adapter,ID4167,S,0,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-12T19:55:00Z,2012-02-13T01:06:00Z,005:11,720,Adapter,ID4932,S,1,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-13T01:07:00Z,2012-02-13T06:52:00Z,005:45,720,Adapter,ID4932,D,13,0,0,
Case 87,Turning & Milling Q.C.,Quality Check 1,2012-02-13T06:50:00Z,2012-02-13T08:01:00Z,001:11,720,Adapter,ID4618,D,0,1,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-13T15:57:00Z,2012-02-13T17:12:00Z,000:00,720,Adapter,ID0997,D,22,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-13T16:26:00Z,2012-02-13T20:00:00Z,003:34,720,Adapter,ID4429,D,8,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-13T19:49:00Z,2012-02-13T23:44:00Z,003:55,720,Adapter,ID4932,D,9,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-13T23:43:00Z,2012-02-14T06:41:00Z,006:58,720,Adapter,ID4794,D,16,0,0,
Case 87,Turning & Milling Q.C.,Quality Check 1,2012-02-14T07:28:00Z,2012-02-14T07:46:00Z,000:18,720,Adapter,ID4618,D,0,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-14T08:03:00Z,2012-02-14T17:46:00Z,009:43,720,Adapter,ID0997,D,26,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-14T17:59:00Z,2012-02-14T19:52:00Z,001:53,720,Adapter,ID4429,D,5,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-14T19:54:00Z,2012-02-15T06:42:00Z,010:48,720,Adapter,ID4932,D,25,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-15T06:49:00Z,2012-02-15T17:49:00Z,011:00,720,Adapter,ID4167,D,22,0,0,
Case 87,Turning & Milling Q.C.,Quality Check 1,2012-02-15T06:54:00Z,2012-02-15T07:26:00Z,000:32,720,Adapter,ID4618,D,0,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-15T18:20:00Z,2012-02-15T19:51:00Z,001:31,720,Adapter,ID4429,D,4,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-15T19:51:00Z,2012-02-15T23:36:00Z,003:45,720,Adapter,ID4932,D,10,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-15T23:47:00Z,2012-02-16T06:39:00Z,006:52,720,Adapter,ID4794,D,18,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-16T06:50:00Z,2012-02-16T08:36:00Z,001:46,720,Adapter,ID4618,D,0,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-16T07:09:00Z,2012-02-16T16:06:00Z,008:57,720,Adapter,ID4167,D,24,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-16T20:02:00Z,2012-02-17T06:51:00Z,010:49,720,Adapter,ID4932,D,25,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-17T05:21:00Z,2012-02-17T11:21:00Z,006:00,720,Adapter,ID4167,D,17,0,0,
Case 87,Turning & Milling Q.C.,Quality Check 1,2012-02-17T07:00:00Z,2012-02-17T07:35:00Z,000:35,720,Adapter,ID4618,D,0,1,0,
Case 87,Turning & Milling Q.C.,Quality Check 1,2012-02-17T11:17:00Z,2012-02-17T11:23:00Z,000:06,720,Adapter,ID4618,D,245,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-18T13:15:00Z,2012-02-18T23:15:00Z,010:00,720,Adapter,ID4529,D,28,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-18T22:10:00Z,2012-02-19T06:48:00Z,008:38,720,Adapter,ID4641,D,15,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-19T06:54:00Z,2012-02-19T16:04:00Z,009:10,720,Adapter,ID4932,D,36,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-19T16:25:00Z,2012-02-19T23:46:00Z,007:21,720,Adapter,ID4167,D,20,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-19T23:47:00Z,2012-02-20T06:16:00Z,006:29,720,Adapter,ID4529,D,18,0,0,
Case 87,Turning & Milling Q.C.,Quality Check 1,2012-02-20T06:50:00Z,2012-02-20T07:17:00Z,000:27,720,Adapter,ID4618,D,0,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-20T07:00:00Z,2012-02-20T15:57:00Z,008:57,720,Adapter,ID4932,D,24,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-20T15:58:00Z,2012-02-20T23:45:00Z,007:47,720,Adapter,ID4167,D,15,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-21T03:00:00Z,2012-02-21T06:25:00Z,003:25,720,Adapter,ID4529,D,18,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-21T06:47:00Z,2012-02-21T17:51:00Z,011:04,720,Adapter,ID4932,D,28,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-21T17:53:00Z,2012-02-21T23:42:00Z,005:49,720,Adapter,ID4167,D,15,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-22T00:37:00Z,2012-02-22T06:38:00Z,006:01,720,Adapter,ID4529,D,17,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-22T06:54:00Z,2012-02-22T07:42:00Z,000:48,720,Adapter,ID4932,D,0,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-22T07:42:00Z,2012-02-22T15:58:00Z,008:16,720,Adapter,ID4794,D,23,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-22T18:12:00Z,2012-02-22T23:45:00Z,005:33,720,Adapter,ID4167,D,18,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-22T23:50:00Z,2012-02-23T06:30:00Z,006:40,720,Adapter,ID4529,D,18,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-23T06:52:00Z,2012-02-23T15:48:00Z,008:56,720,Adapter,ID4932,D,22,0,0,
Case 87,Turning & Milling Q.C.,Quality Check 1,2012-02-23T06:53:00Z,2012-02-23T07:45:00Z,000:52,720,Adapter,ID4618,D,0,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-23T16:23:00Z,2012-02-23T23:43:00Z,007:20,720,Adapter,ID4167,D,19,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-24T00:09:00Z,2012-02-24T06:31:00Z,006:22,720,Adapter,ID4529,D,18,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-24T07:01:00Z,2012-02-24T12:55:00Z,005:54,720,Adapter,ID4932,D,10,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-25T10:00:00Z,2012-02-25T20:15:00Z,010:15,720,Adapter,ID4794,D,25,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-25T13:07:00Z,2012-02-26T09:57:00Z,020:50,720,Adapter,ID4932,D,25,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-25T22:17:00Z,2012-02-26T06:42:00Z,008:25,720,Adapter,ID4794,D,20,0,0,
Case 87,Turning & Milling Q.C.,Quality Check 1,2012-02-26T10:44:00Z,2012-02-26T14:46:00Z,004:02,720,Adapter,ID4618,D,0,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-26T20:12:00Z,2012-02-27T01:16:00Z,005:04,720,Adapter,ID4794,D,38,0,0,
Case 87,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-27T07:39:00Z,2012-02-27T08:37:00Z,000:58,720,Adapter,ID4882,D,200,0,0,
Case 87,Lapping - Machine 1,Machine 1 - Lapping,2012-02-27T08:38:00Z,2012-02-27T10:04:00Z,001:26,720,Adapter,ID0998,D,10,0,0,
Case 87,Lapping - Machine 1,Machine 1 - Lapping,2012-02-27T10:05:00Z,2012-02-27T11:27:00Z,007:42,720,Adapter,ID0998,D,234,0,0,
Case 87,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-27T10:05:00Z,2012-02-27T17:47:00Z,001:22,720,Adapter,ID4445,S,0,0,0,
Case 87,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-27T11:28:00Z,2012-02-27T17:48:00Z,006:20,720,Adapter,ID4445,D,76,0,0,
Case 87,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-27T13:12:00Z,2012-02-27T13:13:00Z,000:01,720,Adapter,ID0998,D,44,0,0,
Case 87,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-27T20:12:00Z,2012-02-27T20:28:00Z,000:16,720,Adapter,ID0420,D,0,0,0,
Case 87,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-27T22:11:00Z,2012-02-28T06:43:00Z,008:32,720,Adapter,ID0420,D,91,0,0,
Case 87,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-28T07:00:00Z,2012-02-28T13:18:00Z,006:18,720,Adapter,ID4445,D,77,0,0,
Case 87,Final Inspection Q.C.,Quality Check 1,2012-02-28T15:37:00Z,2012-02-28T16:05:00Z,000:28,720,Adapter,ID4618,D,0,1,0,
Case 87,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-28T15:51:00Z,2012-02-28T17:06:00Z,000:00,720,Adapter,ID0998,D,1,0,0,
Case 87,Lapping - Machine 1,Machine 1 - Lapping,2012-02-28T15:52:00Z,2012-02-28T17:07:00Z,000:00,720,Adapter,ID0998,D,1,0,0,
Case 87,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-28T15:54:00Z,2012-02-28T17:09:00Z,000:00,720,Adapter,ID4445,D,1,0,0,
Case 87,Packing,Packing,2012-02-29T00:00:00Z,2012-02-29T01:00:00Z,000:00,720,Adapter,ID4820,D,244,0,0,
Case 87,Final Inspection Q.C.,Quality Check 1,2012-02-29T08:08:00Z,2012-02-29T08:09:00Z,000:01,720,Adapter,ID4618,D,244,0,0,
Case 87,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-03-05T05:29:00Z,2012-03-05T07:29:00Z,002:00,720,Adapter,ID4429,D,5,0,0,
Case 87,Turning & Milling Q.C.,Quality Check 1,2012-03-05T07:27:00Z,2012-03-05T07:31:00Z,000:04,720,Adapter,ID4618,D,473,0,0,
Case 87,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-11T07:02:00Z,2012-03-11T08:28:00Z,001:26,720,Adapter,ID4882,D,200,0,0,
Case 87,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-11T11:43:00Z,2012-03-11T14:44:00Z,003:01,720,Adapter,ID4445,D,273,0,0,
Case 87,Lapping - Machine 1,Machine 1 - Lapping,2012-03-12T16:22:00Z,2012-03-12T17:18:00Z,000:56,720,Adapter,ID0998,D,90,0,0,
Case 87,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-12T19:14:00Z,2012-03-12T20:06:00Z,000:52,720,Adapter,ID4385,S,0,0,0,
Case 87,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-12T20:11:00Z,2012-03-13T03:16:00Z,007:05,720,Adapter,ID0420,D,90,0,0,
Case 87,Lapping - Machine 1,Machine 1 - Lapping,2012-03-13T00:00:00Z,2012-03-13T01:15:00Z,000:00,720,Adapter,ID4882,D,0,0,0,
Case 87,Lapping - Machine 1,Machine 1 - Lapping,2012-03-13T00:00:00Z,2012-03-13T01:15:00Z,000:00,720,Adapter,ID4882,D,0,0,0,
Case 87,Lapping - Machine 1,Machine 1 - Lapping,2012-03-13T09:05:00Z,2012-03-13T13:23:00Z,004:18,720,Adapter,ID4882,D,135,0,0,
Case 87,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-13T15:12:00Z,2012-03-13T15:35:00Z,000:23,720,Adapter,ID4445,S,0,0,0,
Case 87,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-13T15:36:00Z,2012-03-13T15:56:00Z,000:20,720,Adapter,ID4445,D,5,0,0,
Case 87,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-13T15:57:00Z,2012-03-13T23:39:00Z,007:42,720,Adapter,ID4385,D,88,0,0,
Case 87,Lapping - Machine 1,Machine 1 - Lapping,2012-03-14T00:00:00Z,2012-03-14T01:15:00Z,000:00,720,Adapter,ID4882,D,0,0,0,
Case 87,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-14T00:15:00Z,2012-03-14T06:48:00Z,006:33,720,Adapter,ID0420,D,76,0,0,
Case 87,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-14T06:49:00Z,2012-03-14T10:44:00Z,003:55,720,Adapter,ID4445,D,45,0,0,
Case 87,Lapping - Machine 1,Machine 1 - Lapping,2012-03-14T07:02:00Z,2012-03-14T07:03:00Z,000:01,720,Adapter,ID4882,D,60,0,0,
Case 87,Lapping - Machine 1,Machine 1 - Lapping,2012-03-14T08:05:00Z,2012-03-14T11:16:00Z,003:11,720,Adapter,ID0998,D,188,0,0,
Case 87,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-14T10:46:00Z,2012-03-14T12:08:00Z,001:22,720,Adapter,ID4355,D,14,0,0,
Case 87,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-14T19:16:00Z,2012-03-14T20:37:00Z,001:21,720,Adapter,ID4385,S,0,0,0,
Case 87,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-14T21:47:00Z,2012-03-15T06:45:00Z,008:58,720,Adapter,ID0420,D,103,0,0,
Case 87,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-15T06:52:00Z,2012-03-15T09:14:00Z,002:22,720,Adapter,ID4445,D,52,0,0,
Case 87,Packing,Packing,2012-03-20T00:00:00Z,2012-03-20T01:00:00Z,000:00,720,Adapter,ID4820,D,473,0,0,
Case 87,Final Inspection Q.C.,Quality Check 1,2012-03-20T09:00:00Z,2012-03-20T12:18:00Z,003:18,720,Adapter,ID4618,D,0,0,0,
Case 87,Final Inspection Q.C.,Quality Check 1,2012-03-20T12:19:00Z,2012-03-20T13:34:00Z,000:00,720,Adapter,ID4618,D,473,0,0,
