Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-06T09:10:00Z,2012-03-06T10:18:00Z,001:08,52,Adjusting Nut,ID4219,B,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-08T04:19:00Z,2012-03-08T06:51:00Z,002:32,52,Adjusting Nut,ID0997,S,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-08T10:04:00Z,2012-03-08T16:38:00Z,006:34,52,Adjusting Nut,ID4219,S,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-08T20:24:00Z,2012-03-09T04:35:00Z,008:11,52,Adjusting Nut,ID0997,S,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-09T04:35:00Z,2012-03-09T07:27:00Z,002:52,52,Adjusting Nut,ID0997,D,14,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-09T07:32:00Z,2012-03-09T10:27:00Z,003:06,52,Adjusting Nut,ID4219,D,8,0,0,
Case 103,Turning & Milling Q.C.,Quality Check 1,2012-03-09T07:32:00Z,2012-03-09T10:38:00Z,002:55,52,Adjusting Nut,ID4618,D,0,0,0,
Case 103,Turning & Milling Q.C.,Quality Check 1,2012-03-11T07:42:00Z,2012-03-11T08:16:00Z,000:34,52,Adjusting Nut,ID4618,D,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-11T09:03:00Z,2012-03-11T10:37:00Z,001:34,52,Adjusting Nut,ID0997,D,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-11T10:37:00Z,2012-03-11T11:48:00Z,001:11,52,Adjusting Nut,ID0997,S,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-11T11:49:00Z,2012-03-11T16:09:00Z,004:20,52,Adjusting Nut,ID0997,D,25,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-11T16:35:00Z,2012-03-11T18:35:00Z,002:00,52,Adjusting Nut,ID4219,D,5,0,0,
Case 103,Turning & Milling Q.C.,Quality Check 1,2012-03-12T08:27:00Z,2012-03-12T08:28:00Z,000:01,52,Adjusting Nut,ID4618,D,50,2,0,
Case 103,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-13T09:54:00Z,2012-03-13T10:46:00Z,000:52,52,Adjusting Nut,ID4355,D,50,0,0,
Case 103,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-03-13T13:27:00Z,2012-03-13T14:04:00Z,000:37,52,Adjusting Nut,ID0998,D,50,0,0,
Case 103,Final Inspection Q.C.,Quality Check 1,2012-03-13T14:07:00Z,2012-03-13T17:57:00Z,003:50,52,Adjusting Nut,ID4618,D,0,0,0,
Case 103,Final Inspection Q.C.,Quality Check 1,2012-03-14T06:58:00Z,2012-03-14T10:35:00Z,003:37,52,Adjusting Nut,ID4618,D,0,0,0,
Case 103,Final Inspection Q.C.,Quality Check 1,2012-03-14T12:03:00Z,2012-03-14T12:04:00Z,000:01,52,Adjusting Nut,ID4618,D,50,0,0,
Case 103,Packing,Packing,2012-03-15T00:00:00Z,2012-03-15T01:00:00Z,000:00,52,Adjusting Nut,ID4820,D,50,0,0,
Case 58,Round Grinding - Manual,Machine 27 - Grinding,2012-02-09T10:49:00Z,2012-02-09T11:16:00Z,000:27,28,Adjusting Nut,ID4528,S,0,0,0,
Case 58,Round Grinding - Manual,Machine 27 - Grinding,2012-02-09T12:28:00Z,2012-02-09T13:37:00Z,001:09,28,Adjusting Nut,ID4528,S,0,0,0,
Case 58,Round Grinding - Manual,Machine 27 - Grinding,2012-02-09T16:02:00Z,2012-02-09T18:14:00Z,002:12,28,Adjusting Nut,ID4872,D,10,0,0,
Case 58,Round Grinding - Manual,Machine 27 - Grinding,2012-02-11T23:14:00Z,2012-02-12T06:12:00Z,006:58,28,Adjusting Nut,ID4528,D,18,0,0,
Case 58,Final Inspection Q.C.,Quality Check 1,2012-02-19T06:50:00Z,2012-02-19T15:11:00Z,008:21,28,Adjusting Nut,ID4618,D,28,0,0,
Case 58,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-19T15:09:00Z,2012-02-19T16:24:00Z,000:00,28,Adjusting Nut,ID0998,D,28,0,0,
Case 58,Packing,Packing,2012-02-20T00:00:00Z,2012-02-20T01:00:00Z,000:00,28,Adjusting Nut,ID4820,D,28,0,0,
