Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 60,Turning - Machine 8,Machine 8 - Turning & Milling,2012-03-15T22:23:00Z,2012-03-16T00:10:00Z,001:47,15,Assembly 1,ID4219,S,0,0,0,
Case 60,Lapping - Machine 1,Machine 1 - Lapping,2012-03-16T07:00:00Z,2012-03-16T07:20:00Z,000:20,15,Assembly 1,ID0998,D,15,0,0,
Case 60,Turning - Machine 8,Machine 8 - Turning & Milling,2012-03-16T09:53:00Z,2012-03-16T12:30:00Z,002:37,15,Assembly 1,ID0997,S,0,0,0,
Case 60,Turning Q.C.,Quality Check 1,2012-03-18T07:00:00Z,2012-03-18T08:00:00Z,001:00,15,Assembly 1,ID4287,S,0,0,0,
Case 60,Turning - Machine 8,Machine 8 - Turning & Milling,2012-03-18T07:01:00Z,2012-03-18T08:39:00Z,001:38,15,Assembly 1,ID4219,B,0,0,0,
Case 60,Turning - Machine 8,Machine 8 - Turning & Milling,2012-03-18T16:51:00Z,2012-03-18T23:30:00Z,006:39,15,Assembly 1,ID0997,S,15,0,0,
Case 60,Turning Q.C.,Quality Check 1,2012-03-19T17:00:00Z,2012-03-19T17:58:00Z,000:58,15,Assembly 1,ID4287,D,0,0,0,
Case 60,Turning Q.C.,Quality Check 1,2012-03-20T07:14:00Z,2012-03-20T08:00:00Z,000:46,15,Assembly 1,ID4287,D,15,0,0,
Case 60,Lapping - Machine 1,Machine 1 - Lapping,2012-03-20T11:59:00Z,2012-03-20T12:35:00Z,000:36,15,Assembly 1,ID0998,D,15,0,0,
Case 60,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-20T12:36:00Z,2012-03-20T12:47:00Z,000:11,15,Assembly 1,ID4882,D,15,0,0,
Case 60,Final Inspection Q.C.,Quality Check 1,2012-03-20T13:30:00Z,2012-03-20T14:30:00Z,001:00,15,Assembly 1,ID4287,D,0,0,0,
Case 60,Final Inspection Q.C.,Quality Check 1,2012-03-20T17:04:00Z,2012-03-20T17:05:00Z,000:01,15,Assembly 1,ID4287,D,15,0,0,
Case 60,Packing,Packing,2012-03-21T00:00:00Z,2012-03-21T01:00:00Z,000:00,15,Assembly 1,ID4820,D,15,0,0,
