Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-20T17:09:00Z,2012-02-20T17:57:00Z,000:48,18,Ballnut,ID4219,D,7,0,0,
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-20T22:57:00Z,2012-02-21T02:57:00Z,004:00,18,Ballnut,ID4529,D,11,0,0,
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-21T06:45:00Z,2012-02-21T11:03:00Z,004:18,18,Ballnut,ID4219,S,1,0,0,
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-21T11:04:00Z,2012-02-21T12:08:00Z,001:04,18,Ballnut,ID4219,D,17,0,0,
Case 100,Turning & Milling Q.C.,Quality Check 1,2012-02-22T14:48:00Z,2012-02-22T15:10:00Z,000:22,18,Ballnut,ID4618,D,18,0,0,
Case 100,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-11T11:05:00Z,2012-03-11T11:06:00Z,000:01,18,Ballnut,ID0998,D,18,0,0,
Case 100,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-03-11T12:23:00Z,2012-03-11T12:45:00Z,000:22,18,Ballnut,ID0998,D,18,0,0,
Case 100,Lapping - Machine 1,Machine 1 - Lapping,2012-03-11T12:46:00Z,2012-03-11T13:18:00Z,000:32,18,Ballnut,ID4882,D,18,0,0,
Case 100,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-13T10:34:00Z,2012-03-13T10:41:00Z,000:07,18,Ballnut,ID4445,S,0,0,0,
Case 100,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-13T10:41:00Z,2012-03-13T15:12:00Z,004:31,18,Ballnut,ID4445,D,18,0,0,
Case 100,Grinding Rework - Machine 12,Machine 12 - Grinding,2012-03-16T11:30:00Z,2012-03-16T12:40:00Z,001:10,18,Ballnut,ID4872,D,0,0,0,
Case 100,Final Inspection Q.C.,Quality Check 1,2012-03-19T11:21:00Z,2012-03-19T14:06:00Z,002:45,18,Ballnut,ID4618,D,0,0,0,
Case 100,Packing,Packing,2012-03-21T00:00:00Z,2012-03-21T01:00:00Z,000:00,18,Ballnut,ID4820,D,18,0,0,
Case 100,Final Inspection Q.C.,Quality Check 1,2012-03-21T07:02:00Z,2012-03-21T07:03:00Z,000:01,18,Ballnut,ID4618,D,18,0,0,
Case 106,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-15T10:14:00Z,2012-03-15T15:44:00Z,005:30,39,Ballnut,ID0997,S,0,0,0,
Case 106,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-15T16:55:00Z,2012-03-15T20:38:00Z,003:43,39,Ballnut,ID4219,D,39,0,0,
Case 106,Turning & Milling Q.C.,Quality Check 1,2012-03-19T07:00:00Z,2012-03-19T07:28:00Z,000:28,39,Ballnut,ID4618,D,39,0,0,
Case 106,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-19T09:38:00Z,2012-03-19T10:51:00Z,001:13,39,Ballnut,ID0998,D,39,0,0,
Case 106,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-03-19T14:42:00Z,2012-03-19T15:20:00Z,000:38,39,Ballnut,ID4882,D,39,0,0,
Case 106,Final Inspection Q.C.,Quality Check 1,2012-03-21T15:27:00Z,2012-03-21T17:57:00Z,002:30,39,Ballnut,ID4618,D,0,0,0,
Case 106,Packing,Packing,2012-03-22T00:00:00Z,2012-03-22T01:00:00Z,000:00,39,Ballnut,ID4820,D,39,0,0,
Case 106,Final Inspection Q.C.,Quality Check 1,2012-03-22T11:50:00Z,2012-03-22T13:05:00Z,000:00,39,Ballnut,ID4618,D,39,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-03-01T03:49:00Z,2012-03-01T06:35:00Z,002:46,500,Ballnut,ID4794,S,1,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-03-01T06:57:00Z,2012-03-01T12:36:00Z,005:39,500,Ballnut,ID4529,S,3,0,0,
Case 110,Turning & Milling Q.C.,Quality Check 1,2012-03-01T10:00:00Z,2012-03-01T11:00:00Z,001:00,500,Ballnut,ID4163,D,0,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-03-01T12:37:00Z,2012-03-01T15:46:00Z,003:09,500,Ballnut,ID4529,D,10,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-03-01T20:16:00Z,2012-03-02T06:27:00Z,010:11,500,Ballnut,ID4794,D,30,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-03-02T06:45:00Z,2012-03-02T12:47:00Z,006:02,500,Ballnut,ID4167,D,14,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-03-03T13:00:00Z,2012-03-04T00:26:00Z,011:26,500,Ballnut,ID4529,D,36,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-03-03T23:36:00Z,2012-03-04T06:46:00Z,007:10,500,Ballnut,ID4641,D,21,0,0,
Case 110,Turning & Milling Q.C.,Quality Check 1,2012-03-04T07:20:00Z,2012-03-04T07:51:00Z,000:31,500,Ballnut,ID4618,D,0,0,0,
Case 110,Turning & Milling Q.C.,Quality Check 1,2012-03-06T07:22:00Z,2012-03-06T07:29:00Z,000:07,500,Ballnut,ID4618,D,119,1,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-03-06T07:28:00Z,2012-03-06T07:29:00Z,000:01,500,Ballnut,ID4794,D,5,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-03-08T01:08:00Z,2012-03-08T04:17:00Z,003:09,500,Ballnut,ID4529,S,0,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-03-08T07:11:00Z,2012-03-08T11:37:00Z,004:26,500,Ballnut,ID4794,S,1,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-03-08T11:37:00Z,2012-03-08T15:52:00Z,004:15,500,Ballnut,ID4794,D,10,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-03-08T15:54:00Z,2012-03-08T23:40:00Z,007:46,500,Ballnut,ID4167,D,32,0,0,
