Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 105,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-03-20T23:18:00Z,2012-03-21T06:34:00Z,007:16,15,Bearing,ID4167,S,0,0,0,
Case 105,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-03-21T07:18:00Z,2012-03-21T10:31:00Z,003:13,15,Bearing,ID4932,D,15,0,0,
Case 240,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-02-01T03:22:00Z,2012-02-01T07:00:00Z,003:38,163,Bearing,ID4794,S,0,0,0,
Case 240,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-02-01T07:02:00Z,2012-02-01T15:01:00Z,007:59,163,Bearing,ID4529,S,1,0,0,
Case 240,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-02-01T16:44:00Z,2012-02-01T19:54:00Z,003:10,163,Bearing,ID4429,D,16,0,0,
Case 240,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-02-01T19:56:00Z,2012-02-02T06:47:00Z,010:51,163,Bearing,ID4794,D,52,0,0,
Case 240,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-02-02T07:00:00Z,2012-02-02T15:46:00Z,008:46,163,Bearing,ID4529,D,40,0,0,
Case 240,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-02-02T16:10:00Z,2012-02-02T19:45:00Z,003:35,163,Bearing,ID4429,D,16,0,0,
Case 240,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-02-06T00:00:00Z,2012-02-06T01:15:00Z,000:00,163,Bearing,ID4882,D,0,0,0,
Case 240,Turning & Milling Q.C.,Quality Check 1,2012-02-06T15:21:00Z,2012-02-06T15:22:00Z,000:01,163,Bearing,ID4618,D,50,0,0,
Case 240,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-06T15:23:00Z,2012-02-06T16:03:00Z,000:40,163,Bearing,ID0998,D,50,0,0,
Case 240,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-02-06T16:24:00Z,2012-02-06T17:06:00Z,000:42,163,Bearing,ID4882,D,50,0,0,
Case 240,Packing,Packing,2012-02-07T00:00:00Z,2012-02-07T01:00:00Z,000:00,163,Bearing,ID4491,D,50,0,0,
Case 240,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-02-07T07:15:00Z,2012-02-07T09:17:00Z,002:02,163,Bearing,ID4794,S,1,0,0,
Case 240,Lapping - Machine 1,Machine 1 - Lapping,2012-02-07T09:06:00Z,2012-02-07T09:59:00Z,000:53,163,Bearing,ID0998,D,50,0,0,
Case 240,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-02-07T09:18:00Z,2012-02-07T15:47:00Z,006:29,163,Bearing,ID4794,D,37,0,0,
Case 240,Final Inspection Q.C.,Quality Check 1,2012-02-07T10:25:00Z,2012-02-07T13:40:00Z,003:15,163,Bearing,ID4618,D,0,0,0,
Case 240,Final Inspection Q.C.,Quality Check 1,2012-02-07T13:45:00Z,2012-02-07T15:00:00Z,000:00,163,Bearing,ID4618,D,50,0,0,
Case 240,Turning & Milling Q.C.,Quality Check 1,2012-02-07T14:34:00Z,2012-02-07T14:35:00Z,000:01,163,Bearing,ID4618,D,0,4,0,
Case 240,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-12T08:21:00Z,2012-02-12T10:26:00Z,002:05,163,Bearing,ID0998,D,109,0,0,
Case 240,Turning & Milling Q.C.,Quality Check 1,2012-02-12T09:50:00Z,2012-02-12T09:53:00Z,000:03,163,Bearing,ID4618,D,109,0,0,
Case 240,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-02-12T10:16:00Z,2012-02-12T11:51:00Z,001:35,163,Bearing,ID4882,D,109,0,0,
Case 240,Lapping - Machine 1,Machine 1 - Lapping,2012-02-13T00:00:00Z,2012-02-13T01:15:00Z,000:00,163,Bearing,ID4882,D,0,0,0,
Case 240,Lapping - Machine 1,Machine 1 - Lapping,2012-02-13T09:01:00Z,2012-02-13T09:48:00Z,000:47,163,Bearing,ID4882,D,39,0,0,
Case 240,Lapping - Machine 1,Machine 1 - Lapping,2012-02-13T10:32:00Z,2012-02-13T11:33:00Z,001:01,163,Bearing,ID4882,D,70,0,0,
Case 240,Final Inspection Q.C.,Quality Check 1,2012-02-13T14:19:00Z,2012-02-13T15:14:00Z,000:55,163,Bearing,ID4618,D,0,0,0,
Case 240,Final Inspection Q.C.,Quality Check 1,2012-02-14T12:32:00Z,2012-02-14T13:47:00Z,000:00,163,Bearing,ID4618,D,0,1,0,
Case 240,Final Inspection Q.C.,Quality Check 1,2012-02-14T14:45:00Z,2012-02-14T16:00:00Z,000:00,163,Bearing,ID4618,D,108,0,0,
Case 240,Packing,Packing,2012-02-15T00:00:00Z,2012-02-15T01:00:00Z,000:00,163,Bearing,ID4820,D,108,0,0,
Case 261,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-06T20:38:00Z,2012-02-07T02:05:00Z,005:27,60,Bearing,ID0997,S,0,0,0,
Case 261,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-07T02:05:00Z,2012-02-07T06:43:00Z,004:38,60,Bearing,ID0997,D,30,0,0,
Case 261,Turning & Milling Q.C.,Quality Check 1,2012-02-07T06:50:00Z,2012-02-07T07:14:00Z,000:24,60,Bearing,ID4618,D,0,0,0,
Case 261,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-07T08:16:00Z,2012-02-07T12:39:00Z,004:23,60,Bearing,ID4219,D,30,0,0,
Case 261,Turning & Milling Q.C.,Quality Check 1,2012-02-07T13:20:00Z,2012-02-07T13:41:00Z,000:21,60,Bearing,ID4618,D,60,0,0,
Case 261,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-02-08T00:00:00Z,2012-02-08T01:15:00Z,000:00,60,Bearing,ID4882,D,0,0,0,
Case 261,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-08T10:21:00Z,2012-02-08T10:59:00Z,000:38,60,Bearing,ID0998,D,60,0,0,
Case 261,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-02-08T13:21:00Z,2012-02-08T13:58:00Z,000:37,60,Bearing,ID4882,D,60,0,0,
Case 261,Packing,Packing,2012-02-14T00:00:00Z,2012-02-14T01:00:00Z,000:00,60,Bearing,ID4820,D,60,0,0,
Case 261,Final Inspection Q.C.,Quality Check 1,2012-02-14T08:10:00Z,2012-02-14T08:11:00Z,000:01,60,Bearing,ID4618,D,60,0,0,
Case 264,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-03-26T08:38:00Z,2012-03-26T15:28:00Z,006:50,132,Bearing,ID4718,S,2,0,0,
Case 264,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-03-26T15:28:00Z,2012-03-26T16:01:00Z,000:33,132,Bearing,ID4718,D,2,0,0,
Case 264,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-03-26T15:42:00Z,2012-03-26T17:52:00Z,002:10,132,Bearing,ID4529,D,4,0,0,
Case 264,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-03-26T20:21:00Z,2012-03-27T06:34:00Z,010:13,132,Bearing,ID4794,D,32,0,0,
Case 264,Turning & Milling Q.C.,Quality Check 1,2012-03-27T07:09:00Z,2012-03-27T07:26:00Z,000:17,132,Bearing,ID4618,D,0,0,0,
Case 264,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-03-27T08:04:00Z,2012-03-27T15:56:00Z,007:52,132,Bearing,ID4167,D,28,0,0,
Case 264,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-03-27T17:36:00Z,2012-03-27T18:30:00Z,000:54,132,Bearing,ID4429,D,5,0,0,
Case 264,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-03-27T20:09:00Z,2012-03-28T06:42:00Z,010:33,132,Bearing,ID4794,D,30,0,0,
Case 264,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-03-28T07:00:00Z,2012-03-28T07:27:00Z,000:27,132,Bearing,ID4718,D,2,0,0,
Case 264,Turning & Milling Q.C.,Quality Check 1,2012-03-28T07:05:00Z,2012-03-28T07:31:00Z,000:26,132,Bearing,ID4618,D,0,0,0,
Case 264,Turning & Milling Q.C.,Quality Check 1,2012-03-28T07:41:00Z,2012-03-28T07:48:00Z,000:07,132,Bearing,ID4618,D,59,0,0,
Case 264,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-03-28T07:50:00Z,2012-03-28T12:05:00Z,004:15,132,Bearing,ID4167,D,16,0,0,
Case 264,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-28T08:20:00Z,2012-03-28T10:39:00Z,002:19,132,Bearing,ID0998,D,59,0,0,
Case 264,Turning & Milling Q.C.,Quality Check 1,2012-03-29T12:24:00Z,2012-03-29T12:43:00Z,000:19,132,Bearing,ID4618,D,0,5,0,
Case 5,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-30T06:17:00Z,2012-03-30T11:14:00Z,004:57,15,Bearing,ID0997,S,0,0,0,
Case 5,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-30T11:14:00Z,2012-03-30T11:43:00Z,000:29,15,Bearing,ID0997,D,8,0,0,
Case 55,Turn & Mill. & Screw Assem - Machine 10,Machine 10 - Grinding,2012-02-09T14:27:00Z,2012-02-09T17:48:00Z,003:21,70,Bearing,ID4132,S,1,0,0,
Case 55,Turn & Mill. & Screw Assem - Machine 10,Machine 10 - Grinding,2012-02-09T20:13:00Z,2012-02-09T21:22:00Z,001:09,70,Bearing,ID4641,S,0,0,0,
Case 55,Turn & Mill. & Screw Assem - Machine 10,Machine 10 - Grinding,2012-02-09T21:22:00Z,2012-02-10T06:44:00Z,009:22,70,Bearing,ID4641,D,11,0,0,
Case 55,Turning & Milling Q.C.,Quality Check 1,2012-02-10T06:59:00Z,2012-02-10T07:30:00Z,000:31,70,Bearing,ID4287,D,0,0,0,
Case 55,Turn & Mill. & Screw Assem - Machine 10,Machine 10 - Grinding,2012-02-10T07:12:00Z,2012-02-10T12:53:00Z,005:41,70,Bearing,ID3846,D,10,0,0,
Case 55,Turn & Mill. & Screw Assem - Machine 10,Machine 10 - Grinding,2012-02-11T22:05:00Z,2012-02-12T06:37:00Z,008:32,70,Bearing,ID4132,D,15,0,0,
Case 55,Turn & Mill. & Screw Assem - Machine 10,Machine 10 - Grinding,2012-02-12T06:58:00Z,2012-02-12T07:27:00Z,000:29,70,Bearing,ID4641,D,1,0,0,
Case 55,Turn & Mill. & Screw Assem - Machine 10,Machine 10 - Grinding,2012-02-12T09:04:00Z,2012-02-12T15:59:00Z,006:55,70,Bearing,ID3846,D,13,0,0,
Case 55,Turn & Mill. & Screw Assem - Machine 10,Machine 10 - Grinding,2012-02-12T16:06:00Z,2012-02-12T22:44:00Z,006:38,70,Bearing,ID4132,D,9,0,0,
Case 55,Turning & Milling Q.C.,Quality Check 1,2012-02-19T09:00:00Z,2012-02-19T10:30:00Z,001:30,70,Bearing,ID4287,D,60,0,0,
Case 55,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-20T09:49:00Z,2012-02-20T10:38:00Z,000:49,70,Bearing,ID4882,D,60,0,0,
Case 55,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-02-21T00:00:00Z,2012-02-21T01:15:00Z,000:00,70,Bearing,ID4882,D,0,0,0,
Case 55,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-02-21T09:03:00Z,2012-02-21T12:13:00Z,003:10,70,Bearing,ID4882,D,60,0,0,
Case 55,Lapping - Machine 1,Machine 1 - Lapping,2012-02-22T00:00:00Z,2012-02-22T01:15:00Z,000:00,70,Bearing,ID4882,D,0,0,0,
Case 55,Lapping - Machine 1,Machine 1 - Lapping,2012-02-22T09:07:00Z,2012-02-22T10:37:00Z,001:30,70,Bearing,ID4882,D,60,0,0,
Case 55,Final Inspection Q.C.,Quality Check 1,2012-02-23T10:21:00Z,2012-02-23T11:21:00Z,001:00,70,Bearing,ID4493,D,60,0,0,
Case 55,Packing,Packing,2012-02-24T00:00:00Z,2012-02-24T01:00:00Z,000:00,70,Bearing,ID4820,D,60,0,0,
Case 55,Turn & Mill. & Screw Assem - Machine 10,Machine 10 - Grinding,2012-03-19T00:00:00Z,2012-03-19T01:15:00Z,000:00,70,Bearing,ID0937,D,0,10,0,
Case 6,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-06T05:00:00Z,2012-02-06T06:30:00Z,001:30,73,Bearing,ID0997,S,1,0,0,
Case 6,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-06T06:12:00Z,2012-02-06T06:36:00Z,000:24,73,Bearing,ID0997,S,0,0,0,
Case 6,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-07T12:40:00Z,2012-02-07T15:43:00Z,003:03,73,Bearing,ID4219,S,0,0,0,
Case 6,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-07T16:00:00Z,2012-02-07T18:52:00Z,002:52,73,Bearing,ID4219,S,1,0,0,
Case 6,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-07T20:27:00Z,2012-02-08T03:38:00Z,007:11,73,Bearing,ID0997,S,0,0,0,
Case 6,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-08T03:39:00Z,2012-02-08T06:44:00Z,003:05,73,Bearing,ID0997,D,27,0,0,
Case 6,Turning & Milling Q.C.,Quality Check 1,2012-02-08T06:50:00Z,2012-02-08T07:06:00Z,000:16,73,Bearing,ID4618,D,0,0,0,
Case 6,Turning & Milling Q.C.,Quality Check 1,2012-02-08T06:50:00Z,2012-02-08T14:44:00Z,007:54,73,Bearing,ID4618,D,0,0,0,
Case 6,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-08T07:00:00Z,2012-02-08T18:03:00Z,011:03,73,Bearing,ID4219,D,33,0,0,
Case 6,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-08T20:39:00Z,2012-02-09T00:37:00Z,003:58,73,Bearing,ID0997,D,11,0,0,
Case 6,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-02-09T00:00:00Z,2012-02-09T01:15:00Z,000:00,73,Bearing,ID4882,D,0,0,0,
Case 6,Turning & Milling Q.C.,Quality Check 1,2012-02-09T07:14:00Z,2012-02-09T07:23:00Z,000:09,73,Bearing,ID4618,D,73,0,0,
Case 6,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-02-10T08:31:00Z,2012-02-10T09:16:00Z,000:45,73,Bearing,ID4882,D,73,0,0,
Case 6,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-12T09:39:00Z,2012-02-12T10:26:00Z,000:47,73,Bearing,ID0998,D,72,0,0,
