Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 253,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-09T02:21:00Z,2012-01-09T05:49:00Z,003:28,16,Blade,ID4641,S,1,0,0,
Case 253,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-09T05:49:00Z,2012-01-09T06:55:00Z,001:06,16,Blade,ID4641,D,2,0,0,
Case 253,Turning & Milling Q.C.,Quality Check 1,2012-01-09T07:04:00Z,2012-01-09T08:03:00Z,000:59,16,Blade,ID4618,D,0,0,0,
Case 253,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-09T07:10:00Z,2012-01-09T09:46:00Z,002:36,16,Blade,ID3846,D,13,0,0,
Case 253,Turning & Milling Q.C.,Quality Check 1,2012-01-09T09:05:00Z,2012-01-09T10:05:00Z,001:00,16,Blade,ID4618,D,15,1,0,
Case 253,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-10T10:37:00Z,2012-01-10T10:54:00Z,000:17,16,Blade,ID0998,D,15,0,0,
Case 253,Lapping - Machine 1,Machine 1 - Lapping,2012-01-10T10:54:00Z,2012-01-10T13:25:00Z,002:31,16,Blade,ID0998,D,0,0,0,
Case 253,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-01-10T11:59:00Z,2012-01-10T11:59:00Z,001:25,16,Blade,ID0998,D,15,0,0,
Case 253,Lapping - Machine 1,Machine 1 - Lapping,2012-01-10T11:59:00Z,2012-01-10T13:14:00Z,000:00,16,Blade,ID0998,D,15,0,0,
Case 253,Lapping - Machine 1,Machine 1 - Lapping,2012-01-11T00:00:00Z,2012-01-11T01:15:00Z,000:00,16,Blade,ID4882,D,0,0,0,
Case 253,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-11T14:23:00Z,2012-01-11T15:38:00Z,000:00,16,Blade,ID4882,D,0,0,0,
Case 253,Final Inspection Q.C.,Quality Check 1,2012-01-15T06:50:00Z,2012-01-15T07:02:00Z,000:12,16,Blade,ID4618,D,15,0,0,
Case 253,Packing,Packing,2012-01-16T00:00:00Z,2012-01-16T01:00:00Z,000:00,16,Blade,ID4820,D,3,0,0,
Case 253,Packing,Packing,2012-01-16T00:00:00Z,2012-01-16T01:00:00Z,000:00,16,Blade,ID4820,D,12,0,0,
