Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-29T23:24:00Z,2012-01-30T05:43:00Z,006:19,10,Cable Head,ID4932,S,1,0,0,
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-30T05:44:00Z,2012-01-30T06:42:00Z,000:58,10,Cable Head,ID4932,D,1,0,0,
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-30T06:59:00Z,2012-01-30T07:21:00Z,000:22,10,Cable Head,ID4167,S,0,0,0,
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-30T07:21:00Z,2012-01-30T10:58:00Z,003:37,10,Cable Head,ID4167,D,8,0,0,
Case 1,Turning & Milling Q.C.,Quality Check 1,2012-01-31T13:20:00Z,2012-01-31T14:50:00Z,001:30,10,Cable Head,ID4163,D,9,1,0,
Case 1,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-01T08:18:00Z,2012-02-01T08:27:00Z,000:09,10,Cable Head,ID0998,D,9,0,0,
Case 1,Lapping - Machine 1,Machine 1 - Lapping,2012-02-14T00:00:00Z,2012-02-14T01:15:00Z,000:00,10,Cable Head,ID4882,D,0,0,0,
Case 1,Lapping - Machine 1,Machine 1 - Lapping,2012-02-14T00:00:00Z,2012-02-14T01:15:00Z,000:00,10,Cable Head,ID4882,D,0,0,0,
Case 1,Lapping - Machine 1,Machine 1 - Lapping,2012-02-14T09:05:00Z,2012-02-14T09:38:00Z,000:33,10,Cable Head,ID4882,D,8,0,0,
Case 1,Lapping - Machine 1,Machine 1 - Lapping,2012-02-14T09:05:00Z,2012-02-14T10:20:00Z,000:00,10,Cable Head,ID4882,D,1,0,0,
Case 1,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-14T09:13:00Z,2012-02-14T13:37:00Z,004:24,10,Cable Head,ID4445,S,0,0,0,
