Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 44,Turn & Mill. & Screw Assem - Machine 10,Machine 10 - Grinding,2012-02-19T16:29:00Z,2012-02-19T17:52:00Z,001:23,198,Cast,ID4132,S,0,0,0,
Case 44,Turn & Mill. & Screw Assem - Machine 10,Machine 10 - Grinding,2012-02-19T20:07:00Z,2012-02-20T03:15:00Z,007:08,198,Cast,ID4641,S,1,0,0,
Case 44,Turn & Mill. & Screw Assem - Machine 10,Machine 10 - Grinding,2012-02-20T03:15:00Z,2012-02-20T06:50:00Z,003:35,198,Cast,ID4641,D,12,0,0,
Case 44,Turn & Mill. & Screw Assem - Machine 10,Machine 10 - Grinding,2012-02-20T07:07:00Z,2012-02-20T11:36:00Z,004:29,198,Cast,ID4132,D,6,0,0,
Case 44,Turn & Mill. & Screw Assem - Machine 10,Machine 10 - Grinding,2012-02-20T13:32:00Z,2012-02-20T18:00:00Z,004:28,198,Cast,ID4132,D,15,0,0,
Case 44,Turn & Mill. & Screw Assem - Machine 10,Machine 10 - Grinding,2012-02-20T20:39:00Z,2012-02-21T06:34:00Z,009:55,198,Cast,ID4641,D,15,0,0,
Case 44,Turn & Mill. & Screw Assem - Machine 10,Machine 10 - Grinding,2012-02-21T06:46:00Z,2012-02-21T17:52:00Z,011:06,198,Cast,ID4932,D,21,0,0,
Case 44,Turn & Mill. & Screw Assem - Machine 10,Machine 10 - Grinding,2012-02-21T21:32:00Z,2012-02-22T06:34:00Z,009:02,198,Cast,ID4641,D,12,0,0,
Case 44,Turn & Mill. & Screw Assem - Machine 10,Machine 10 - Grinding,2012-02-22T06:54:00Z,2012-02-22T15:57:00Z,009:03,198,Cast,ID4932,D,18,0,0,
Case 44,Turning & Milling Q.C.,Quality Check 1,2012-02-22T07:17:00Z,2012-02-22T07:26:00Z,000:09,198,Cast,ID4618,D,0,0,0,
Case 44,Turn & Mill. & Screw Assem - Machine 10,Machine 10 - Grinding,2012-02-22T20:21:00Z,2012-02-23T06:41:00Z,010:20,198,Cast,ID4641,D,16,0,0,
Case 44,Turn & Mill. & Screw Assem - Machine 10,Machine 10 - Grinding,2012-02-26T13:26:00Z,2012-02-26T15:57:00Z,002:31,198,Cast,ID4132,S,0,0,0,
