Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 116,Round Grinding - Manual,Machine 27 - Grinding,2012-02-22T06:50:00Z,2012-02-22T11:29:00Z,004:39,161,Clamp,ID4528,S,0,0,0,
Case 116,Round Grinding - Manual,Machine 27 - Grinding,2012-02-22T11:29:00Z,2012-02-22T16:37:00Z,005:08,161,Clamp,ID4528,D,25,0,0,
Case 116,Round Grinding - Manual,Machine 27 - Grinding,2012-02-22T16:39:00Z,2012-02-22T19:38:00Z,002:59,161,Clamp,ID4872,D,27,0,0,
Case 116,Packing,Packing,2012-02-23T00:00:00Z,2012-02-23T01:00:00Z,000:00,161,Clamp,ID4820,D,54,0,0,
Case 116,Round Grinding - Manual,Machine 27 - Grinding,2012-02-23T07:01:00Z,2012-02-23T09:04:00Z,002:03,161,Clamp,ID4528,D,2,0,0,
Case 116,Final Inspection Q.C.,Quality Check 1,2012-02-23T07:40:00Z,2012-02-23T08:40:00Z,001:00,161,Clamp,ID4163,D,54,0,0,
Case 116,Round Grinding - Manual,Machine 27 - Grinding,2012-02-23T09:05:00Z,2012-02-23T15:47:00Z,006:42,161,Clamp,ID4528,D,30,0,0,
Case 116,Round Grinding - Manual,Machine 27 - Grinding,2012-02-26T15:49:00Z,2012-02-26T23:51:00Z,008:02,161,Clamp,ID4528,D,30,0,0,
Case 116,Round Grinding - Manual,Machine 27 - Grinding,2012-02-27T16:00:00Z,2012-02-27T23:29:00Z,007:29,161,Clamp,ID4528,D,42,0,0,
Case 116,Round Grinding - Manual,Machine 27 - Grinding,2012-02-28T15:45:00Z,2012-02-28T17:06:00Z,001:21,161,Clamp,ID4528,D,0,0,0,
Case 116,Packing,Packing,2012-02-29T00:00:00Z,2012-02-29T01:00:00Z,000:00,161,Clamp,ID4820,D,97,0,0,
Case 116,Final Inspection Q.C.,Quality Check 1,2012-02-29T07:00:00Z,2012-02-29T07:59:00Z,000:59,161,Clamp,ID4287,D,97,5,0,
Case 163,Packing,Packing,2012-01-09T00:00:00Z,2012-01-09T01:00:00Z,000:00,150,Clamp,ID4491,D,60,0,0,
Case 163,Final Inspection Q.C.,Quality Check 1,2012-01-09T08:00:00Z,2012-01-09T09:46:00Z,001:46,150,Clamp,ID4287,D,60,0,0,
Case 163,Turning Q.C.,Quality Check 1,2012-01-09T10:01:00Z,2012-01-09T11:38:00Z,001:37,150,Clamp,ID4287,D,10,0,0,
