Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 263,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-01-02T09:00:00Z,2012-01-02T11:00:00Z,002:00,18,Compound Dies,ID4219,S,0,0,0,
Case 263,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-01-03T11:52:00Z,2012-01-03T17:58:00Z,006:06,18,Compound Dies,ID4219,S,0,0,0,
Case 263,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-01-04T06:59:00Z,2012-01-04T09:18:00Z,002:19,18,Compound Dies,ID4219,S,1,0,0,
Case 263,Turning & Milling Q.C.,Quality Check 1,2012-01-04T09:00:00Z,2012-01-04T10:00:00Z,001:00,18,Compound Dies,ID4287,D,0,0,0,
Case 263,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-01-04T09:21:00Z,2012-01-04T11:00:00Z,001:39,18,Compound Dies,ID4219,B,0,0,0,
Case 263,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-01-04T11:00:00Z,2012-01-04T16:21:00Z,005:21,18,Compound Dies,ID4219,D,11,0,0,
Case 263,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-01-05T06:48:00Z,2012-01-05T07:06:00Z,000:18,18,Compound Dies,ID4219,D,1,0,0,
Case 263,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-01-05T08:30:00Z,2012-01-05T10:45:00Z,002:15,18,Compound Dies,ID0997,D,5,0,0,
Case 263,Turning & Milling Q.C.,Quality Check 1,2012-01-05T10:30:00Z,2012-01-05T11:30:00Z,001:00,18,Compound Dies,ID4287,D,18,0,0,
Case 263,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-01-05T11:46:00Z,2012-01-05T12:27:00Z,000:41,18,Compound Dies,ID0998,D,18,0,0,
Case 263,Nitration Q.C.,Quality Check 1,2012-01-16T13:20:00Z,2012-01-16T15:00:00Z,001:40,18,Compound Dies,ID4287,D,18,0,0,
Case 263,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-17T11:58:00Z,2012-01-17T12:11:00Z,000:13,18,Compound Dies,ID0998,D,18,0,0,
Case 263,Lapping - Machine 1,Machine 1 - Lapping,2012-01-17T12:47:00Z,2012-01-17T13:27:00Z,000:40,18,Compound Dies,ID0998,D,18,0,0,
Case 263,Round Grinding - Manual,Machine 27 - Grinding,2012-01-18T08:09:00Z,2012-01-18T09:11:00Z,001:02,18,Compound Dies,ID4872,S,0,0,0,
Case 263,Final Inspection Q.C.,Quality Check 1,2012-01-18T09:00:00Z,2012-01-18T09:00:00Z,003:50,18,Compound Dies,ID4287,D,0,0,0,
Case 263,Round Grinding - Manual,Machine 27 - Grinding,2012-01-18T09:00:00Z,2012-01-18T10:15:00Z,000:00,18,Compound Dies,ID4287,D,0,0,0,
Case 263,Final Inspection Q.C.,Quality Check 1,2012-01-18T09:00:00Z,2012-01-18T12:50:00Z,001:21,18,Compound Dies,ID4287,D,0,0,0,
Case 263,Round Grinding - Manual,Machine 27 - Grinding,2012-01-18T09:12:00Z,2012-01-18T15:45:00Z,006:33,18,Compound Dies,ID4872,D,18,0,0,
Case 263,Final Inspection Q.C.,Quality Check 1,2012-01-19T10:57:00Z,2012-01-19T15:36:00Z,004:39,18,Compound Dies,ID4287,D,0,0,0,
Case 263,Final Inspection Q.C.,Quality Check 1,2012-01-22T07:26:00Z,2012-01-22T07:57:00Z,000:31,18,Compound Dies,ID4287,D,18,0,0,
Case 263,Packing,Packing,2012-01-23T00:00:00Z,2012-01-23T01:00:00Z,000:00,18,Compound Dies,ID4291,D,0,0,0,
Case 263,Packing,Packing,2012-01-23T00:00:00Z,2012-01-23T01:00:00Z,000:00,18,Compound Dies,ID4291,D,18,0,0,
