Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 119,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-03-20T07:12:00Z,2012-03-20T15:57:00Z,008:45,40,Cylinder,ID4132,S,0,0,0,
Case 119,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-03-21T14:35:00Z,2012-03-21T15:30:00Z,000:55,40,Cylinder,ID4132,S,0,0,0,
Case 119,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-03-22T07:18:00Z,2012-03-22T17:48:00Z,010:30,40,Cylinder,ID4132,S,1,0,0,
Case 119,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-03-23T01:16:00Z,2012-03-23T06:51:00Z,005:35,40,Cylinder,ID4641,D,2,0,0,
Case 119,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-03-25T07:19:00Z,2012-03-25T17:45:00Z,010:26,40,Cylinder,ID4132,D,7,0,0,
Case 119,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-03-26T08:30:00Z,2012-03-26T18:00:00Z,009:30,40,Cylinder,ID4132,D,6,0,0,
Case 119,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-03-27T08:17:00Z,2012-03-27T17:47:00Z,009:30,40,Cylinder,ID4132,D,6,0,0,
Case 119,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-03-27T21:36:00Z,2012-03-28T04:21:00Z,006:45,40,Cylinder,ID4794,D,1,0,0,
Case 119,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-03-28T07:20:00Z,2012-03-28T17:37:00Z,010:17,40,Cylinder,ID4132,D,7,0,0,
Case 119,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-03-28T21:14:00Z,2012-03-29T06:42:00Z,009:28,40,Cylinder,ID4794,D,4,0,0,
Case 119,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-03-29T07:18:00Z,2012-03-29T17:18:00Z,010:00,40,Cylinder,ID4132,D,6,0,0,
