Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 156,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-20T20:00:00Z,2012-02-20T23:50:00Z,003:50,600,Drill,ID4641,S,0,0,0,
Case 156,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-20T23:50:00Z,2012-02-21T06:50:00Z,007:00,600,Drill,ID4641,D,40,0,0,
Case 156,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-21T21:33:00Z,2012-02-22T03:56:00Z,006:23,600,Drill,ID4641,S,1,0,0,
Case 156,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-22T03:57:00Z,2012-02-22T06:34:00Z,002:37,600,Drill,ID4641,D,4,0,0,
Case 156,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-22T21:12:00Z,2012-02-23T06:41:00Z,009:29,600,Drill,ID4641,D,0,0,0,
Case 156,Turning & Milling Q.C.,Quality Check 1,2012-02-23T07:50:00Z,2012-02-23T09:08:00Z,001:18,600,Drill,ID4618,D,0,0,0,
Case 156,Final Inspection Q.C.,Quality Check 1,2012-02-27T07:09:00Z,2012-02-27T07:24:00Z,000:15,600,Drill,ID4618,D,0,0,0,
Case 156,Turning & Milling Q.C.,Quality Check 1,2012-02-27T07:25:00Z,2012-02-27T07:26:00Z,000:01,600,Drill,ID4618,D,45,0,0,
Case 156,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-29T15:23:00Z,2012-02-29T15:42:00Z,000:19,600,Drill,ID4445,D,45,0,0,
Case 156,Lapping - Machine 1,Machine 1 - Lapping,2012-03-01T01:16:00Z,2012-03-01T02:34:00Z,001:18,600,Drill,ID0420,D,45,0,0,
Case 156,Final Inspection Q.C.,Quality Check 1,2012-03-06T13:35:00Z,2012-03-06T14:51:00Z,001:16,600,Drill,ID4618,D,0,0,0,
Case 156,Final Inspection Q.C.,Quality Check 1,2012-03-06T16:24:00Z,2012-03-06T16:25:00Z,000:01,600,Drill,ID4618,D,45,0,0,
Case 156,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-03-06T16:26:00Z,2012-03-06T16:30:00Z,000:04,600,Drill,ID4618,D,0,5,0,
Case 156,Packing,Packing,2012-03-07T00:00:00Z,2012-03-07T01:00:00Z,000:00,600,Drill,ID4820,D,45,0,0,
Case 259,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-01-17T11:00:00Z,2012-01-17T15:00:00Z,004:00,325,Drill,ID4641,S,0,0,0,
