Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 89,SETUP     Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-23T13:27:00Z,2012-02-23T15:48:00Z,002:21,200,Drum,ID4932,S,0,0,0,
Case 89,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-23T16:22:00Z,2012-02-23T20:14:00Z,003:52,200,Drum,ID4167,S,0,0,0,
Case 89,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-23T20:15:00Z,2012-02-24T00:07:00Z,003:52,200,Drum,ID4529,S,10,0,0,
Case 89,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-24T00:46:00Z,2012-02-24T06:34:00Z,005:48,200,Drum,ID4529,D,41,0,0,
Case 89,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-24T07:02:00Z,2012-02-24T12:54:00Z,005:52,200,Drum,ID4932,D,50,0,0,
Case 89,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-02-25T08:08:00Z,2012-02-25T09:58:00Z,001:50,200,Drum,ID4932,D,0,0,0,
Case 89,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-25T13:07:00Z,2012-02-26T09:57:00Z,020:50,200,Drum,ID4932,D,13,0,0,
Case 89,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-02-25T22:14:00Z,2012-02-25T23:08:00Z,000:54,200,Drum,ID4794,D,0,0,0,
Case 89,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-25T23:08:00Z,2012-02-26T06:41:00Z,007:33,200,Drum,ID4794,D,86,0,0,
Case 89,Turning & Milling Q.C.,Quality Check 1,2012-02-26T14:49:00Z,2012-02-26T15:52:00Z,001:03,200,Drum,ID4618,D,200,0,0,
Case 89,Packing,Packing,2012-02-27T00:00:00Z,2012-02-27T01:00:00Z,000:00,200,Drum,ID4491,D,200,0,0,
Case 89,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-27T11:08:00Z,2012-02-27T12:23:00Z,000:00,200,Drum,ID0998,D,200,0,0,
Case 89,Final Inspection Q.C.,Quality Check 1,2012-02-27T11:09:00Z,2012-02-27T11:10:00Z,000:01,200,Drum,ID4618,D,200,0,0,
Case 90,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-02-23T07:05:00Z,2012-02-23T15:49:00Z,008:44,200,Drum,ID4794,S,0,0,0,
Case 90,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-02-23T16:21:00Z,2012-02-23T23:43:00Z,007:22,200,Drum,ID4167,S,3,0,0,
Case 90,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-02-24T00:10:00Z,2012-02-24T06:29:00Z,006:19,200,Drum,ID4529,D,50,0,0,
Case 90,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-02-24T07:00:00Z,2012-02-24T12:54:00Z,005:54,200,Drum,ID4932,D,20,0,0,
Case 90,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-02-25T13:59:00Z,2012-02-26T09:59:00Z,020:00,200,Drum,ID4932,D,13,0,0,
Case 90,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-02-25T21:58:00Z,2012-02-26T05:11:00Z,007:13,200,Drum,ID4794,D,0,0,0,
Case 90,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-02-26T07:00:00Z,2012-02-26T09:09:00Z,002:09,200,Drum,ID4718,D,5,0,0,
Case 90,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-02-26T11:18:00Z,2012-02-26T11:34:00Z,000:16,200,Drum,ID4718,S,0,0,0,
Case 90,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-02-26T19:58:00Z,2012-02-27T06:50:00Z,010:52,200,Drum,ID4932,D,59,0,0,
Case 90,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-02-26T22:00:00Z,2012-02-27T06:43:00Z,008:43,200,Drum,ID4794,D,50,0,0,
Case 90,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-02-27T09:22:00Z,2012-02-27T15:50:00Z,006:28,200,Drum,ID4529,D,0,0,0,
Case 90,Turning Q.C.,Quality Check 1,2012-02-28T09:52:00Z,2012-02-28T15:37:00Z,005:45,200,Drum,ID4618,D,176,0,0,
Case 90,Turning Q.C.,Quality Check 1,2012-02-28T15:36:00Z,2012-02-28T16:51:00Z,000:00,200,Drum,ID4618,D,0,0,0,
Case 90,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-28T15:53:00Z,2012-02-28T16:25:00Z,000:32,200,Drum,ID0998,D,176,0,0,
Case 90,Final Inspection Q.C.,Quality Check 1,2012-02-28T16:28:00Z,2012-02-28T16:42:00Z,000:14,200,Drum,ID4618,D,176,0,0,
Case 90,Packing,Packing,2012-02-29T00:00:00Z,2012-02-29T01:00:00Z,000:00,200,Drum,ID4820,D,176,0,0,
