Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 109,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-03-04T11:14:00Z,2012-03-04T18:01:00Z,006:47,50,Electrical Contact,ID4932,S,0,0,0,
Case 109,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-03-04T17:52:00Z,2012-03-04T23:53:00Z,006:01,50,Electrical Contact,ID4167,S,2,0,0,
Case 109,Turning & Milling Q.C.,Quality Check 1,2012-03-05T00:00:00Z,2012-03-05T01:15:00Z,000:00,50,Electrical Contact,ID4618,D,49,0,0,
Case 109,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-03-05T00:03:00Z,2012-03-05T01:08:00Z,001:05,50,Electrical Contact,ID4529,S,1,0,0,
Case 109,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-03-05T01:09:00Z,2012-03-05T06:43:00Z,005:34,50,Electrical Contact,ID4529,D,31,0,0,
Case 109,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-03-05T06:49:00Z,2012-03-05T09:41:00Z,002:52,50,Electrical Contact,ID4932,D,16,0,0,
Case 109,Turning & Milling Q.C.,Quality Check 1,2012-03-05T07:00:00Z,2012-03-05T08:21:00Z,001:21,50,Electrical Contact,ID4618,D,0,0,0,
Case 109,Turning & Milling Q.C.,Quality Check 1,2012-03-05T10:18:00Z,2012-03-05T10:23:00Z,000:05,50,Electrical Contact,ID4618,D,0,1,0,
Case 109,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-15T11:05:00Z,2012-03-15T11:26:00Z,000:21,50,Electrical Contact,ID0998,D,49,0,0,
Case 109,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-03-21T05:03:00Z,2012-03-21T06:22:00Z,001:19,50,Electrical Contact,ID4355,S,1,0,0,
Case 109,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-03-21T06:23:00Z,2012-03-21T06:49:00Z,000:26,50,Electrical Contact,ID4355,D,3,0,0,
Case 109,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-03-21T07:34:00Z,2012-03-21T12:08:00Z,004:34,50,Electrical Contact,ID4385,D,45,0,0,
Case 109,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-03-23T00:40:00Z,2012-03-23T01:33:00Z,000:53,50,Electrical Contact,ID4445,S,0,0,0,
Case 109,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-03-23T01:34:00Z,2012-03-23T04:08:00Z,002:34,50,Electrical Contact,ID4445,D,49,0,0,
Case 109,Final Inspection Q.C.,Quality Check 1,2012-03-23T07:25:00Z,2012-03-23T10:50:00Z,003:25,50,Electrical Contact,ID4618,D,45,4,0,
Case 109,Packing,Packing,2012-03-25T00:00:00Z,2012-03-25T01:00:00Z,000:00,50,Electrical Contact,ID4491,D,45,0,0,
Case 238,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-02T01:00:00Z,2012-01-02T07:00:00Z,006:00,320,Electrical Contact,ID4794,S,0,0,0,
Case 238,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-02T07:00:00Z,2012-01-02T14:00:00Z,007:00,320,Electrical Contact,ID4529,S,0,0,0,
Case 238,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-02T14:00:00Z,2012-01-02T16:00:00Z,002:00,320,Electrical Contact,ID4529,D,10,0,0,
