Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 237,Turning & Milling Q.C.,Quality Check 1,2012-01-03T00:00:00Z,2012-01-03T01:15:00Z,000:00,313,Fastener,ID4618,D,179,0,0,
Case 237,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-03T07:00:00Z,2012-01-03T13:00:00Z,006:00,313,Fastener,ID4167,D,31,0,0,
Case 237,Turning & Milling Q.C.,Quality Check 1,2012-01-04T00:00:00Z,2012-01-04T01:15:00Z,000:00,313,Fastener,ID4618,D,131,0,0,
Case 237,Turning & Milling Q.C.,Quality Check 1,2012-01-04T07:59:00Z,2012-01-04T10:24:00Z,002:25,313,Fastener,ID4618,D,0,3,0,
Case 237,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-11T10:08:00Z,2012-01-11T10:58:00Z,000:50,313,Fastener,ID0998,D,10,0,0,
Case 237,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-11T10:53:00Z,2012-01-11T13:22:00Z,002:29,313,Fastener,ID4882,D,300,0,0,
Case 237,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-17T07:00:00Z,2012-01-17T09:23:00Z,002:23,313,Fastener,ID4445,S,0,0,0,
Case 237,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-17T09:24:00Z,2012-01-17T16:02:00Z,006:38,313,Fastener,ID4445,D,72,0,0,
Case 237,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-17T20:54:00Z,2012-01-18T06:26:00Z,009:32,313,Fastener,ID4528,D,47,0,0,
Case 237,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-18T07:58:00Z,2012-01-18T09:50:00Z,001:52,313,Fastener,ID4445,D,26,0,0,
Case 237,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-18T17:58:00Z,2012-01-18T21:57:00Z,003:59,313,Fastener,ID4385,S,0,0,0,
Case 237,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-18T21:58:00Z,2012-01-18T23:43:00Z,001:45,313,Fastener,ID4385,D,10,0,0,
Case 237,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-19T02:24:00Z,2012-01-19T06:24:00Z,004:00,313,Fastener,ID4528,D,0,0,0,
Case 237,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-19T06:25:00Z,2012-01-19T07:40:00Z,000:00,313,Fastener,ID4528,D,28,0,0,
Case 237,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-19T07:42:00Z,2012-01-19T11:57:00Z,004:15,313,Fastener,ID4445,S,0,0,0,
Case 237,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-19T11:57:00Z,2012-01-19T17:40:00Z,005:43,313,Fastener,ID4445,D,72,0,0,
Case 237,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-19T17:42:00Z,2012-01-19T18:59:00Z,001:17,313,Fastener,ID4385,D,0,0,0,
Case 237,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-19T20:17:00Z,2012-01-19T23:25:00Z,003:08,313,Fastener,ID4528,D,23,0,0,
Case 237,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-20T06:54:00Z,2012-01-20T09:11:00Z,002:17,313,Fastener,ID4872,D,14,0,0,
Case 237,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-21T22:26:00Z,2012-01-22T01:59:00Z,003:33,313,Fastener,ID4445,D,18,0,0,
Case 237,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-28T10:00:00Z,2012-01-28T12:20:00Z,002:20,313,Fastener,ID0420,D,30,0,0,
Case 237,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-28T23:30:00Z,2012-01-29T06:40:00Z,007:10,313,Fastener,ID4528,D,130,0,0,
Case 237,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-29T07:02:00Z,2012-01-29T07:08:00Z,000:06,313,Fastener,ID4355,D,0,0,0,
Case 237,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-29T08:12:00Z,2012-01-29T09:32:00Z,001:20,313,Fastener,ID4355,D,17,0,0,
Case 237,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-29T13:31:00Z,2012-01-29T17:10:00Z,003:39,313,Fastener,ID4355,D,37,0,0,
Case 237,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-29T19:57:00Z,2012-01-29T23:14:00Z,003:17,313,Fastener,ID0420,D,66,0,0,
Case 237,Final Inspection Q.C.,Quality Check 1,2012-01-30T13:54:00Z,2012-01-30T18:02:00Z,004:08,313,Fastener,ID4618,D,0,0,0,
Case 237,Packing,Packing,2012-01-31T00:00:00Z,2012-01-31T01:00:00Z,000:00,313,Fastener,ID4291,D,235,0,0,
Case 237,Final Inspection Q.C.,Quality Check 1,2012-01-31T07:00:00Z,2012-01-31T07:47:00Z,000:47,313,Fastener,ID4618,D,0,0,0,
Case 237,Final Inspection Q.C.,Quality Check 1,2012-01-31T09:38:00Z,2012-01-31T11:38:00Z,002:00,313,Fastener,ID4618,D,235,0,0,
Case 237,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-07T08:01:00Z,2012-02-07T09:06:00Z,001:05,313,Fastener,ID4385,S,0,0,0,
Case 237,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-07T09:07:00Z,2012-02-07T10:45:00Z,001:38,313,Fastener,ID4385,D,30,0,0,
Case 237,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-07T10:46:00Z,2012-02-07T13:01:00Z,002:15,313,Fastener,ID4385,D,0,0,0,
Case 237,Final Inspection Q.C.,Quality Check 1,2012-02-19T17:02:00Z,2012-02-19T18:01:00Z,000:59,313,Fastener,ID4618,D,0,0,0,
Case 237,Final Inspection Q.C.,Quality Check 1,2012-02-20T07:18:00Z,2012-02-20T15:33:00Z,008:15,313,Fastener,ID4618,D,49,0,0,
Case 237,Final Inspection Q.C.,Quality Check 1,2012-02-20T15:34:00Z,2012-02-20T15:35:00Z,000:01,313,Fastener,ID4618,D,0,14,0,
Case 237,Packing,Packing,2012-02-21T00:00:00Z,2012-02-21T01:00:00Z,000:00,313,Fastener,ID4820,D,49,0,0,
Case 237,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-03-06T22:30:00Z,2012-03-06T23:35:00Z,001:05,313,Fastener,ID4872,D,0,0,0,
Case 237,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-03-07T10:30:00Z,2012-03-07T13:50:00Z,003:20,313,Fastener,ID4528,D,0,0,0,
Case 73,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-08T06:56:00Z,2012-02-08T07:04:00Z,000:08,50,Fastener,ID4932,S,0,0,0,
Case 73,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-08T07:22:00Z,2012-02-08T16:34:00Z,009:12,50,Fastener,ID4429,S,0,0,0,
Case 73,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-08T20:16:00Z,2012-02-08T23:45:00Z,003:29,50,Fastener,ID4167,S,0,0,0,
Case 73,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-08T23:53:00Z,2012-02-09T02:46:00Z,002:53,50,Fastener,ID4529,S,0,0,0,
Case 73,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-09T06:58:00Z,2012-02-09T09:09:00Z,002:11,50,Fastener,ID4429,S,1,0,0,
Case 73,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-09T09:10:00Z,2012-02-09T10:26:00Z,001:16,50,Fastener,ID4932,S,0,0,0,
Case 73,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-09T10:27:00Z,2012-02-09T16:05:00Z,005:38,50,Fastener,ID4932,D,22,0,0,
Case 73,Turning & Milling Q.C.,Quality Check 1,2012-02-09T10:53:00Z,2012-02-09T11:55:00Z,001:02,50,Fastener,ID4618,D,0,0,0,
Case 73,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-09T17:14:00Z,2012-02-09T21:36:00Z,004:22,50,Fastener,ID4167,D,17,0,0,
Case 73,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-02-09T20:15:00Z,2012-02-09T22:43:00Z,002:28,50,Fastener,ID0997,D,10,0,0,
