Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 235,Turning & Milling Q.C.,Quality Check 1,2012-01-16T14:11:00Z,2012-01-16T14:12:00Z,000:01,13,Flange Bolt,ID4163,S,0,0,0,
Case 235,Turning & Milling Q.C.,Quality Check 1,2012-01-16T16:24:00Z,2012-01-16T18:00:00Z,001:36,13,Flange Bolt,ID4163,S,0,0,0,
Case 235,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-01-16T16:58:00Z,2012-01-16T18:08:00Z,001:10,13,Flange Bolt,ID4132,S,0,0,0,
Case 235,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-01-18T20:08:00Z,2012-01-18T23:30:00Z,003:22,13,Flange Bolt,ID4132,S,0,0,0,
Case 235,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-01-23T07:10:00Z,2012-01-23T17:43:00Z,010:33,13,Flange Bolt,ID4132,S,0,0,0,
Case 235,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-01-24T07:14:00Z,2012-01-24T15:10:00Z,007:56,13,Flange Bolt,ID4132,S,1,0,0,
Case 235,Turning & Milling Q.C.,Quality Check 1,2012-01-24T15:20:00Z,2012-01-24T18:03:00Z,002:43,13,Flange Bolt,ID4163,S,0,0,0,
Case 235,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-01-25T09:07:00Z,2012-01-25T15:44:00Z,006:37,13,Flange Bolt,ID4132,S,1,0,0,
Case 235,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-25T22:46:00Z,2012-01-26T00:03:00Z,001:17,13,Flange Bolt,ID4641,D,0,0,0,
Case 235,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-01-26T00:04:00Z,2012-01-26T06:32:00Z,006:28,13,Flange Bolt,ID4641,D,3,0,0,
Case 235,Turning & Milling Q.C.,Quality Check 1,2012-01-26T07:00:00Z,2012-01-26T08:40:00Z,001:40,13,Flange Bolt,ID4163,S,0,0,0,
Case 235,Turning & Milling Q.C.,Quality Check 1,2012-01-26T09:00:00Z,2012-01-26T10:00:00Z,001:00,13,Flange Bolt,ID4163,S,0,0,0,
Case 235,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-01-26T10:10:00Z,2012-01-26T15:46:00Z,005:36,13,Flange Bolt,ID4132,D,3,0,0,
Case 235,Turning & Milling Q.C.,Quality Check 1,2012-01-26T16:30:00Z,2012-01-26T18:00:00Z,001:30,13,Flange Bolt,ID4163,S,0,0,0,
Case 235,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-01-26T20:33:00Z,2012-01-27T05:36:00Z,009:03,13,Flange Bolt,ID4641,D,4,0,0,
Case 235,Milling - Machine 16,Machine 16 - Milling,2012-01-27T07:00:00Z,2012-01-27T12:30:00Z,005:30,13,Flange Bolt,ID4326,D,0,0,0,
Case 235,Turning & Milling Q.C.,Quality Check 1,2012-01-29T07:15:00Z,2012-01-29T08:40:00Z,001:25,13,Flange Bolt,ID4163,D,0,1,0,
Case 235,Turning & Milling Q.C.,Quality Check 1,2012-01-29T09:00:00Z,2012-01-29T12:50:00Z,003:50,13,Flange Bolt,ID4163,D,11,0,0,
Case 235,Deburring - Manual,Manual Deburring,2012-01-29T16:43:00Z,2012-01-29T17:58:00Z,000:00,13,Flange Bolt,ID0998,D,11,0,0,
Case 235,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-01-29T16:44:00Z,2012-01-29T16:44:00Z,000:01,13,Flange Bolt,ID0998,D,11,0,0,
Case 235,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-29T16:44:00Z,2012-01-29T17:59:00Z,000:00,13,Flange Bolt,ID0998,D,11,0,0,
Case 235,Lapping - Machine 1,Machine 1 - Lapping,2012-01-29T16:45:00Z,2012-01-29T18:00:00Z,000:00,13,Flange Bolt,ID0998,D,11,0,0,
Case 235,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-01-29T20:45:00Z,2012-01-29T23:11:00Z,002:26,13,Flange Bolt,ID4385,S,0,0,0,
Case 235,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-31T00:00:00Z,2012-01-31T03:00:00Z,003:00,13,Flange Bolt,ID4385,S,0,0,0,
Case 235,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-31T03:00:00Z,2012-01-31T06:15:00Z,003:15,13,Flange Bolt,ID4385,D,11,0,0,
Case 235,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-31T06:15:00Z,2012-01-31T07:00:00Z,000:45,13,Flange Bolt,ID4385,S,0,0,0,
Case 235,Round Grinding - Manual,Machine 27 - Grinding,2012-01-31T16:00:00Z,2012-01-31T22:20:00Z,006:20,13,Flange Bolt,ID4528,D,0,0,0,
Case 235,Turning & Milling Q.C.,Quality Check 1,2012-01-31T16:10:00Z,2012-01-31T17:59:00Z,001:49,13,Flange Bolt,ID4163,D,0,0,0,
Case 235,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-01T07:00:00Z,2012-02-01T08:20:00Z,001:20,13,Flange Bolt,ID4445,S,0,0,0,
Case 235,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-01T08:20:00Z,2012-02-01T12:24:00Z,004:04,13,Flange Bolt,ID4445,D,11,0,0,
Case 235,Deburring - Manual,Manual Deburring,2012-02-01T11:42:00Z,2012-02-01T13:46:00Z,002:04,13,Flange Bolt,ID4872,D,0,0,0,
Case 235,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-02-01T13:46:00Z,2012-02-01T14:12:00Z,000:26,13,Flange Bolt,ID4872,D,0,0,0,
Case 235,Packing,Packing,2012-02-02T00:00:00Z,2012-02-02T01:00:00Z,000:00,13,Flange Bolt,ID4820,D,10,0,0,
Case 235,Final Inspection Q.C.,Quality Check 1,2012-02-02T07:00:00Z,2012-02-02T08:40:00Z,001:40,13,Flange Bolt,ID4163,D,0,0,0,
Case 235,Final Inspection Q.C.,Quality Check 1,2012-02-02T07:50:00Z,2012-02-02T08:40:00Z,000:50,13,Flange Bolt,ID4163,D,0,0,0,
Case 235,Final Inspection Q.C.,Quality Check 1,2012-02-02T09:00:00Z,2012-02-02T10:00:00Z,001:00,13,Flange Bolt,ID4163,D,10,0,0,
Case 235,Final Inspection Q.C.,Quality Check 1,2012-02-02T09:00:00Z,2012-02-02T12:50:00Z,003:50,13,Flange Bolt,ID4163,D,0,0,0,
Case 235,Final Inspection Q.C.,Quality Check 1,2012-02-02T13:20:00Z,2012-02-02T18:00:00Z,004:40,13,Flange Bolt,ID4163,D,0,0,0,
Case 235,Final Inspection Q.C.,Quality Check 1,2012-02-22T11:00:00Z,2012-02-22T12:50:00Z,001:50,13,Flange Bolt,ID4163,D,0,1,0,
