Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 207,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-01-09T00:00:00Z,2012-01-09T01:15:00Z,000:00,125,Flange,ID4429,S,0,0,0,
Case 207,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-01-09T00:30:00Z,2012-01-09T07:00:00Z,006:30,125,Flange,ID4529,S,1,0,0,
Case 207,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-01-10T00:00:00Z,2012-01-10T01:15:00Z,000:00,125,Flange,ID4429,S,0,0,0,
Case 207,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-01-10T01:00:00Z,2012-01-10T03:00:00Z,002:00,125,Flange,ID4529,D,4,0,0,
Case 207,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-01-10T03:00:00Z,2012-01-10T06:30:00Z,003:30,125,Flange,ID4529,D,11,0,0,
Case 207,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-01-10T07:00:00Z,2012-01-10T15:59:00Z,008:59,125,Flange,ID4794,S,1,0,0,
Case 207,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-01-10T20:00:00Z,2012-01-11T01:00:00Z,005:00,125,Flange,ID4529,S,0,0,0,
Case 207,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-01-11T00:00:00Z,2012-01-11T01:15:00Z,000:00,125,Flange,ID4429,S,0,0,0,
Case 207,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-01-11T00:00:00Z,2012-01-11T01:15:00Z,000:00,125,Flange,ID4429,S,0,0,0,
Case 207,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-01-11T07:13:00Z,2012-01-11T09:06:00Z,001:53,125,Flange,ID4429,S,0,0,0,
Case 207,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-01-11T09:43:00Z,2012-01-11T15:52:00Z,006:09,125,Flange,ID4794,D,12,0,0,
Case 207,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-01-11T16:04:00Z,2012-01-11T23:42:00Z,007:38,125,Flange,ID4718,D,17,0,0,
Case 207,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-01-11T23:00:00Z,2012-01-12T06:30:00Z,007:30,125,Flange,ID4529,D,9,0,0,
Case 207,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-01-12T07:06:00Z,2012-01-12T18:07:00Z,011:01,125,Flange,ID4794,D,8,0,0,
Case 207,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-12T23:41:00Z,2012-01-13T00:56:00Z,000:00,125,Flange,ID4529,D,0,0,0,
Case 207,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,2012-01-12T23:42:00Z,2012-01-13T06:17:00Z,006:35,125,Flange,ID4529,D,0,0,0,
Case 207,Turning & Milling Q.C.,Quality Check 1,2012-01-13T07:00:00Z,2012-01-13T08:00:00Z,001:00,125,Flange,ID4163,D,56,0,0,
Case 207,Turning & Milling Q.C.,Quality Check 1,2012-01-13T08:00:00Z,2012-01-13T08:20:00Z,000:20,125,Flange,ID4163,D,0,3,0,
Case 207,Turning & Milling Q.C.,Quality Check 1,2012-01-13T08:20:00Z,2012-01-13T08:30:00Z,000:10,125,Flange,ID4163,D,0,2,0,
Case 207,Turning & Milling Q.C.,Quality Check 1,2012-01-13T08:30:00Z,2012-01-13T08:40:00Z,000:10,125,Flange,ID4163,D,0,1,0,
Case 207,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-13T09:32:00Z,2012-01-13T09:33:00Z,000:01,125,Flange,ID4429,D,63,0,0,
Case 207,Turning & Milling Q.C.,Quality Check 1,2012-01-15T14:30:00Z,2012-01-15T14:43:00Z,000:13,125,Flange,ID4163,D,0,1,0,
Case 207,Lapping - Machine 1,Machine 1 - Lapping,2012-01-23T00:00:00Z,2012-01-23T01:15:00Z,000:00,125,Flange,ID4882,D,0,0,0,
Case 207,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-23T13:53:00Z,2012-01-23T14:57:00Z,001:04,125,Flange,ID0998,D,50,0,0,
Case 207,Lapping - Machine 1,Machine 1 - Lapping,2012-01-23T14:57:00Z,2012-01-23T16:52:00Z,001:55,125,Flange,ID0998,D,50,0,0,
Case 207,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-23T16:53:00Z,2012-01-23T16:54:00Z,000:01,125,Flange,ID0998,D,6,0,0,
Case 207,Lapping - Machine 1,Machine 1 - Lapping,2012-01-23T16:54:00Z,2012-01-23T18:09:00Z,000:00,125,Flange,ID0998,D,6,0,0,
Case 207,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-01-24T08:14:00Z,2012-01-24T10:43:00Z,002:29,125,Flange,ID4385,S,0,0,0,
Case 207,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-01-24T11:47:00Z,2012-01-24T12:43:00Z,000:56,125,Flange,ID4385,S,0,0,0,
Case 207,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-01-24T12:43:00Z,2012-01-24T14:51:00Z,002:08,125,Flange,ID4385,D,9,0,0,
Case 207,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-01-24T14:53:00Z,2012-01-24T17:47:00Z,002:54,125,Flange,ID0420,D,14,0,0,Y
Case 207,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-01-24T18:08:00Z,2012-01-24T22:41:00Z,004:33,125,Flange,ID4872,D,14,0,0,
Case 207,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-01-25T07:10:00Z,2012-01-25T08:39:00Z,001:29,125,Flange,ID4385,D,0,0,0,
Case 207,Final Inspection Q.C.,Quality Check 1,2012-01-26T07:00:00Z,2012-01-26T07:30:00Z,000:30,125,Flange,ID4163,D,0,0,0,
Case 207,Final Inspection Q.C.,Quality Check 1,2012-01-26T09:00:00Z,2012-01-26T10:00:00Z,001:00,125,Flange,ID4163,D,0,0,0,
Case 207,Final Inspection Q.C.,Quality Check 1,2012-01-26T11:00:00Z,2012-01-26T12:50:00Z,001:50,125,Flange,ID4163,D,0,0,0,
Case 207,Final Inspection Q.C.,Quality Check 1,2012-01-26T13:20:00Z,2012-01-26T16:11:00Z,002:51,125,Flange,ID4163,D,0,0,0,
Case 207,Final Inspection Q.C.,Quality Check 1,2012-01-26T14:00:00Z,2012-01-26T16:30:00Z,002:30,125,Flange,ID4163,D,0,0,0,
Case 207,Final Inspection Q.C.,Quality Check 1,2012-01-29T07:00:00Z,2012-01-29T07:15:00Z,000:15,125,Flange,ID4163,D,56,0,0,
Case 207,Packing,Packing,2012-01-30T00:00:00Z,2012-01-30T01:00:00Z,000:00,125,Flange,ID4820,D,0,0,0,
Case 207,Packing,Packing,2012-01-30T00:00:00Z,2012-01-30T01:00:00Z,000:00,125,Flange,ID4820,D,56,0,0,
Case 218,Change Version - Machine 22,Machine 22 - Milling,2012-01-30T10:19:00Z,2012-01-30T15:58:00Z,005:39,221,Flange,ID4890,D,23,0,0,
