Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 203,Turning & Milling Q.C.,Quality Check 1,2012-01-08T09:00:00Z,2012-01-08T10:43:00Z,001:43,5,Gauge,ID4618,D,5,0,0,
Case 203,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-08T12:47:00Z,2012-01-08T13:37:00Z,000:50,5,Gauge,ID0998,D,5,0,0,
Case 203,Lapping - Machine 1,Machine 1 - Lapping,2012-01-10T00:00:00Z,2012-01-10T01:15:00Z,000:00,5,Gauge,ID4882,D,0,0,0,
Case 203,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-01-10T11:32:00Z,2012-01-10T11:58:00Z,000:26,5,Gauge,ID0998,D,5,0,0,
Case 203,Lapping - Machine 1,Machine 1 - Lapping,2012-01-11T08:09:00Z,2012-01-11T08:38:00Z,000:29,5,Gauge,ID4882,D,5,0,0,
Case 203,Packing,Packing,2012-01-12T00:00:00Z,2012-01-12T01:00:00Z,000:00,5,Gauge,ID4820,D,5,0,0,
Case 203,Final Inspection Q.C.,Quality Check 1,2012-01-12T06:50:00Z,2012-01-12T07:03:00Z,000:13,5,Gauge,ID4618,D,5,0,0,
Case 224,Turning & Milling Q.C.,Quality Check 1,2012-01-16T07:00:00Z,2012-01-16T08:40:00Z,001:40,40,Gauge,ID4163,S,0,0,0,
Case 224,Turning & Milling Q.C.,Quality Check 1,2012-01-16T09:00:00Z,2012-01-16T09:30:00Z,000:30,40,Gauge,ID4163,S,0,0,0,
Case 224,Turning & Milling Q.C.,Quality Check 1,2012-01-19T16:20:00Z,2012-01-19T16:50:00Z,000:30,40,Gauge,ID4163,S,0,0,0,
Case 227,Packing,Packing,2012-01-05T00:00:00Z,2012-01-05T01:00:00Z,000:00,10,Gauge,ID4820,D,10,0,0,
Case 227,Final Inspection Q.C.,Quality Check 1,2012-01-05T07:00:00Z,2012-01-05T07:56:00Z,000:56,10,Gauge,ID4287,D,10,0,0,
Case 77,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-31T09:35:00Z,2012-01-31T16:01:00Z,006:26,40,Gauge,ID4641,S,0,0,0,
Case 77,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-01T10:48:00Z,2012-02-01T16:04:00Z,005:16,40,Gauge,ID4641,S,0,0,0,
Case 77,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-01T16:06:00Z,2012-02-01T23:42:00Z,007:36,40,Gauge,ID3846,S,0,0,0,
Case 77,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-02T16:22:00Z,2012-02-02T23:40:00Z,007:18,40,Gauge,ID3846,S,0,0,0,
Case 77,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-05T02:13:00Z,2012-02-05T06:38:00Z,004:25,40,Gauge,ID4641,D,3,0,0,
Case 77,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-05T07:11:00Z,2012-02-05T17:47:00Z,010:36,40,Gauge,ID4132,D,7,0,0,
Case 77,Turning & Milling Q.C.,Quality Check 1,2012-02-05T09:00:00Z,2012-02-05T12:00:00Z,003:00,40,Gauge,ID4163,D,39,1,0,
Case 77,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-05T20:34:00Z,2012-02-06T06:39:00Z,010:05,40,Gauge,ID4641,D,7,0,0,
Case 77,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-06T06:58:00Z,2012-02-06T17:49:00Z,010:51,40,Gauge,ID3846,D,10,0,0,
Case 77,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-06T20:16:00Z,2012-02-07T06:31:00Z,010:15,40,Gauge,ID4641,D,11,0,0,
Case 77,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-07T07:11:00Z,2012-02-07T09:21:00Z,002:10,40,Gauge,ID3846,D,2,0,0,
Case 77,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-02-07T09:21:00Z,2012-02-07T15:43:00Z,006:22,40,Gauge,ID3846,S,2,0,0,
Case 77,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-02-07T20:17:00Z,2012-02-08T00:00:00Z,003:43,40,Gauge,ID4641,S,1,0,0,
Case 77,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-08T00:00:00Z,2012-02-08T01:30:00Z,001:30,40,Gauge,ID4445,S,0,0,0,
Case 77,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-02-08T00:00:00Z,2012-02-08T06:30:00Z,006:30,40,Gauge,ID4641,D,6,0,0,
Case 77,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-08T01:30:00Z,2012-02-08T06:00:00Z,004:30,40,Gauge,ID4445,D,14,0,0,
Case 77,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-02-08T11:40:00Z,2012-02-08T17:50:00Z,006:10,40,Gauge,ID3846,D,12,0,0,
Case 77,Turning & Milling Q.C.,Quality Check 1,2012-02-08T13:20:00Z,2012-02-08T14:11:00Z,000:51,40,Gauge,ID4163,D,38,1,0,
Case 77,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-08T14:12:00Z,2012-02-08T15:27:00Z,000:00,40,Gauge,ID0998,D,38,0,0,
Case 77,Round Grinding - Machine 12,Machine 12 - Grinding,2012-02-08T16:00:00Z,2012-02-08T17:40:00Z,001:40,40,Gauge,ID4528,S,1,0,0,
Case 77,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-02-08T16:18:00Z,2012-02-08T16:19:00Z,000:01,40,Gauge,ID0998,D,5,0,0,
Case 77,Lapping - Machine 1,Machine 1 - Lapping,2012-02-08T16:19:00Z,2012-02-08T17:34:00Z,000:00,40,Gauge,ID0998,D,5,0,0,
Case 77,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-02-08T16:20:00Z,2012-02-08T19:01:00Z,002:41,40,Gauge,ID0998,D,4,0,0,
Case 77,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-08T17:43:00Z,2012-02-08T20:52:00Z,003:09,40,Gauge,ID4355,S,1,0,0,
