Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 91,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-21T14:20:00Z,2012-02-21T16:02:00Z,001:42,350,Hinge,ID4429,S,0,0,0,
Case 91,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-21T16:04:00Z,2012-02-21T21:56:00Z,005:52,350,Hinge,ID4167,S,3,0,0,
Case 91,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-21T21:56:00Z,2012-02-21T23:41:00Z,001:45,350,Hinge,ID4167,D,0,0,0,
Case 91,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-21T23:08:00Z,2012-02-22T06:34:00Z,007:26,350,Hinge,ID4529,D,85,0,0,
Case 91,Turning Q.C.,Quality Check 1,2012-02-22T06:52:00Z,2012-02-22T06:58:00Z,000:06,350,Hinge,ID4618,D,0,0,0,
Case 91,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-22T07:22:00Z,2012-02-22T07:42:00Z,000:20,350,Hinge,ID4794,B,0,0,0,
Case 91,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-22T07:42:00Z,2012-02-22T15:56:00Z,008:14,350,Hinge,ID4932,D,82,0,0,
Case 91,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-22T18:13:00Z,2012-02-22T20:22:00Z,002:09,350,Hinge,ID4167,D,11,0,0,
Case 91,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-22T20:23:00Z,2012-02-23T06:30:00Z,010:07,350,Hinge,ID4529,D,114,0,0,
Case 91,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-23T06:52:00Z,2012-02-23T13:26:00Z,006:34,350,Hinge,ID4932,D,42,0,0,
Case 91,Turning Q.C.,Quality Check 1,2012-02-23T09:09:00Z,2012-02-23T12:52:00Z,003:43,350,Hinge,ID4618,D,0,0,0,
Case 91,Turning Q.C.,Quality Check 1,2012-02-26T15:20:00Z,2012-02-26T15:52:00Z,000:32,350,Hinge,ID4618,D,336,0,0,
Case 91,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-27T15:40:00Z,2012-02-27T15:41:00Z,000:01,350,Hinge,ID0998,D,336,0,0,
Case 91,Turning Q.C.,Quality Check 1,2012-02-27T15:47:00Z,2012-02-27T15:50:00Z,000:03,350,Hinge,ID4618,D,1,0,0,
Case 91,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-27T15:48:00Z,2012-02-27T17:03:00Z,000:00,350,Hinge,ID0998,D,1,0,0,
Case 91,Final Inspection Q.C.,Quality Check 1,2012-02-27T15:51:00Z,2012-02-27T15:52:00Z,000:01,350,Hinge,ID4618,D,337,0,0,
Case 91,Packing,Packing,2012-02-28T00:00:00Z,2012-02-28T01:00:00Z,000:00,350,Hinge,ID4491,D,337,0,0,
Case 91,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-28T00:00:00Z,2012-02-28T01:15:00Z,000:00,350,Hinge,ID0937,D,0,13,0,
