Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 101,Setup - Machine 8,Machine 8 - Turning & Milling,2012-03-13T18:47:00Z,2012-03-13T20:03:00Z,001:16,27,Housing,ID4219,S,0,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-13T20:38:00Z,2012-03-13T23:03:00Z,002:25,27,Housing,ID4219,S,0,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-13T23:04:00Z,2012-03-13T23:49:00Z,000:45,27,Housing,ID4219,B,0,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-13T23:50:00Z,2012-03-14T01:06:00Z,001:16,27,Housing,ID4219,D,7,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14T01:06:00Z,2012-03-14T06:28:00Z,005:22,27,Housing,ID4794,D,17,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14T07:02:00Z,2012-03-14T07:48:00Z,000:46,27,Housing,ID0997,D,3,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14T07:49:00Z,2012-03-14T11:10:00Z,003:21,27,Housing,ID0997,S,0,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14T11:11:00Z,2012-03-14T13:30:00Z,002:19,27,Housing,ID0997,D,27,0,0,
Case 101,Turning & Milling Q.C.,Quality Check 1,2012-03-14T13:33:00Z,2012-03-14T14:48:00Z,000:00,27,Housing,ID4618,D,27,0,0,
Case 101,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-03-15T09:55:00Z,2012-03-15T10:55:00Z,001:00,27,Housing,ID0998,D,27,0,0,
Case 101,Lapping - Machine 1,Machine 1 - Lapping,2012-03-23T11:00:00Z,2012-03-23T12:40:00Z,001:40,27,Housing,ID0998,D,21,0,0,
Case 101,Round Grinding - Machine 12,Machine 12 - Grinding,2012-03-24T22:15:00Z,2012-03-24T23:45:00Z,001:30,27,Housing,ID4528,S,0,0,0,
Case 101,Round Grinding - Machine 12,Machine 12 - Grinding,2012-03-24T23:45:00Z,2012-03-25T06:45:00Z,007:00,27,Housing,ID4528,D,17,0,0,
Case 101,Final Inspection Q.C.,Quality Check 1,2012-03-25T06:50:00Z,2012-03-25T11:31:00Z,004:41,27,Housing,ID4618,D,17,0,0,
Case 101,Lapping - Machine 1,Machine 1 - Lapping,2012-03-25T10:00:00Z,2012-03-25T11:00:00Z,001:00,27,Housing,ID0998,D,6,0,0,
Case 101,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-25T11:15:00Z,2012-03-25T11:29:00Z,000:14,27,Housing,ID0998,D,17,0,0,
Case 101,Packing,Packing,2012-03-26T00:00:00Z,2012-03-26T01:00:00Z,000:00,27,Housing,ID4820,D,17,0,0,
Case 126,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-03-21T00:00:00Z,2012-03-21T01:15:00Z,000:00,10,Housing,ID4429,S,0,0,0,
