Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 268,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-01-25T07:58:00Z,2012-01-25T16:48:00Z,008:50,35,Locknut,ID0997,S,1,0,0,
Case 268,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-01-25T16:48:00Z,2012-01-25T18:00:00Z,001:12,35,Locknut,ID0997,S,0,0,0,
Case 268,Turning & Milling Q.C.,Quality Check 1,2012-01-25T17:02:00Z,2012-01-25T18:02:00Z,001:00,35,Locknut,ID4618,D,0,0,0,
Case 268,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-01-26T07:26:00Z,2012-01-26T11:34:00Z,004:08,35,Locknut,ID0997,S,0,0,0,
Case 268,Turning & Milling Q.C.,Quality Check 1,2012-01-26T08:15:00Z,2012-01-26T09:20:00Z,001:05,35,Locknut,ID4618,D,0,0,0,
Case 268,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-01-26T11:35:00Z,2012-01-26T16:01:00Z,004:26,35,Locknut,ID0997,D,16,0,0,
Case 268,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-01-26T18:18:00Z,2012-01-26T23:35:00Z,005:17,35,Locknut,ID4872,D,11,0,0,
Case 268,Turning & Milling Q.C.,Quality Check 1,2012-01-29T00:00:00Z,2012-01-29T01:15:00Z,000:00,35,Locknut,ID4287,D,34,0,0,
Case 268,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-01-29T11:31:00Z,2012-01-29T13:40:00Z,002:09,35,Locknut,ID0997,D,7,0,0,
Case 268,Turning & Milling Q.C.,Quality Check 1,2012-01-29T12:00:00Z,2012-01-29T13:43:00Z,001:43,35,Locknut,ID4287,D,0,1,0,
Case 268,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-01-29T13:46:00Z,2012-01-29T15:56:00Z,002:10,35,Locknut,ID0997,S,1,0,0,
Case 268,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-01-29T20:09:00Z,2012-01-29T23:46:00Z,003:37,35,Locknut,ID4794,D,33,0,0,
Case 268,Turning & Milling Q.C.,Quality Check 1,2012-01-30T06:59:00Z,2012-01-30T07:29:00Z,000:30,35,Locknut,ID4618,D,0,0,0,
Case 268,Turning & Milling Q.C.,Quality Check 1,2012-01-30T08:10:00Z,2012-01-30T09:25:00Z,000:00,35,Locknut,ID4618,D,34,0,0,
Case 268,Turning & Milling Q.C.,Quality Check 1,2012-02-06T09:00:00Z,2012-02-06T10:21:00Z,001:21,35,Locknut,ID4618,D,0,0,0,
Case 268,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-02-08T09:51:00Z,2012-02-08T10:52:00Z,001:01,35,Locknut,ID4882,D,34,0,0,
Case 268,Lapping - Machine 1,Machine 1 - Lapping,2012-02-12T15:27:00Z,2012-02-12T16:07:00Z,000:40,35,Locknut,ID0998,D,34,0,0,
Case 268,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-13T19:40:00Z,2012-02-13T23:30:00Z,003:50,35,Locknut,ID4385,S,0,0,0,
Case 268,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-13T23:30:00Z,2012-02-14T06:50:00Z,007:20,35,Locknut,ID0420,D,25,0,0,
Case 268,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-14T06:54:00Z,2012-02-14T09:10:00Z,002:16,35,Locknut,ID4445,D,9,0,0,
Case 268,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-15T14:41:00Z,2012-02-15T15:26:00Z,000:45,35,Locknut,ID0998,D,34,0,0,
Case 268,Packing,Packing,2012-02-16T00:00:00Z,2012-02-16T01:00:00Z,000:00,35,Locknut,ID4291,D,34,0,0,
Case 268,Final Inspection Q.C.,Quality Check 1,2012-02-16T06:50:00Z,2012-02-16T07:19:00Z,000:29,35,Locknut,ID4493,D,34,0,0,
