Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 205,Round Grinding - Manual,Machine 27 - Grinding,2012-03-06T18:00:00Z,2012-03-06T19:40:00Z,001:40,25,O-Ring,ID4872,S,0,0,0,
Case 205,Round Grinding - Manual,Machine 27 - Grinding,2012-03-06T19:40:00Z,2012-03-06T20:30:00Z,000:50,25,O-Ring,ID4872,D,0,0,0,
Case 205,Final Inspection Q.C.,Quality Check 1,2012-03-07T14:30:00Z,2012-03-07T15:17:00Z,000:47,25,O-Ring,ID4618,D,2,0,0,
Case 205,Packing,Packing,2012-03-08T00:00:00Z,2012-03-08T01:00:00Z,000:00,25,O-Ring,ID4820,D,2,0,0,Y
Case 265,Turning - Machine 8,Machine 15 - Turning,2012-01-04T10:52:00Z,2012-01-04T15:59:00Z,005:07,9,O-Ring,ID0997,S,0,0,0,
Case 265,Turning - Machine 8,Machine 15 - Turning,2012-01-05T07:34:00Z,2012-01-05T08:26:00Z,000:52,9,O-Ring,ID0997,D,9,0,0,
Case 265,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-01-09T07:04:00Z,2012-01-09T10:49:00Z,003:45,9,O-Ring,ID0997,S,0,0,0,
Case 265,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-01-09T09:49:00Z,2012-01-09T10:29:00Z,000:40,9,O-Ring,ID0997,S,0,0,0,
Case 265,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-01-09T10:27:00Z,2012-01-09T11:21:00Z,000:54,9,O-Ring,ID0997,D,9,0,0,
Case 265,Turning & Milling Q.C.,Quality Check 1,2012-01-09T11:35:00Z,2012-01-09T12:50:00Z,000:00,9,O-Ring,ID4618,D,9,0,0,
Case 265,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-16T08:12:00Z,2012-01-16T08:28:00Z,000:16,9,O-Ring,ID0998,D,9,0,0,
Case 265,Lapping - Machine 1,Machine 1 - Lapping,2012-01-16T08:28:00Z,2012-01-16T09:37:00Z,001:09,9,O-Ring,ID0998,D,9,0,0,
Case 265,Round Grinding - Manual,Machine 27 - Grinding,2012-01-16T13:37:00Z,2012-01-16T14:54:00Z,001:17,9,O-Ring,ID4872,S,0,0,0,
Case 265,Round Grinding - Manual,Machine 27 - Grinding,2012-01-16T14:54:00Z,2012-01-16T15:53:00Z,000:59,9,O-Ring,ID4872,D,1,0,0,
Case 265,Round Grinding - Manual,Machine 27 - Grinding,2012-01-17T06:50:00Z,2012-01-17T07:18:00Z,000:28,9,O-Ring,ID4872,D,0,0,0,
Case 265,Round Grinding - Manual,Machine 27 - Grinding,2012-01-17T07:22:00Z,2012-01-17T11:10:00Z,003:48,9,O-Ring,ID4872,D,8,0,0,
Case 265,Final Inspection Q.C.,Quality Check 1,2012-01-17T13:00:00Z,2012-01-17T18:03:00Z,005:03,9,O-Ring,ID4618,D,0,0,0,
Case 265,Final Inspection Q.C.,Quality Check 1,2012-01-18T10:20:00Z,2012-01-18T16:07:00Z,005:47,9,O-Ring,ID4618,D,0,0,0,
Case 265,Packing,Packing,2012-01-19T00:00:00Z,2012-01-19T01:00:00Z,000:00,9,O-Ring,ID4291,D,8,0,0,
Case 265,Final Inspection Q.C.,Quality Check 1,2012-01-19T10:46:00Z,2012-01-19T12:01:00Z,000:00,9,O-Ring,ID4618,D,8,0,0,
