Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 141,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-03-26T00:00:00Z,2012-03-26T01:15:00Z,000:00,37,Piston,ID4429,S,0,0,0,
Case 147,Turning - Machine 8,Machine 8 - Turning & Milling,2012-03-11T18:36:00Z,2012-03-11T23:12:00Z,004:36,60,Piston,ID4219,S,1,0,0,
Case 147,Turning - Machine 8,Machine 8 - Turning & Milling,2012-03-12T07:00:00Z,2012-03-12T11:00:00Z,004:00,60,Piston,ID0997,S,0,0,0,
Case 147,Turning - Machine 8,Machine 8 - Turning & Milling,2012-03-12T11:00:00Z,2012-03-12T15:54:00Z,004:54,60,Piston,ID0997,D,28,0,0,
Case 147,Turning - Machine 8,Machine 8 - Turning & Milling,2012-03-12T19:25:00Z,2012-03-13T02:04:00Z,006:39,60,Piston,ID4219,D,31,0,0,
Case 147,Packing,Packing,2012-03-13T00:00:00Z,2012-03-13T01:00:00Z,000:00,60,Piston,ID4820,D,59,0,0,
Case 147,Turning Q.C.,Quality Check 1,2012-03-13T07:00:00Z,2012-03-13T08:00:00Z,001:00,60,Piston,ID4287,D,59,0,0,
Case 147,Deburring - Manual,Manual Deburring,2012-03-13T10:23:00Z,2012-03-13T14:00:00Z,003:37,60,Piston,ID4360,D,59,0,0,
Case 147,Final Inspection Q.C.,Quality Check 1,2012-03-13T13:20:00Z,2012-03-13T14:03:00Z,000:43,60,Piston,ID4287,D,59,0,0,
Case 148,Rework Milling - Machine 28,Manual Milling - Machine 28,2012-01-11T10:00:00Z,2012-01-11T11:30:00Z,001:30,78,Piston,ID3641,D,0,0,0,
Case 148,Fix EDM,Machine 17 - Sinking,2012-01-17T08:00:00Z,2012-01-17T15:00:00Z,007:00,78,Piston,ID3767,D,1,0,0,
Case 148,Packing,Packing,2012-02-26T00:00:00Z,2012-02-26T01:00:00Z,000:00,78,Piston,ID4291,D,1,0,0,
Case 148,Final Inspection Q.C.,Quality Check 1,2012-02-26T00:00:00Z,2012-02-26T01:15:00Z,000:00,78,Piston,ID4287,D,1,0,0,
Case 148,Milling Q.C.,Quality Check 1,2012-02-26T00:00:00Z,2012-02-26T01:15:00Z,000:00,78,Piston,ID4287,D,1,0,0,
Case 148,Milling - Machine 14,Machine 14 - Milling,2012-02-26T13:38:00Z,2012-02-26T14:53:00Z,000:00,78,Piston,ID4287,D,1,0,0,
Case 148,Final Inspection Q.C.,Quality Check 1,2012-02-26T13:39:00Z,2012-02-26T14:00:00Z,000:21,78,Piston,ID4287,D,0,0,0,
Case 192,Rework Milling - Machine 28,Manual Milling - Machine 28,2012-01-11T08:00:00Z,2012-01-11T10:00:00Z,002:00,200,Piston,ID3641,D,0,0,0,
Case 192,Turning & Milling Q.C.,Quality Check 1,2012-01-11T10:08:00Z,2012-01-11T11:09:00Z,001:01,200,Piston,ID4287,D,0,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-07T09:54:00Z,2012-02-07T16:17:00Z,006:23,200,Piston,ID4132,S,1,0,0,
Case 192,Turning & Milling Q.C.,Quality Check 1,2012-02-08T07:05:00Z,2012-02-08T08:40:00Z,001:35,200,Piston,ID4287,D,0,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-08T07:17:00Z,2012-02-08T08:41:00Z,001:24,200,Piston,ID4132,S,0,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-08T08:43:00Z,2012-02-08T15:46:00Z,007:03,200,Piston,ID4132,D,7,0,0,Y
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-08T20:14:00Z,2012-02-08T20:17:00Z,000:03,200,Piston,ID4641,D,0,0,0,Y
Case 192,Turning & Milling Q.C.,Quality Check 1,2012-02-09T07:00:00Z,2012-02-09T08:40:00Z,001:40,200,Piston,ID4287,D,0,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-09T07:12:00Z,2012-02-09T10:13:00Z,003:01,200,Piston,ID4132,D,3,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-09T10:16:00Z,2012-02-09T15:56:00Z,005:40,200,Piston,ID3846,D,6,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-09T20:14:00Z,2012-02-10T06:45:00Z,010:31,200,Piston,ID4641,D,11,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-10T06:54:00Z,2012-02-10T12:53:00Z,005:59,200,Piston,ID3846,D,6,0,0,
Case 192,Turning & Milling Q.C.,Quality Check 1,2012-02-10T09:37:00Z,2012-02-10T10:40:00Z,001:03,200,Piston,ID4287,D,0,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-11T22:10:00Z,2012-02-12T06:37:00Z,008:27,200,Piston,ID4132,D,9,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-12T06:51:00Z,2012-02-12T07:06:00Z,000:15,200,Piston,ID3846,D,0,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-12T09:00:00Z,2012-02-12T15:59:00Z,006:59,200,Piston,ID3846,D,7,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-12T16:07:00Z,2012-02-12T23:24:00Z,007:17,200,Piston,ID4132,D,8,0,0,
Case 192,Turning & Milling Q.C.,Quality Check 1,2012-02-12T17:42:00Z,2012-02-12T18:03:00Z,000:21,200,Piston,ID4287,D,0,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-12T23:48:00Z,2012-02-13T06:41:00Z,006:53,200,Piston,ID4794,D,8,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-13T07:16:00Z,2012-02-13T14:34:00Z,007:18,200,Piston,ID3846,S,1,0,0,
Case 192,Turning & Milling Q.C.,Quality Check 1,2012-02-13T07:30:00Z,2012-02-13T09:49:00Z,002:19,200,Piston,ID4287,D,60,0,0,
Case 192,Turning & Milling Q.C.,Quality Check 1,2012-02-13T09:40:00Z,2012-02-13T10:02:00Z,000:22,200,Piston,ID4287,D,6,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-13T14:37:00Z,2012-02-13T15:58:00Z,001:21,200,Piston,ID3846,S,0,0,0,
Case 192,Turning & Milling Q.C.,Quality Check 1,2012-02-13T15:00:00Z,2012-02-13T16:02:00Z,001:02,200,Piston,ID4287,D,1,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-13T16:19:00Z,2012-02-13T17:58:00Z,001:39,200,Piston,ID4132,S,1,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-13T18:01:00Z,2012-02-13T23:23:00Z,005:22,200,Piston,ID4132,D,6,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-13T23:46:00Z,2012-02-14T06:46:00Z,007:00,200,Piston,ID4932,D,6,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-14T07:02:00Z,2012-02-14T13:31:00Z,006:29,200,Piston,ID3846,D,6,0,0,
Case 192,Turning & Milling Q.C.,Quality Check 1,2012-02-14T10:44:00Z,2012-02-14T13:35:00Z,002:51,200,Piston,ID4287,D,20,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-14T13:32:00Z,2012-02-14T14:47:00Z,000:00,200,Piston,ID3846,D,1,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-14T13:33:00Z,2012-02-14T17:21:00Z,003:48,200,Piston,ID3846,D,4,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-14T18:01:00Z,2012-02-14T19:58:00Z,001:57,200,Piston,ID4132,D,2,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-14T19:59:00Z,2012-02-15T06:40:00Z,010:41,200,Piston,ID4932,D,12,0,0,
Case 192,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-15T06:54:00Z,2012-02-15T15:09:00Z,008:15,200,Piston,ID3846,D,8,0,0,
Case 192,Turning & Milling Q.C.,Quality Check 1,2012-02-15T14:58:00Z,2012-02-15T16:00:00Z,001:02,200,Piston,ID4287,D,20,0,0,
