Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 121,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-03-05T22:00:00Z,2012-03-05T23:59:00Z,001:59,12,Plug,ID4529,S,1,0,0,
Case 121,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-03-05T23:59:00Z,2012-03-06T03:00:00Z,003:01,12,Plug,ID4529,D,11,0,0,
Case 121,Turning Q.C.,Quality Check 1,2012-03-06T00:00:00Z,2012-03-06T01:15:00Z,000:00,12,Plug,ID0937,D,12,0,0,
Case 121,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-03-06T06:57:00Z,2012-03-06T10:23:00Z,003:26,12,Plug,ID4429,S,0,0,0,
Case 121,Turning Q.C.,Quality Check 1,2012-03-06T07:17:00Z,2012-03-06T08:17:00Z,001:00,12,Plug,ID4493,D,11,0,0,
Case 121,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-03-14T11:17:00Z,2012-03-14T15:11:00Z,003:54,12,Plug,ID4529,S,0,0,0,
Case 121,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-03-14T11:19:00Z,2012-03-14T12:34:00Z,000:00,12,Plug,ID0997,S,0,0,0,
Case 121,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-03-14T19:56:00Z,2012-03-14T21:55:00Z,001:59,12,Plug,ID4932,S,0,0,0,
Case 121,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-03-14T21:56:00Z,2012-03-14T23:32:00Z,001:36,12,Plug,ID4932,D,11,0,0,
Case 121,Turning & Milling Q.C.,Quality Check 1,2012-03-15T09:00:00Z,2012-03-15T09:38:00Z,000:38,12,Plug,ID4493,D,11,0,0,
Case 121,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-16T11:15:00Z,2012-03-16T11:39:00Z,000:24,12,Plug,ID0998,D,11,0,0,
Case 121,Deburring - Manual,Manual Deburring,2012-03-18T08:16:00Z,2012-03-18T08:17:00Z,000:01,12,Plug,ID0998,D,11,0,0,
Case 121,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-03-18T08:19:00Z,2012-03-18T09:52:00Z,001:33,12,Plug,ID0998,D,11,0,0,
Case 121,Lapping - Machine 1,Machine 1 - Lapping,2012-03-18T09:52:00Z,2012-03-18T11:43:00Z,001:51,12,Plug,ID0998,D,11,0,0,
Case 121,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-19T08:03:00Z,2012-03-19T10:00:00Z,001:57,12,Plug,ID4385,S,0,0,0,
Case 121,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-19T10:02:00Z,2012-03-19T13:19:00Z,003:17,12,Plug,ID4385,D,11,0,0,
Case 121,Round Grinding - Q.C.,Quality Check 1,2012-03-21T08:31:00Z,2012-03-21T10:32:00Z,002:01,12,Plug,ID4493,D,11,0,0,
Case 121,Lapping - Machine 1,Machine 1 - Lapping,2012-03-27T10:45:00Z,2012-03-27T13:26:00Z,002:41,12,Plug,ID0998,D,11,0,0,
Case 121,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-28T06:00:00Z,2012-03-28T06:40:00Z,000:40,12,Plug,ID0420,S,0,0,0,
Case 121,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-28T07:00:00Z,2012-03-28T13:03:00Z,006:03,12,Plug,ID4445,S,0,0,0,
Case 122,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-03-04T10:14:00Z,2012-03-04T12:57:00Z,002:43,12,Plug,ID4429,S,1,0,0,
Case 122,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-03-04T12:58:00Z,2012-03-04T17:59:00Z,005:01,12,Plug,ID4429,D,11,0,0,
Case 122,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-03-05T06:53:00Z,2012-03-05T12:14:00Z,005:21,12,Plug,ID4429,S,1,0,0,
Case 122,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-03-05T12:15:00Z,2012-03-05T15:56:00Z,003:41,12,Plug,ID4429,D,11,0,0,
Case 122,Turning & Milling Q.C.,Quality Check 1,2012-03-05T13:20:00Z,2012-03-05T14:50:00Z,001:30,12,Plug,ID4163,D,0,0,0,
Case 122,Turning & Milling Q.C.,Quality Check 1,2012-03-07T07:39:00Z,2012-03-07T08:39:00Z,001:00,12,Plug,ID4493,D,12,0,0,
Case 122,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-07T09:08:00Z,2012-03-07T10:23:00Z,000:00,12,Plug,ID0998,D,12,0,0,
Case 122,Deburring - Manual,Manual Deburring,2012-03-07T10:58:00Z,2012-03-07T12:13:00Z,000:00,12,Plug,ID0998,D,12,0,0,
Case 122,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-03-07T10:59:00Z,2012-03-07T12:14:00Z,000:00,12,Plug,ID4882,D,12,0,0,
Case 122,Lapping - Machine 1,Machine 1 - Lapping,2012-03-07T15:06:00Z,2012-03-07T16:12:00Z,001:06,12,Plug,ID0998,D,12,0,0,
Case 122,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-03-07T20:11:00Z,2012-03-07T22:36:00Z,002:25,12,Plug,ID4445,S,0,0,0,
Case 122,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-03-07T22:36:00Z,2012-03-08T02:21:00Z,003:45,12,Plug,ID4445,D,12,0,0,
Case 122,Round Grinding - Q.C.,Quality Check 1,2012-03-13T09:00:00Z,2012-03-13T12:50:00Z,003:50,12,Plug,ID4287,D,0,0,0,
Case 122,Round Grinding - Q.C.,Quality Check 1,2012-03-13T14:00:00Z,2012-03-13T14:44:00Z,000:44,12,Plug,ID4287,D,12,0,0,
Case 122,Lapping - Machine 1,Machine 1 - Lapping,2012-03-21T00:00:00Z,2012-03-21T01:15:00Z,000:00,12,Plug,ID4882,D,0,0,0,
Case 122,Lapping - Machine 1,Machine 1 - Lapping,2012-03-21T08:25:00Z,2012-03-21T10:10:00Z,001:45,12,Plug,ID0998,D,12,0,0,
