Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 188,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-02T12:15:00Z,2012-01-02T14:00:00Z,001:45,350,Punch Holder,ID0998,D,144,0,0,
Case 188,Lapping - Machine 1,Machine 1 - Lapping,2012-01-02T12:20:00Z,2012-01-02T12:50:00Z,000:30,350,Punch Holder,ID4882,D,0,0,0,
Case 188,Lapping - Machine 1,Machine 1 - Lapping,2012-01-02T13:20:00Z,2012-01-02T16:00:00Z,002:40,350,Punch Holder,ID4882,D,0,0,0,
Case 188,Lapping - Machine 1,Machine 1 - Lapping,2012-01-02T16:00:00Z,2012-01-02T17:00:00Z,001:00,350,Punch Holder,ID0998,D,144,0,0,
Case 188,Turning & Milling Q.C.,Quality Check 1,2012-01-17T11:18:00Z,2012-01-17T11:22:00Z,000:04,350,Punch Holder,ID4618,D,27,0,0,
Case 188,Wire Cut - Machine 13,Wire Cut - Machine 13,2012-01-29T07:00:00Z,2012-01-29T13:00:00Z,006:00,350,Punch Holder,ID3767,D,27,0,0,
Case 188,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-01T12:24:00Z,2012-02-01T14:34:00Z,002:10,350,Punch Holder,ID4445,S,0,0,0,
Case 188,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-01T14:34:00Z,2012-02-01T17:59:00Z,003:25,350,Punch Holder,ID4445,D,22,0,0,
Case 188,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-01T20:24:00Z,2012-02-02T06:47:00Z,010:23,350,Punch Holder,ID0420,D,45,0,0,
Case 188,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-02T07:02:00Z,2012-02-02T09:57:00Z,002:55,350,Punch Holder,ID4445,D,10,0,0,
Case 188,Final Inspection Q.C.,Quality Check 1,2012-02-02T09:19:00Z,2012-02-02T09:23:00Z,000:04,350,Punch Holder,ID4618,D,0,0,0,
Case 188,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-02T10:36:00Z,2012-02-02T13:31:00Z,002:55,350,Punch Holder,ID4445,D,12,0,0,
Case 188,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-02T10:38:00Z,2012-02-02T10:40:00Z,000:02,350,Punch Holder,ID0998,D,27,0,0,
Case 188,Lapping - Machine 1,Machine 1 - Lapping,2012-02-02T13:29:00Z,2012-02-02T13:30:00Z,000:01,350,Punch Holder,ID0998,D,27,0,0,
Case 188,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-02T13:32:00Z,2012-02-02T13:55:00Z,000:23,350,Punch Holder,ID4445,D,0,0,0,
Case 188,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-02T19:58:00Z,2012-02-03T00:55:00Z,004:57,350,Punch Holder,ID0420,D,23,0,0,
Case 188,Final Inspection Q.C.,Quality Check 1,2012-02-03T10:36:00Z,2012-02-03T12:54:00Z,002:18,350,Punch Holder,ID4618,D,0,0,0,
Case 188,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-04T22:45:00Z,2012-02-05T06:53:00Z,008:08,350,Punch Holder,ID4445,D,39,0,0,Y
Case 188,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-05T00:00:00Z,2012-02-05T01:15:00Z,000:00,350,Punch Holder,ID4445,D,20,0,0,
Case 188,Final Inspection Q.C.,Quality Check 1,2012-02-05T07:28:00Z,2012-02-05T11:32:00Z,004:04,350,Punch Holder,ID4618,D,0,0,0,
Case 188,Final Inspection Q.C.,Quality Check 1,2012-02-05T14:04:00Z,2012-02-05T14:07:00Z,000:03,350,Punch Holder,ID4618,D,27,0,0,
Case 188,Turning & Milling Q.C.,Quality Check 1,2012-02-05T14:15:00Z,2012-02-05T14:18:00Z,000:03,350,Punch Holder,ID4618,D,0,5,0,
Case 188,Turning & Milling Q.C.,Quality Check 1,2012-02-05T14:16:00Z,2012-02-05T14:43:00Z,000:27,350,Punch Holder,ID4618,D,0,0,0,
Case 188,Turning & Milling Q.C.,Quality Check 1,2012-02-05T14:17:00Z,2012-02-05T14:43:00Z,000:26,350,Punch Holder,ID4618,D,0,0,0,
Case 188,Final Inspection Q.C.,Quality Check 1,2012-02-05T14:39:00Z,2012-02-05T14:44:00Z,000:05,350,Punch Holder,ID4618,D,0,6,0,
Case 188,Packing,Packing,2012-02-06T00:00:00Z,2012-02-06T01:00:00Z,000:00,350,Punch Holder,ID4820,D,27,0,0,
Case 188,Final Inspection Q.C.,Quality Check 1,2012-02-06T07:14:00Z,2012-02-06T18:01:00Z,010:47,350,Punch Holder,ID4618,D,0,0,0,
Case 188,Packing,Packing,2012-02-07T00:00:00Z,2012-02-07T01:00:00Z,000:00,350,Punch Holder,ID4491,D,149,0,0,
Case 188,Final Inspection Q.C.,Quality Check 1,2012-02-07T13:48:00Z,2012-02-07T15:03:00Z,000:00,350,Punch Holder,ID4618,D,149,0,0,
Case 267,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-05T12:14:00Z,2012-01-05T17:58:00Z,005:44,350,Punch Holder,ID4167,S,0,0,0,
Case 267,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-05T20:21:00Z,2012-01-06T01:14:00Z,004:53,350,Punch Holder,ID4794,S,2,0,0,
Case 267,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-06T01:15:00Z,2012-01-06T06:39:00Z,005:24,350,Punch Holder,ID4794,D,15,0,0,
Case 267,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-06T07:34:00Z,2012-01-06T12:52:00Z,005:18,350,Punch Holder,ID4167,D,20,0,0,
Case 267,Turning & Milling Q.C.,Quality Check 1,2012-01-06T07:39:00Z,2012-01-06T09:44:00Z,002:05,350,Punch Holder,ID4618,D,0,0,0,
Case 267,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-06T13:00:00Z,2012-01-07T07:00:00Z,018:00,350,Punch Holder,ID4529,D,30,0,0,
Case 267,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-07T07:00:00Z,2012-01-07T23:30:00Z,016:30,350,Punch Holder,ID4529,D,30,0,0,
Case 267,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-07T23:37:00Z,2012-01-08T06:43:00Z,007:06,350,Punch Holder,ID4641,D,33,0,0,
Case 267,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-08T07:00:00Z,2012-01-08T16:05:00Z,009:05,350,Punch Holder,ID4932,D,28,0,0,
Case 267,Turning & Milling Q.C.,Quality Check 1,2012-01-08T07:50:00Z,2012-01-08T10:00:00Z,002:10,350,Punch Holder,ID4618,D,0,0,0,
Case 267,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-08T16:00:00Z,2012-01-08T17:50:00Z,001:50,350,Punch Holder,ID4794,D,5,0,0,
Case 267,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-08T20:00:00Z,2012-01-09T07:00:00Z,011:00,350,Punch Holder,ID4529,D,36,0,0,
Case 267,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-09T06:49:00Z,2012-01-09T17:52:00Z,011:03,350,Punch Holder,ID4932,D,38,0,0,
Case 267,Turning & Milling Q.C.,Quality Check 1,2012-01-09T08:04:00Z,2012-01-09T08:30:00Z,000:26,350,Punch Holder,ID4618,D,0,0,0,
Case 267,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-09T20:30:00Z,2012-01-10T06:55:00Z,010:25,350,Punch Holder,ID4718,D,44,0,0,
Case 267,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-10T01:00:00Z,2012-01-10T06:30:00Z,005:30,350,Punch Holder,ID4529,D,21,0,0,
Case 267,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-10T07:02:00Z,2012-01-10T12:07:00Z,005:05,350,Punch Holder,ID4932,D,13,0,0,
Case 267,Turning & Milling Q.C.,Quality Check 1,2012-01-10T07:09:00Z,2012-01-10T08:24:00Z,000:00,350,Punch Holder,ID4618,D,200,0,0,
Case 267,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-10T12:08:00Z,2012-01-10T13:23:00Z,000:00,350,Punch Holder,ID4932,B,0,0,0,
Case 267,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-10T12:45:00Z,2012-01-10T15:58:00Z,003:13,350,Punch Holder,ID4932,D,9,0,0,
Case 267,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-10T17:55:00Z,2012-01-10T23:38:00Z,005:43,350,Punch Holder,ID4718,D,14,0,0,
Case 267,Turning & Milling Q.C.,Quality Check 1,2012-01-11T06:50:00Z,2012-01-11T08:09:00Z,001:19,350,Punch Holder,ID4618,D,0,0,0,
Case 267,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-11T07:42:00Z,2012-01-11T16:07:00Z,008:25,350,Punch Holder,ID4167,D,12,0,0,
Case 267,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-11T16:10:00Z,2012-01-11T23:42:00Z,007:32,350,Punch Holder,ID4718,D,0,0,0,
Case 267,Turning & Milling Q.C.,Quality Check 1,2012-01-17T09:57:00Z,2012-01-17T11:12:00Z,000:00,350,Punch Holder,ID4618,D,118,0,0,
Case 267,Turning & Milling Q.C.,Quality Check 1,2012-01-17T10:20:00Z,2012-01-17T11:35:00Z,000:00,350,Punch Holder,ID4618,D,32,0,0,
Case 267,Wire Cut - Machine 13,Wire Cut - Machine 13,2012-01-18T00:00:00Z,2012-01-18T01:15:00Z,000:00,350,Punch Holder,ID3767,D,20,0,0,
Case 267,Wire Cut - Machine 13,Wire Cut - Machine 13,2012-01-18T09:00:00Z,2012-01-18T13:00:00Z,004:00,350,Punch Holder,ID3767,D,0,0,0,
Case 267,Wire Cut - Machine 13,Wire Cut - Machine 13,2012-01-19T08:00:00Z,2012-01-19T08:11:00Z,009:00,350,Punch Holder,ID3767,D,45,0,0,
Case 267,Turning & Milling Q.C.,Quality Check 1,2012-01-19T08:00:00Z,2012-01-19T17:00:00Z,000:11,350,Punch Holder,ID4618,D,0,0,0,
Case 267,Wire Cut - Machine 13,Wire Cut - Machine 13,2012-01-22T07:00:00Z,2012-01-22T15:00:00Z,008:00,350,Punch Holder,ID4861,D,45,0,0,
Case 267,Wire Cut - Machine 13,Wire Cut - Machine 13,2012-01-24T09:00:00Z,2012-01-24T17:00:00Z,008:00,350,Punch Holder,ID3767,D,40,0,0,
Case 267,Wire Cut - Machine 13,Wire Cut - Machine 13,2012-01-25T08:00:00Z,2012-01-25T15:00:00Z,007:00,350,Punch Holder,ID3767,D,35,0,0,
Case 267,Wire Cut - Machine 13,Wire Cut - Machine 13,2012-01-26T08:00:00Z,2012-01-26T15:30:00Z,007:30,350,Punch Holder,ID4861,D,40,0,0,
Case 267,Wire Cut - Machine 13,Wire Cut - Machine 13,2012-01-26T16:00:00Z,2012-01-27T00:00:00Z,008:00,350,Punch Holder,ID3767,D,45,0,0,
Case 267,Wire Cut - Machine 13,Wire Cut - Machine 13,2012-01-27T07:00:00Z,2012-01-27T12:30:00Z,005:30,350,Punch Holder,ID3767,D,30,0,0,
Case 267,Wire Cut - Machine 13,Wire Cut - Machine 13,2012-01-29T13:00:00Z,2012-01-29T18:00:00Z,005:00,350,Punch Holder,ID3767,D,28,0,0,
Case 267,Wire Cut - Machine 13,Wire Cut - Machine 13,2012-01-29T17:00:00Z,2012-01-29T23:00:00Z,006:00,350,Punch Holder,ID4861,D,22,0,0,
Case 267,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-01T11:02:00Z,2012-02-01T12:51:00Z,001:49,350,Punch Holder,ID4882,D,125,0,0,
Case 267,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-01T13:23:00Z,2012-02-01T14:02:00Z,000:39,350,Punch Holder,ID4882,D,55,0,0,
Case 267,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-01T17:26:00Z,2012-02-01T17:59:00Z,000:33,350,Punch Holder,ID4882,D,50,0,0,
Case 267,Lapping - Machine 1,Machine 1 - Lapping,2012-02-02T00:00:00Z,2012-02-02T01:15:00Z,000:00,350,Punch Holder,ID4882,D,0,0,0,
Case 267,Lapping - Machine 1,Machine 1 - Lapping,2012-02-02T08:23:00Z,2012-02-02T17:02:00Z,008:39,350,Punch Holder,ID0998,D,200,0,0,
Case 267,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-02T15:22:00Z,2012-02-02T15:53:00Z,000:31,350,Punch Holder,ID4882,D,50,0,0,
Case 267,Lapping - Machine 1,Machine 1 - Lapping,2012-02-03T00:00:00Z,2012-02-03T01:15:00Z,000:00,350,Punch Holder,ID4882,D,0,0,0,
Case 267,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-02-03T07:01:00Z,2012-02-03T07:40:00Z,000:39,350,Punch Holder,ID4882,D,70,0,0,
Case 267,Lapping - Machine 1,Machine 1 - Lapping,2012-02-03T09:48:00Z,2012-02-03T11:53:00Z,002:05,350,Punch Holder,ID4882,D,150,0,0,
Case 267,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-05T09:13:00Z,2012-02-05T10:02:00Z,000:49,350,Punch Holder,ID0420,D,5,0,0,
Case 267,Round Grinding - Q.C.,Quality Check 1,2012-02-05T11:32:00Z,2012-02-05T18:04:00Z,006:32,350,Punch Holder,ID4618,D,0,0,0,
Case 267,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-05T16:17:00Z,2012-02-05T20:03:00Z,003:46,350,Punch Holder,ID4355,D,16,0,0,
Case 267,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-05T20:06:00Z,2012-02-06T06:53:00Z,010:47,350,Punch Holder,ID4445,D,52,0,0,
Case 267,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-06T06:56:00Z,2012-02-06T08:09:00Z,001:13,350,Punch Holder,ID0420,D,6,0,0,
Case 267,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-18T22:17:00Z,2012-02-19T00:10:00Z,001:53,350,Punch Holder,ID4445,S,0,0,0,
Case 267,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-19T00:10:00Z,2012-02-19T06:55:00Z,006:45,350,Punch Holder,ID4445,D,42,0,0,
Case 267,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-19T06:59:00Z,2012-02-19T07:20:00Z,000:21,350,Punch Holder,ID0420,D,3,0,0,
Case 267,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-19T09:04:00Z,2012-02-19T13:40:00Z,004:36,350,Punch Holder,ID0420,D,23,0,0,
Case 267,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-19T14:10:00Z,2012-02-20T07:00:00Z,016:50,350,Punch Holder,ID0420,D,22,0,0,
Case 267,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-19T19:59:00Z,2012-02-19T21:22:00Z,001:23,350,Punch Holder,ID4445,S,0,0,0,
Case 267,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-19T21:23:00Z,2012-02-20T06:52:00Z,009:29,350,Punch Holder,ID4445,D,54,0,0,
Case 267,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-20T07:02:00Z,2012-02-20T15:27:00Z,008:25,350,Punch Holder,ID0420,D,41,0,0,
Case 267,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-20T20:11:00Z,2012-02-20T21:26:00Z,000:00,350,Punch Holder,ID4445,D,0,0,0,
Case 267,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-20T20:12:00Z,2012-02-20T21:53:00Z,001:41,350,Punch Holder,ID4445,S,0,0,0,
Case 267,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-20T21:53:00Z,2012-02-21T06:48:00Z,008:55,350,Punch Holder,ID4445,D,60,0,0,
Case 267,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-21T06:50:00Z,2012-02-21T07:17:00Z,000:27,350,Punch Holder,ID0420,D,3,0,0,
Case 267,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-21T07:19:00Z,2012-02-21T08:25:00Z,001:06,350,Punch Holder,ID4385,D,6,0,0,
Case 267,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-21T08:25:00Z,2012-02-21T11:22:00Z,002:57,350,Punch Holder,ID4385,D,9,0,0,
Case 267,Round Grinding - Q.C.,Quality Check 1,2012-02-23T12:54:00Z,2012-02-23T16:04:00Z,003:10,350,Punch Holder,ID4618,D,0,0,0,
Case 267,Round Grinding - Q.C.,Quality Check 1,2012-02-24T07:47:00Z,2012-02-24T12:53:00Z,005:06,350,Punch Holder,ID4618,D,0,0,0,
Case 267,Round Grinding - Q.C.,Quality Check 1,2012-02-26T12:46:00Z,2012-02-26T14:47:00Z,002:01,350,Punch Holder,ID4618,D,207,0,0,
