Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 20,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-15T08:16:00Z,2012-01-15T14:06:00Z,005:50,170,Punch Plate,ID4167,S,1,0,0,
Case 20,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-15T14:07:00Z,2012-01-15T15:36:00Z,002:01,170,Punch Plate,ID4167,D,8,0,0,
Case 20,Turning & Milling Q.C.,Quality Check 1,2012-01-15T14:07:00Z,2012-01-15T16:08:00Z,001:29,170,Punch Plate,ID4618,D,0,0,0,
Case 20,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-15T21:14:00Z,2012-01-15T22:24:00Z,001:10,170,Punch Plate,ID4794,D,20,0,0,
Case 20,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-15T22:25:00Z,2012-01-16T02:34:00Z,004:09,170,Punch Plate,ID4794,S,2,0,0,
Case 20,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-16T02:36:00Z,2012-01-16T04:38:00Z,002:02,170,Punch Plate,ID4794,D,22,0,0,
Case 20,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-16T07:29:00Z,2012-01-16T16:26:00Z,008:57,170,Punch Plate,ID4429,D,39,0,0,
Case 20,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-16T17:05:00Z,2012-01-16T17:52:00Z,000:47,170,Punch Plate,ID4529,D,7,0,0,
Case 20,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-16T20:14:00Z,2012-01-17T06:49:00Z,010:35,170,Punch Plate,ID4794,D,55,0,0,
Case 20,Turning & Milling Q.C.,Quality Check 1,2012-01-17T15:26:00Z,2012-01-17T15:53:00Z,000:27,170,Punch Plate,ID4618,D,170,0,0,
Case 20,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-17T15:50:00Z,2012-01-17T18:50:00Z,003:00,170,Punch Plate,ID4167,D,16,0,0,
Case 20,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-23T11:44:00Z,2012-01-23T12:45:00Z,001:01,170,Punch Plate,ID4932,D,170,0,0,
Case 20,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-24T21:30:00Z,2012-01-24T22:00:00Z,000:30,170,Punch Plate,ID4445,S,0,0,0,
Case 20,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-24T22:00:00Z,2012-01-24T23:15:00Z,001:15,170,Punch Plate,ID4445,D,15,0,0,
Case 20,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-25T07:00:00Z,2012-01-25T09:30:00Z,002:30,170,Punch Plate,ID0420,D,16,0,0,
Case 20,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-26T08:21:00Z,2012-01-26T15:56:00Z,007:35,170,Punch Plate,ID0420,D,54,0,0,
Case 20,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-26T16:06:00Z,2012-01-26T23:24:00Z,007:18,170,Punch Plate,ID4355,D,60,0,0,
Case 20,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-27T06:52:00Z,2012-01-27T10:00:00Z,003:08,170,Punch Plate,ID0420,D,25,0,0,
Case 20,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-02-05T23:56:00Z,2012-02-06T00:17:00Z,000:21,170,Punch Plate,ID4445,S,0,0,0,
Case 20,Turning & Milling Q.C.,Quality Check 1,2012-02-06T06:50:00Z,2012-02-06T07:07:00Z,000:17,170,Punch Plate,ID4618,D,0,0,0,
Case 20,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-07T13:02:00Z,2012-02-07T14:17:00Z,001:15,170,Punch Plate,ID4385,S,0,0,0,
Case 20,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-07T14:19:00Z,2012-02-07T17:42:00Z,003:23,170,Punch Plate,ID4385,D,47,0,0,
Case 20,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-07T20:01:00Z,2012-02-08T02:01:00Z,006:00,170,Punch Plate,ID4445,D,123,0,0,
Case 20,Final Inspection Q.C.,Quality Check 1,2012-02-21T08:14:00Z,2012-02-21T16:05:00Z,007:51,170,Punch Plate,ID4618,D,167,3,0,
Case 20,Packing,Packing,2012-02-22T00:00:00Z,2012-02-22T01:00:00Z,000:00,170,Punch Plate,ID4820,D,167,0,0,
Case 21,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-12T07:27:00Z,2012-01-12T17:55:00Z,010:28,151,Punch Plate,ID4167,S,0,0,0,
