Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 145,Turning - Machine 8,Machine 8 - Turning & Milling,2012-02-16T21:04:00Z,2012-02-17T00:42:00Z,003:38,35,Ring,ID4219,S,2,0,0,
Case 145,Turning - Machine 8,Machine 8 - Turning & Milling,2012-02-17T07:09:00Z,2012-02-17T12:41:00Z,005:32,35,Ring,ID0997,D,27,0,0,
Case 145,Turning - Machine 8,Machine 8 - Turning & Milling,2012-02-19T06:50:00Z,2012-02-19T07:17:00Z,000:27,35,Ring,ID4219,D,0,0,0,
Case 145,Turning - Machine 8,Machine 8 - Turning & Milling,2012-02-19T09:39:00Z,2012-02-19T10:17:00Z,000:38,35,Ring,ID4219,D,6,0,0,
Case 145,Turning Q.C.,Quality Check 1,2012-02-19T15:54:00Z,2012-02-19T15:55:00Z,000:01,35,Ring,ID4618,D,35,0,0,
Case 145,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-02-20T11:21:00Z,2012-02-20T17:39:00Z,006:18,35,Ring,ID0998,D,35,0,0,
Case 145,Lapping - Machine 1,Machine 1 - Lapping,2012-03-01T13:58:00Z,2012-03-01T14:43:00Z,000:45,35,Ring,ID0998,D,35,0,0,
Case 145,Final Inspection Q.C.,Quality Check 1,2012-03-04T09:25:00Z,2012-03-04T09:45:00Z,000:20,35,Ring,ID4618,D,0,0,0,
Case 145,Wire Cut - Machine 13,Wire Cut - Machine 13,2012-03-07T12:00:00Z,2012-03-07T13:00:00Z,001:00,35,Ring,ID3767,B,0,0,0,
Case 145,Wire Cut - Machine 18,Machine 18 - Wire Cutting,2012-03-07T13:00:00Z,2012-03-07T15:00:00Z,002:00,35,Ring,ID3767,D,6,0,0,
Case 145,Wire Cut - Machine 18,Machine 18 - Wire Cutting,2012-03-07T20:00:00Z,2012-03-08T04:30:00Z,008:30,35,Ring,ID4861,D,29,0,0,
Case 145,Turning Q.C.,Quality Check 1,2012-03-08T12:27:00Z,2012-03-08T15:54:00Z,003:27,35,Ring,ID4618,D,0,0,0,
Case 145,Lapping - Machine 1,Machine 1 - Lapping,2012-03-09T12:20:00Z,2012-03-09T13:35:00Z,000:00,35,Ring,ID0998,D,35,0,0,
Case 145,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-09T12:21:00Z,2012-03-09T12:54:00Z,000:33,35,Ring,ID0998,D,35,0,0,
Case 145,Packing,Packing,2012-03-11T00:00:00Z,2012-03-11T01:00:00Z,000:00,35,Ring,ID4820,D,35,0,0,
Case 145,Final Inspection Q.C.,Quality Check 1,2012-03-11T08:00:00Z,2012-03-11T08:08:00Z,000:08,35,Ring,ID4618,D,35,0,0,
Case 66,Turning - Machine 8,Machine 8 - Turning & Milling,2012-02-19T10:18:00Z,2012-02-19T10:58:00Z,000:40,10,Ring,ID4219,S,1,0,0,
Case 66,Turning - Machine 8,Machine 8 - Turning & Milling,2012-02-19T10:59:00Z,2012-02-19T13:26:00Z,002:27,10,Ring,ID4219,D,9,0,0,
Case 66,Turning Q.C.,Quality Check 1,2012-02-19T15:52:00Z,2012-02-19T15:53:00Z,000:01,10,Ring,ID4618,D,10,0,0,
Case 66,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-02-20T10:24:00Z,2012-02-20T11:21:00Z,000:57,10,Ring,ID0998,D,10,0,0,
Case 66,Lapping - Machine 1,Machine 1 - Lapping,2012-03-01T11:51:00Z,2012-03-01T13:58:00Z,002:07,10,Ring,ID0998,D,10,0,0,
Case 66,Wire Cut - Machine 18,Machine 18 - Wire Cutting,2012-03-08T04:30:00Z,2012-03-08T07:00:00Z,002:30,10,Ring,ID4861,D,10,0,0,
Case 66,Turning Q.C.,Quality Check 1,2012-03-08T12:28:00Z,2012-03-08T15:53:00Z,003:25,10,Ring,ID4618,D,0,0,0,
Case 66,Lapping - Machine 1,Machine 1 - Lapping,2012-03-09T12:55:00Z,2012-03-09T14:10:00Z,000:00,10,Ring,ID0998,D,10,0,0,
Case 66,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-09T12:55:00Z,2012-03-09T14:10:00Z,000:00,10,Ring,ID0998,D,10,0,0,
Case 66,Packing,Packing,2012-03-11T00:00:00Z,2012-03-11T01:00:00Z,000:00,10,Ring,ID4820,D,10,0,0,
Case 66,Final Inspection Q.C.,Quality Check 1,2012-03-11T08:11:00Z,2012-03-11T09:26:00Z,000:00,10,Ring,ID4618,D,10,0,0,
