Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 234,Turning Q.C.,Quality Check 1,2012-01-30T14:30:00Z,2012-01-30T15:19:00Z,000:49,60,Shim,ID4287,D,0,0,0,
Case 234,Turning Q.C.,Quality Check 1,2012-02-01T00:00:00Z,2012-02-01T01:15:00Z,000:00,60,Shim,ID4287,D,59,1,0,
Case 234,Wire Cut - Machine 18,Machine 18 - Wire Cutting,2012-02-01T11:00:00Z,2012-02-01T16:00:00Z,005:00,60,Shim,ID3767,D,0,0,0,
Case 234,Wire Cut - Machine 18,Machine 18 - Wire Cutting,2012-02-01T17:00:00Z,2012-02-01T21:00:00Z,004:00,60,Shim,ID4861,D,0,0,0,
Case 234,Wire Cut - Machine 18,Machine 18 - Wire Cutting,2012-02-02T09:00:00Z,2012-02-02T17:00:00Z,008:00,60,Shim,ID3767,D,0,0,0,
Case 234,Turning Q.C.,Quality Check 1,2012-02-06T07:00:00Z,2012-02-06T08:13:00Z,001:13,60,Shim,ID4287,D,0,0,0,
Case 234,Turning Q.C.,Quality Check 1,2012-02-06T07:00:00Z,2012-02-06T08:13:00Z,001:13,60,Shim,ID4287,D,0,0,0,
Case 234,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-13T16:00:00Z,2012-02-13T23:43:00Z,007:43,60,Shim,ID4429,S,0,0,0,
Case 234,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-13T23:44:00Z,2012-02-14T06:46:00Z,007:02,60,Shim,ID4932,S,0,0,0,
Case 234,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-14T07:27:00Z,2012-02-14T15:58:00Z,008:31,60,Shim,ID4167,S,1,0,0,
Case 234,Turning & Milling Q.C.,Quality Check 1,2012-02-14T15:09:00Z,2012-02-14T18:04:00Z,002:55,60,Shim,ID4287,D,0,0,0,
Case 234,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-14T16:27:00Z,2012-02-14T17:57:00Z,001:30,60,Shim,ID4429,B,0,0,0,
