Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 195,Turning & Milling Q.C.,Quality Check 1,2012-01-31T12:00:00Z,2012-01-31T15:05:00Z,003:05,80,Slip Ring Adapter,ID4287,D,80,0,0,
Case 195,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-02-05T00:00:00Z,2012-02-05T01:15:00Z,000:00,80,Slip Ring Adapter,ID4882,D,0,0,0,
Case 195,Lapping - Machine 1,Machine 1 - Lapping,2012-02-05T09:41:00Z,2012-02-05T11:18:00Z,001:37,80,Slip Ring Adapter,ID0998,D,40,0,0,
Case 195,Lapping - Machine 1,Machine 1 - Lapping,2012-02-05T12:43:00Z,2012-02-05T16:38:00Z,003:55,80,Slip Ring Adapter,ID0998,D,40,0,0,
Case 195,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-02-05T13:18:00Z,2012-02-05T17:43:00Z,004:25,80,Slip Ring Adapter,ID4882,D,69,0,0,
Case 195,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-02-06T07:54:00Z,2012-02-06T08:37:00Z,000:43,80,Slip Ring Adapter,ID4882,D,11,0,0,
Case 195,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-09T22:31:00Z,2012-02-09T23:50:00Z,001:19,80,Slip Ring Adapter,ID4355,S,0,0,0,
Case 195,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-10T07:25:00Z,2012-02-10T09:52:00Z,002:27,80,Slip Ring Adapter,ID4385,S,0,0,0,
Case 195,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-10T09:53:00Z,2012-02-10T12:44:00Z,002:51,80,Slip Ring Adapter,ID4385,D,9,0,0,
Case 195,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-11T22:04:00Z,2012-02-12T06:53:00Z,008:49,80,Slip Ring Adapter,ID4528,D,36,0,0,
Case 195,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-12T07:58:00Z,2012-02-12T15:51:00Z,007:53,80,Slip Ring Adapter,ID4445,D,35,0,0,
Case 195,Round Grinding - Q.C.,Quality Check 1,2012-02-12T16:12:00Z,2012-02-12T17:40:00Z,001:28,80,Slip Ring Adapter,ID4287,D,80,0,0,
Case 195,Packing,Packing,2012-02-15T00:00:00Z,2012-02-15T01:00:00Z,000:00,80,Slip Ring Adapter,ID4820,D,80,0,0,
Case 195,Final Inspection Q.C.,Quality Check 1,2012-02-15T13:20:00Z,2012-02-15T14:05:00Z,000:45,80,Slip Ring Adapter,ID4287,D,80,0,0,
