Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 194,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-01-10T10:14:00Z,2012-01-10T10:54:00Z,000:40,40,Socket,ID4132,S,0,0,0,
Case 194,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-01-11T07:16:00Z,2012-01-11T16:28:00Z,009:12,40,Socket,ID4132,S,0,0,0,
Case 194,Turning & Milling Q.C.,Quality Check 1,2012-01-11T16:20:00Z,2012-01-11T17:52:00Z,001:32,40,Socket,ID4287,S,0,0,0,
Case 194,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-01-12T07:05:00Z,2012-01-12T17:42:00Z,010:37,40,Socket,ID4132,S,3,0,0,Y
Case 194,Turning & Milling Q.C.,Quality Check 1,2012-01-12T12:42:00Z,2012-01-12T15:51:00Z,003:09,40,Socket,ID4287,D,0,0,0,
Case 194,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-01-12T20:49:00Z,2012-01-13T06:28:00Z,009:39,40,Socket,ID4641,D,8,0,0,
Case 194,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-01-13T06:52:00Z,2012-01-13T12:48:00Z,005:56,40,Socket,ID3846,D,7,0,0,
Case 194,Turning & Milling Q.C.,Quality Check 1,2012-01-13T11:00:00Z,2012-01-13T12:30:00Z,001:30,40,Socket,ID4287,D,37,0,0,
Case 194,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-01-13T12:48:00Z,2012-01-14T09:00:00Z,020:12,40,Socket,ID4132,D,20,0,0,
Case 194,Stress Relief,Oven,2012-01-14T09:00:00Z,2012-01-14T13:00:00Z,004:00,40,Socket,ID4932,D,39,0,0,
Case 194,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-01-14T23:55:00Z,2012-01-15T03:17:00Z,003:22,40,Socket,ID4132,D,2,0,0,
Case 194,Turning & Milling Q.C.,Quality Check 1,2012-01-15T09:00:00Z,2012-01-15T17:58:00Z,008:58,40,Socket,ID4287,D,0,0,0,Y
Case 194,Turning - Machine 9,Machine 9 - Turning & Milling,2012-01-15T09:18:00Z,2012-01-15T16:25:00Z,007:07,40,Socket,ID3846,S,2,0,0,Y
Case 194,Turning - Machine 9,Machine 9 - Turning & Milling,2012-01-15T16:26:00Z,2012-01-15T17:52:00Z,001:26,40,Socket,ID3846,D,4,0,0,
Case 194,Turning - Machine 9,Machine 9 - Turning & Milling,2012-01-16T07:03:00Z,2012-01-16T15:58:00Z,008:55,40,Socket,ID3846,D,27,0,0,
Case 194,Turning & Milling Q.C.,Quality Check 1,2012-01-16T10:00:00Z,2012-01-16T10:30:00Z,000:30,40,Socket,ID4287,D,2,1,0,
Case 194,Turning - Machine 9,Machine 9 - Turning & Milling,2012-01-16T16:22:00Z,2012-01-16T17:48:00Z,001:26,40,Socket,ID4641,D,4,0,0,
Case 194,Turning - Machine 9,Machine 9 - Turning & Milling,2012-01-16T17:49:00Z,2012-01-16T17:50:00Z,000:01,40,Socket,ID4641,D,2,0,0,
Case 194,Turning Q.C.,Quality Check 1,2012-01-17T07:00:00Z,2012-01-17T08:40:00Z,001:40,40,Socket,ID4287,D,38,1,0,
Case 194,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-23T15:30:00Z,2012-01-23T15:56:00Z,000:26,40,Socket,ID0998,D,38,0,0,
Case 194,Lapping - Machine 1,Machine 1 - Lapping,2012-01-24T00:00:00Z,2012-01-24T01:15:00Z,000:00,40,Socket,ID4882,D,0,0,0,
Case 194,Lapping - Machine 1,Machine 1 - Lapping,2012-01-24T08:14:00Z,2012-01-24T11:23:00Z,003:09,40,Socket,ID0998,D,38,0,0,
Case 194,Final Inspection Q.C.,Quality Check 1,2012-01-24T09:00:00Z,2012-01-24T12:50:00Z,003:50,40,Socket,ID4287,S,0,0,0,
Case 194,Final Inspection Q.C.,Quality Check 1,2012-01-24T13:40:00Z,2012-01-24T18:02:00Z,004:22,40,Socket,ID4287,D,0,0,0,
Case 194,Final Inspection Q.C.,Quality Check 1,2012-01-25T09:00:00Z,2012-01-25T16:01:00Z,007:01,40,Socket,ID4287,D,0,0,0,
Case 194,Final Inspection Q.C.,Quality Check 1,2012-01-26T07:06:00Z,2012-01-26T10:07:00Z,003:01,40,Socket,ID4287,D,0,0,0,
Case 194,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-01-26T16:22:00Z,2012-01-26T18:16:00Z,001:54,40,Socket,ID4872,D,0,0,0,
Case 194,Final Inspection Q.C.,Quality Check 1,2012-01-27T09:00:00Z,2012-01-27T10:00:00Z,001:00,40,Socket,ID4287,D,0,0,0,
Case 194,Final Inspection Q.C.,Quality Check 1,2012-02-03T07:00:00Z,2012-02-03T12:00:00Z,005:00,40,Socket,ID4287,D,38,0,0,
Case 194,Packing,Packing,2012-02-06T00:00:00Z,2012-02-06T01:00:00Z,000:00,40,Socket,ID4820,D,5,0,0,
Case 194,Packing,Packing,2012-02-06T00:00:00Z,2012-02-06T01:00:00Z,000:00,40,Socket,ID4820,D,0,0,0,
Case 194,Packing,Packing,2012-02-07T00:00:00Z,2012-02-07T01:00:00Z,000:00,40,Socket,ID4820,D,0,0,0,
Case 194,Packing,Packing,2012-02-07T00:00:00Z,2012-02-07T01:00:00Z,000:00,40,Socket,ID4820,D,33,0,0,
Case 61,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-16T11:47:00Z,2012-02-16T16:27:00Z,004:40,40,Socket,ID3846,S,1,0,0,
Case 61,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-16T15:27:00Z,2012-02-16T16:05:00Z,000:38,40,Socket,ID3846,B,0,0,0,
Case 61,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-16T16:28:00Z,2012-02-16T17:30:00Z,001:02,40,Socket,ID3846,D,3,0,0,
Case 61,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-16T21:15:00Z,2012-02-17T06:46:00Z,009:31,40,Socket,ID4932,D,27,0,0,
Case 61,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-17T07:05:00Z,2012-02-17T10:31:00Z,003:26,40,Socket,ID3846,D,9,0,0,
Case 61,Turning & Milling Q.C.,Quality Check 1,2012-02-17T10:00:00Z,2012-02-17T11:49:00Z,001:49,40,Socket,ID4287,S,0,0,0,
Case 61,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-19T02:45:00Z,2012-02-19T06:50:00Z,004:05,40,Socket,ID4641,S,0,0,0,
Case 61,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-19T09:03:00Z,2012-02-19T10:53:00Z,001:50,40,Socket,ID3846,S,1,0,0,
Case 61,Turning & Milling Q.C.,Quality Check 1,2012-02-19T10:30:00Z,2012-02-19T11:30:00Z,001:00,40,Socket,ID4287,D,0,0,0,
Case 61,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-19T10:54:00Z,2012-02-19T12:24:00Z,001:30,40,Socket,ID3846,S,1,0,0,
Case 61,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-19T12:46:00Z,2012-02-19T15:14:00Z,002:28,40,Socket,ID3846,D,7,0,0,
Case 61,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-19T20:05:00Z,2012-02-20T00:34:00Z,004:29,40,Socket,ID4641,D,12,0,0,
Case 61,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-20T07:00:00Z,2012-02-20T15:27:00Z,008:27,40,Socket,ID3846,D,19,0,0,
Case 61,Turning & Milling Q.C.,Quality Check 1,2012-02-20T13:48:00Z,2012-02-20T16:49:00Z,003:01,40,Socket,ID4493,D,39,0,0,
Case 61,Turning & Milling Q.C.,Quality Check 1,2012-02-20T16:52:00Z,2012-02-20T16:55:00Z,000:03,40,Socket,ID4493,D,0,0,0,
Case 61,Stress Relief,Oven,2012-02-20T16:54:00Z,2012-02-20T16:54:00Z,005:06,40,Socket,ID3998,D,39,0,0,
Case 61,Turning & Milling Q.C.,Quality Check 1,2012-02-20T16:54:00Z,2012-02-20T18:09:00Z,000:00,40,Socket,ID4493,D,0,1,0,
Case 61,Turning - Machine 9,Machine 9 - Turning & Milling,2012-03-14T13:36:00Z,2012-03-15T07:17:00Z,017:41,40,Socket,ID3846,S,0,0,0,
Case 61,Turning - Machine 9,Machine 9 - Turning & Milling,2012-03-15T07:18:00Z,2012-03-15T08:21:00Z,001:03,40,Socket,ID3846,S,0,0,0,
Case 61,Turning - Machine 9,Machine 9 - Turning & Milling,2012-03-18T09:15:00Z,2012-03-18T15:05:00Z,005:50,40,Socket,ID3846,S,1,0,0,
