Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 70,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-21T07:05:00Z,2012-02-21T18:06:00Z,011:01,33,Spindle,ID3846,S,0,0,0,
Case 70,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-21T09:22:00Z,2012-02-21T18:05:00Z,008:43,33,Spindle,ID3846,B,0,0,0,
Case 70,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-22T08:04:00Z,2012-02-22T13:29:00Z,005:25,33,Spindle,ID3846,S,1,0,0,
Case 70,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-22T13:31:00Z,2012-02-22T16:08:00Z,002:37,33,Spindle,ID3846,S,0,0,0,
Case 70,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-23T07:11:00Z,2012-02-23T11:14:00Z,004:03,33,Spindle,ID3846,S,1,0,0,
Case 70,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-23T11:13:00Z,2012-02-23T15:38:00Z,004:25,33,Spindle,ID3846,D,7,0,0,
Case 70,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-23T20:51:00Z,2012-02-24T06:34:00Z,009:43,33,Spindle,ID4641,D,16,0,0,
Case 70,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-25T22:02:00Z,2012-02-26T03:21:00Z,005:19,33,Spindle,ID3846,D,8,0,0,
Case 70,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-26T03:57:00Z,2012-02-26T07:00:00Z,003:03,33,Spindle,ID3846,S,0,0,0,
Case 70,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-26T09:46:00Z,2012-02-26T15:57:00Z,006:11,33,Spindle,ID4641,S,0,0,0,
Case 70,Turning & Milling Q.C.,Quality Check 1,2012-02-26T16:44:00Z,2012-02-26T17:00:00Z,000:16,33,Spindle,ID4287,S,0,0,0,
Case 70,Turning & Milling Q.C.,Quality Check 1,2012-02-26T17:01:00Z,2012-02-26T18:00:00Z,000:59,33,Spindle,ID4287,S,0,0,0,
Case 70,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-26T18:31:00Z,2012-02-26T20:35:00Z,002:04,33,Spindle,ID3846,S,0,0,0,
Case 70,Turning & Milling Q.C.,Quality Check 1,2012-02-27T10:30:00Z,2012-02-27T15:50:00Z,005:20,33,Spindle,ID4287,S,0,0,0,
Case 70,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-27T17:13:00Z,2012-02-27T23:45:00Z,006:32,33,Spindle,ID3846,S,1,0,0,
Case 70,Turning & Milling Q.C.,Quality Check 1,2012-02-28T09:00:00Z,2012-02-28T13:20:00Z,004:20,33,Spindle,ID4287,D,0,1,0,
Case 70,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-28T16:13:00Z,2012-02-28T23:39:00Z,007:26,33,Spindle,ID3846,S,1,0,0,
Case 70,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-29T07:56:00Z,2012-02-29T15:27:00Z,007:31,33,Spindle,ID4641,S,1,0,0,
Case 70,Turning & Milling Q.C.,Quality Check 1,2012-02-29T09:00:00Z,2012-02-29T11:26:00Z,002:26,33,Spindle,ID4287,D,0,0,0,
Case 70,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-29T15:27:00Z,2012-02-29T16:01:00Z,000:34,33,Spindle,ID4641,D,0,0,0,
Case 70,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-02-29T16:05:00Z,2012-02-29T17:20:00Z,000:00,33,Spindle,ID3846,D,0,0,0,
Case 70,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-03-01T07:00:00Z,2012-03-01T10:47:00Z,003:47,33,Spindle,ID4641,D,0,0,0,
