Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 175,Round Grinding - Q.C.,Quality Check 1,2012-01-31T07:00:00Z,2012-01-31T07:30:00Z,000:30,53,Spinner,ID4287,D,0,0,0,
Case 175,Round Grinding - Q.C.,Quality Check 1,2012-01-31T07:03:00Z,2012-01-31T07:30:00Z,000:27,53,Spinner,ID4287,D,0,1,0,
Case 256,Turning - Machine 8,Machine 15 - Turning,2012-01-16T16:21:00Z,2012-01-16T17:51:00Z,001:30,100,Spinner,ID0997,D,20,0,0,
Case 256,Turning - Machine 8,Machine 15 - Turning,2012-01-16T20:11:00Z,2012-01-17T02:04:00Z,005:53,100,Spinner,ID4932,D,45,0,0,
Case 256,Turning - Machine 8,Machine 15 - Turning,2012-01-17T02:04:00Z,2012-01-17T06:21:00Z,004:17,100,Spinner,ID4794,D,35,0,0,
Case 256,Turning Q.C.,Quality Check 1,2012-01-17T10:30:00Z,2012-01-17T12:50:00Z,002:20,100,Spinner,ID4287,D,100,0,0,
Case 256,Turning - Machine 8,Machine 8 - Turning & Milling,2012-01-17T13:00:00Z,2012-01-17T15:00:00Z,002:00,100,Spinner,ID0997,S,0,0,0,
Case 256,Turning - Machine 8,Machine 8 - Turning & Milling,2012-01-17T16:48:00Z,2012-01-17T18:08:00Z,001:20,100,Spinner,ID4219,S,1,0,0,
Case 256,Turning - Machine 8,Machine 8 - Turning & Milling,2012-01-17T18:09:00Z,2012-01-17T18:40:00Z,000:31,100,Spinner,ID4219,D,0,0,0,
Case 256,Turning - Machine 8,Machine 8 - Turning & Milling,2012-01-17T18:41:00Z,2012-01-17T18:45:00Z,000:04,100,Spinner,ID4219,D,8,0,0,
Case 256,Turning - Machine 8,Machine 8 - Turning & Milling,2012-01-17T20:10:00Z,2012-01-18T06:31:00Z,010:21,100,Spinner,ID4794,D,26,0,0,
Case 256,Turning - Machine 8,Machine 8 - Turning & Milling,2012-01-18T07:10:00Z,2012-01-18T14:59:00Z,007:49,100,Spinner,ID0997,D,65,0,0,
Case 256,Turning Q.C.,Quality Check 1,2012-01-18T14:00:00Z,2012-01-18T15:50:00Z,001:50,100,Spinner,ID4287,D,100,0,0,
Case 256,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-01-30T08:06:00Z,2012-01-30T15:21:00Z,007:15,100,Spinner,ID4132,S,1,0,0,
Case 256,Turning & Milling Q.C.,Quality Check 1,2012-01-30T15:30:00Z,2012-01-30T17:54:00Z,002:24,100,Spinner,ID4287,D,0,0,0,
Case 256,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-01-31T07:47:00Z,2012-01-31T11:39:00Z,003:52,100,Spinner,ID4132,S,1,0,0,
Case 256,Turning & Milling Q.C.,Quality Check 1,2012-01-31T09:00:00Z,2012-01-31T12:00:00Z,003:00,100,Spinner,ID4287,D,0,2,0,
Case 256,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-01-31T11:40:00Z,2012-01-31T15:51:00Z,004:11,100,Spinner,ID4132,D,8,0,0,
Case 256,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-01-31T16:48:00Z,2012-01-31T23:37:00Z,006:49,100,Spinner,ID3846,D,13,0,0,
Case 256,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-02-01T07:02:00Z,2012-02-01T10:46:00Z,003:44,100,Spinner,ID4641,D,4,0,0,
Case 256,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-02-01T16:07:00Z,2012-02-01T23:41:00Z,007:34,100,Spinner,ID3846,B,0,0,0,
Case 256,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-02-02T07:10:00Z,2012-02-02T13:27:00Z,006:17,100,Spinner,ID4132,D,8,0,0,
