Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-17T07:01:00Z,2012-01-17T11:05:00Z,004:04,251,Spur Gear,ID3846,S,1,0,0,
Case 10,Turning Q.C.,Quality Check 1,2012-01-17T11:00:00Z,2012-01-17T11:15:00Z,000:15,251,Spur Gear,ID4618,D,0,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-17T19:24:00Z,2012-01-17T20:01:00Z,000:37,251,Spur Gear,ID4132,S,0,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-17T20:01:00Z,2012-01-17T23:43:00Z,003:42,251,Spur Gear,ID4132,D,17,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-17T23:49:00Z,2012-01-18T06:32:00Z,006:43,251,Spur Gear,ID4794,D,37,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-18T06:59:00Z,2012-01-18T07:24:00Z,000:25,251,Spur Gear,ID3846,D,4,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-18T16:33:00Z,2012-01-18T17:55:00Z,001:22,251,Spur Gear,ID4132,S,1,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-18T17:57:00Z,2012-01-18T20:04:00Z,002:07,251,Spur Gear,ID4132,D,3,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-18T20:10:00Z,2012-01-19T06:29:00Z,010:19,251,Spur Gear,ID4794,D,40,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-19T16:12:00Z,2012-01-19T18:09:00Z,001:57,251,Spur Gear,ID4132,S,1,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-19T18:10:00Z,2012-01-19T20:08:00Z,001:58,251,Spur Gear,ID4132,D,8,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-19T20:09:00Z,2012-01-20T05:10:00Z,009:01,251,Spur Gear,ID4794,D,40,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-22T02:42:00Z,2012-01-22T06:34:00Z,003:52,251,Spur Gear,ID4641,D,17,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-22T07:00:00Z,2012-01-22T07:13:00Z,000:13,251,Spur Gear,ID3846,D,3,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-22T09:02:00Z,2012-01-22T17:47:00Z,008:45,251,Spur Gear,ID3846,D,79,0,0,
Case 10,Turning Q.C.,Quality Check 1,2012-01-23T07:54:00Z,2012-01-23T10:26:00Z,002:32,251,Spur Gear,ID4618,D,251,0,0,
Case 10,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-25T09:31:00Z,2012-01-25T10:57:00Z,001:26,251,Spur Gear,ID4794,D,40,0,0,
Case 10,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-25T11:00:00Z,2012-01-25T12:54:00Z,001:54,251,Spur Gear,ID4882,D,160,0,0,
Case 10,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-25T13:22:00Z,2012-01-25T14:09:00Z,000:47,251,Spur Gear,ID4882,D,51,0,0,
Case 10,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-01-27T10:30:00Z,2012-01-27T13:00:00Z,002:30,251,Spur Gear,ID0998,D,100,0,0,
Case 10,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-01-29T08:09:00Z,2012-01-29T15:06:00Z,006:57,251,Spur Gear,ID0998,D,100,0,0,
Case 10,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-01-30T15:19:00Z,2012-01-30T16:59:00Z,001:40,251,Spur Gear,ID0998,D,51,0,0,
Case 10,Final Inspection Q.C.,Quality Check 1,2012-02-02T12:38:00Z,2012-02-02T14:16:00Z,001:38,251,Spur Gear,ID4618,D,250,1,0,
Case 10,Packing,Packing,2012-02-03T00:00:00Z,2012-02-03T01:00:00Z,000:00,251,Spur Gear,ID4820,D,250,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-27T16:40:00Z,2012-02-27T21:09:00Z,004:29,24,Spur Gear,ID4219,S,0,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-27T21:46:00Z,2012-02-28T01:23:00Z,003:37,24,Spur Gear,ID4219,S,0,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-28T11:00:00Z,2012-02-28T13:26:00Z,002:26,24,Spur Gear,ID0997,S,0,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-28T14:20:00Z,2012-02-28T16:12:00Z,001:52,24,Spur Gear,ID0997,S,0,0,0,
Case 102,Turning & Milling Q.C.,Quality Check 1,2012-02-28T14:35:00Z,2012-02-28T15:25:00Z,000:50,24,Spur Gear,ID4287,D,0,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-28T16:12:00Z,2012-02-28T17:56:00Z,001:44,24,Spur Gear,ID0997,D,3,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-28T21:28:00Z,2012-02-29T01:29:00Z,004:01,24,Spur Gear,ID4219,D,9,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29T01:30:00Z,2012-02-29T04:31:00Z,003:01,24,Spur Gear,ID4794,D,7,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29T07:32:00Z,2012-02-29T11:05:00Z,003:33,24,Spur Gear,ID0997,D,5,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29T11:05:00Z,2012-02-29T16:00:00Z,004:55,24,Spur Gear,ID0997,S,1,0,0,
Case 102,Turning & Milling Q.C.,Quality Check 1,2012-02-29T15:00:00Z,2012-02-29T16:00:00Z,001:00,24,Spur Gear,ID4287,D,24,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29T16:00:00Z,2012-02-29T17:20:00Z,001:20,24,Spur Gear,ID0997,S,0,0,0,
Case 102,Turning & Milling Q.C.,Quality Check 1,2012-02-29T16:04:00Z,2012-02-29T16:36:00Z,000:32,24,Spur Gear,ID4287,D,0,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29T17:19:00Z,2012-02-29T17:48:00Z,000:29,24,Spur Gear,ID0997,D,8,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29T22:27:00Z,2012-03-01T00:11:00Z,001:44,24,Spur Gear,ID4219,D,15,0,0,
Case 102,Turning & Milling Q.C.,Quality Check 1,2012-03-01T09:30:00Z,2012-03-01T10:49:00Z,001:19,24,Spur Gear,ID4287,D,0,1,0,
Case 102,Turning & Milling Q.C.,Quality Check 1,2012-03-06T00:00:00Z,2012-03-06T01:15:00Z,000:00,24,Spur Gear,ID4287,D,23,0,0,
Case 102,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-08T13:32:00Z,2012-03-08T14:41:00Z,001:09,24,Spur Gear,ID0998,D,23,0,0,
