Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 189,Turning & Milling Q.C.,Quality Check 1,2012-01-02T00:00:00Z,2012-01-02T01:15:00Z,000:00,8,Tube,ID4163,D,0,1,0,
Case 189,Turning & Milling Q.C.,Quality Check 1,2012-01-02T13:00:00Z,2012-01-02T14:00:00Z,001:00,8,Tube,ID4163,D,0,1,0,
Case 189,Turning & Milling Q.C.,Quality Check 1,2012-01-02T14:00:00Z,2012-01-02T16:10:00Z,002:10,8,Tube,ID4163,D,0,1,0,Y
Case 189,Final Inspection Q.C.,Quality Check 1,2012-01-03T07:00:00Z,2012-01-03T13:00:00Z,006:00,8,Tube,ID4163,D,0,0,0,
Case 189,Final Inspection Q.C.,Quality Check 1,2012-01-04T10:00:00Z,2012-01-04T12:50:00Z,002:50,8,Tube,ID4163,D,1,0,0,
Case 189,Packing,Packing,2012-01-05T00:00:00Z,2012-01-05T01:00:00Z,000:00,8,Tube,ID4820,D,1,0,0,
Case 93,Turning - Machine 8,Machine 8 - Turning & Milling,2012-02-15T07:21:00Z,2012-02-15T12:18:00Z,004:57,12,Tube,ID0997,S,0,0,0,
Case 93,Turning - Machine 8,Machine 8 - Turning & Milling,2012-02-15T12:08:00Z,2012-02-15T15:56:00Z,003:48,12,Tube,ID0997,D,6,0,0,
Case 93,Turning - Machine 8,Machine 8 - Turning & Milling,2012-02-15T16:45:00Z,2012-02-15T19:17:00Z,002:32,12,Tube,ID4219,D,6,0,0,
Case 93,Turning - Machine 8,Machine 8 - Turning & Milling,2012-02-15T19:18:00Z,2012-02-15T20:30:00Z,001:12,12,Tube,ID4219,S,1,0,0,
Case 93,Turning - Machine 8,Machine 8 - Turning & Milling,2012-02-15T20:30:00Z,2012-02-15T23:15:00Z,002:45,12,Tube,ID4219,D,11,0,0,
Case 93,Turning Q.C.,Quality Check 1,2012-02-16T07:00:00Z,2012-02-16T07:15:00Z,000:15,12,Tube,ID4163,D,12,0,0,
Case 93,Stress Relief,Oven,2012-02-16T07:15:00Z,2012-02-16T09:15:00Z,002:00,12,Tube,ID3998,D,12,0,0,
Case 93,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-03-13T10:27:00Z,2012-03-13T15:55:00Z,005:28,12,Tube,ID4641,S,0,0,0,
Case 93,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-03-13T16:05:00Z,2012-03-13T21:23:00Z,005:18,12,Tube,ID4132,S,0,0,0,
Case 93,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-03-14T07:12:00Z,2012-03-14T08:04:00Z,000:52,12,Tube,ID4641,S,0,0,0,
Case 93,Turning & Milling - Machine 10,Machine 10 - Grinding,2012-03-14T11:00:00Z,2012-03-14T15:39:00Z,004:39,12,Tube,ID4641,S,0,0,0,
