Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 117,Packing,Packing,2012-02-23T00:00:00Z,2012-02-23T01:00:00Z,000:00,3,Wheel Shaft,ID4820,D,1,0,0,
Case 117,Packing,Packing,2012-02-23T00:00:00Z,2012-02-23T01:00:00Z,000:00,3,Wheel Shaft,ID4820,D,2,0,0,
Case 117,Final Inspection - Weighting,Quality Check 1,2012-02-23T09:46:00Z,2012-02-23T11:01:00Z,000:00,3,Wheel Shaft,ID4493,D,3,0,0,
Case 201,Round Grinding - Q.C.,Quality Check 1,2012-01-04T00:00:00Z,2012-01-04T01:15:00Z,000:00,20,Wheel Shaft,ID4493,D,13,0,0,
Case 201,Turning & Milling Q.C.,Quality Check 1,2012-01-04T00:00:00Z,2012-01-04T01:15:00Z,000:00,20,Wheel Shaft,ID4493,D,13,0,0,
Case 201,Turning - Machine 8,Machine 15 - Turning,2012-01-05T10:10:00Z,2012-01-05T10:11:00Z,000:01,20,Wheel Shaft,ID4219,D,0,0,0,
Case 201,Turning - Machine 8,Machine 15 - Turning,2012-01-05T10:12:00Z,2012-01-05T13:52:00Z,003:40,20,Wheel Shaft,ID4219,S,1,0,0,
Case 201,Turning - Machine 8,Machine 15 - Turning,2012-01-05T13:53:00Z,2012-01-05T17:37:00Z,003:44,20,Wheel Shaft,ID4219,D,2,0,0,
Case 201,Turning - Machine 8,Machine 15 - Turning,2012-01-05T17:39:00Z,2012-01-05T17:42:00Z,000:03,20,Wheel Shaft,ID4219,S,0,0,0,
Case 201,Turning - Machine 8,Machine 15 - Turning,2012-01-06T06:51:00Z,2012-01-06T08:00:00Z,001:09,20,Wheel Shaft,ID4219,D,1,0,0,
Case 201,Turning - Machine 8,Machine 15 - Turning,2012-01-06T08:01:00Z,2012-01-06T12:40:00Z,004:39,20,Wheel Shaft,ID4219,B,0,0,0,
Case 201,Turning - Machine 8,Machine 15 - Turning,2012-01-06T12:40:00Z,2012-01-06T13:08:00Z,000:28,20,Wheel Shaft,ID4219,D,1,0,0,
Case 201,Turning - Machine 8,Machine 15 - Turning,2012-01-08T06:43:00Z,2012-01-08T07:54:00Z,001:11,20,Wheel Shaft,ID4219,D,1,0,0,
Case 201,Turning Q.C.,Quality Check 1,2012-01-08T10:12:00Z,2012-01-08T11:13:00Z,001:01,20,Wheel Shaft,ID4493,D,3,0,0,
Case 201,Turning & Milling Q.C.,Quality Check 1,2012-01-08T13:20:00Z,2012-01-08T15:30:00Z,002:10,20,Wheel Shaft,ID4493,D,0,0,0,
Case 201,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-01-16T08:00:00Z,2012-01-16T16:09:00Z,008:09,20,Wheel Shaft,ID4219,S,0,0,0,
Case 201,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-01-17T07:37:00Z,2012-01-17T09:28:00Z,001:51,20,Wheel Shaft,ID4219,S,1,0,0,
Case 201,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-01-17T10:01:00Z,2012-01-17T12:55:00Z,002:54,20,Wheel Shaft,ID0997,D,2,0,0,Y
Case 201,Milling - Machine 16,Machine 16 - Milling,2012-01-18T07:00:00Z,2012-01-18T18:00:00Z,011:00,20,Wheel Shaft,ID4326,S,0,0,0,
Case 201,Turning & Milling Q.C.,Quality Check 1,2012-01-18T11:01:00Z,2012-01-18T16:02:00Z,005:01,20,Wheel Shaft,ID4493,D,0,0,0,
Case 201,Packing,Packing,2012-01-19T00:00:00Z,2012-01-19T01:00:00Z,000:00,20,Wheel Shaft,ID4291,D,12,0,0,
Case 201,Milling - Machine 16,Machine 16 - Milling,2012-01-19T07:05:00Z,2012-01-19T15:31:00Z,008:26,20,Wheel Shaft,ID4326,S,0,0,0,
Case 201,Milling - Machine 16,Machine 16 - Milling,2012-01-20T07:25:00Z,2012-01-20T11:32:00Z,004:07,20,Wheel Shaft,ID4326,D,0,0,0,
Case 201,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-01-22T00:00:00Z,2012-01-22T01:15:00Z,000:00,20,Wheel Shaft,ID0937,D,2,0,0,
Case 201,Round Grinding - Manual,Machine 27 - Grinding,2012-01-22T00:00:00Z,2012-01-22T01:15:00Z,000:00,20,Wheel Shaft,ID0937,D,2,0,0,
Case 201,Round Grinding - Q.C.,Quality Check 1,2012-01-22T00:00:00Z,2012-01-22T01:15:00Z,000:00,20,Wheel Shaft,ID4493,D,2,0,0,
Case 201,Turning & Milling Q.C.,Quality Check 1,2012-01-22T07:10:00Z,2012-01-22T08:11:00Z,001:01,20,Wheel Shaft,ID4493,D,2,1,0,
Case 201,Round Grinding - Manual,Machine 27 - Grinding,2012-01-22T11:18:00Z,2012-01-22T13:38:00Z,002:20,20,Wheel Shaft,ID4528,S,2,0,0,
Case 201,Round Grinding - Manual,Machine 27 - Grinding,2012-01-22T13:39:00Z,2012-01-22T15:44:00Z,002:05,20,Wheel Shaft,ID4528,D,0,0,0,
Case 201,Turning & Milling Q.C.,Quality Check 1,2012-02-01T00:00:00Z,2012-02-01T01:15:00Z,000:00,20,Wheel Shaft,ID4287,D,3,0,0,
Case 201,Turning & Milling Q.C.,Quality Check 1,2012-02-09T12:35:00Z,2012-02-09T18:03:00Z,005:28,20,Wheel Shaft,ID4493,D,0,0,0,
