Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 53,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14T13:50:00Z,2012-03-14T15:56:00Z,002:06,10,Wheel,ID0997,S,0,0,0,
Case 53,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14T16:24:00Z,2012-03-14T17:32:00Z,001:08,10,Wheel,ID4219,S,0,0,0,
Case 53,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14T17:33:00Z,2012-03-14T18:52:00Z,001:19,10,Wheel,ID4219,B,0,0,0,
Case 53,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14T18:53:00Z,2012-03-14T20:53:00Z,002:00,10,Wheel,ID4219,S,1,0,0,
Case 53,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14T20:54:00Z,2012-03-14T22:39:00Z,001:45,10,Wheel,ID4219,D,9,0,0,
Case 53,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14T22:39:00Z,2012-03-15T02:26:00Z,003:47,10,Wheel,ID4219,S,0,0,0,
Case 53,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-15T07:00:00Z,2012-03-15T08:00:00Z,001:00,10,Wheel,ID0997,S,0,0,0,
Case 53,Turning & Milling Q.C.,Quality Check 1,2012-03-15T07:00:00Z,2012-03-15T08:00:00Z,001:00,10,Wheel,ID4287,D,0,0,0,
Case 53,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-15T08:00:00Z,2012-03-15T11:30:00Z,003:30,10,Wheel,ID0997,D,9,0,0,
Case 53,Turning & Milling Q.C.,Quality Check 1,2012-03-15T13:20:00Z,2012-03-15T13:31:00Z,000:11,10,Wheel,ID4287,D,9,1,0,
Case 53,Turning & Milling Q.C.,Quality Check 1,2012-03-16T08:00:00Z,2012-03-16T09:08:00Z,001:08,10,Wheel,ID4287,D,9,0,0,
Case 53,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-19T09:39:00Z,2012-03-19T11:21:00Z,001:42,10,Wheel,ID0998,D,9,0,0,
Case 53,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-03-20T17:20:00Z,2012-03-20T17:21:00Z,000:01,10,Wheel,ID0998,D,9,0,0,
Case 53,Round Grinding - Machine 12,Machine 12 - Grinding,2012-03-21T16:35:00Z,2012-03-21T17:45:00Z,001:10,10,Wheel,ID0998,S,0,0,0,
Case 53,Round Grinding - Machine 12,Machine 12 - Grinding,2012-03-21T18:30:00Z,2012-03-21T20:21:00Z,001:51,10,Wheel,ID4872,D,9,0,0,
Case 53,Final Inspection Q.C.,Quality Check 1,2012-03-22T10:30:00Z,2012-03-22T13:30:00Z,003:00,10,Wheel,ID4287,D,0,0,0,
Case 53,Final Inspection Q.C.,Quality Check 1,2012-03-23T10:30:00Z,2012-03-23T10:44:00Z,000:14,10,Wheel,ID4287,D,9,0,0,
Case 53,Packing,Packing,2012-03-25T00:00:00Z,2012-03-25T01:00:00Z,000:00,10,Wheel,ID4491,D,9,0,0,
