case,activity,Resource,time,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,29/01/2012 23:24,30/01/2012 05:43,006:19,10,Cable Head,ID4932,S,1,0,0,
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,30/01/2012 05:44,30/01/2012 06:42,000:58,10,Cable Head,ID4932,D,1,0,0,
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,30/01/2012 06:59,30/01/2012 07:21,000:22,10,Cable Head,ID4167,S,0,0,0,
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,30/01/2012 07:21,30/01/2012 10:58,003:37,10,Cable Head,ID4167,D,8,0,0,
Case 1,Turning & Milling Q.C.,Quality Check 1,31/01/2012 13:20,31/01/2012 14:50,001:30,10,Cable Head,ID4163,D,9,1,0,
Case 1,Laser Marking - Machine 7,Machine 7- Laser Marking,01/02/2012 08:18,01/02/2012 08:27,000:09,10,Cable Head,ID0998,D,9,0,0,
Case 1,Lapping - Machine 1,Machine 1 - Lapping,14/02/2012 00:00,14/02/2012 01:15,000:00,10,Cable Head,ID4882,D,0,0,0,
Case 1,Lapping - Machine 1,Machine 1 - Lapping,14/02/2012 00:00,14/02/2012 01:15,000:00,10,Cable Head,ID4882,D,0,0,0,
Case 1,Lapping - Machine 1,Machine 1 - Lapping,14/02/2012 09:05,14/02/2012 10:20,000:00,10,Cable Head,ID4882,D,1,0,0,
Case 1,Lapping - Machine 1,Machine 1 - Lapping,14/02/2012 09:05,14/02/2012 09:38,000:33,10,Cable Head,ID4882,D,8,0,0,
Case 1,Round Grinding - Machine 3,Machine 3 - Round Grinding,14/02/2012 09:13,14/02/2012 13:37,004:24,10,Cable Head,ID4445,S,0,0,0,
Case 1,Round Grinding - Machine 3,Machine 3 - Round Grinding,14/02/2012 13:37,14/02/2012 15:27,001:50,10,Cable Head,ID4445,D,9,0,0,
Case 1,Final Inspection Q.C.,Quality Check 1,16/02/2012 06:59,16/02/2012 07:59,001:00,10,Cable Head,ID4493,D,0,0,0,
Case 1,Final Inspection Q.C.,Quality Check 1,16/02/2012 12:11,16/02/2012 16:12,004:01,10,Cable Head,ID4493,D,0,0,0,
Case 1,Final Inspection Q.C.,Quality Check 1,16/02/2012 12:43,16/02/2012 13:58,000:00,10,Cable Head,ID4493,D,9,0,0,
Case 1,Packing,Packing,17/02/2012 00:00,17/02/2012 01:00,000:00,10,Cable Head,ID4820,D,9,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,17/01/2012 07:01,17/01/2012 11:05,004:04,251,Spur Gear,ID3846,S,1,0,0,
Case 10,Turning Q.C.,Quality Check 1,17/01/2012 11:00,17/01/2012 11:15,000:15,251,Spur Gear,ID4618,D,0,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,17/01/2012 19:24,17/01/2012 20:01,000:37,251,Spur Gear,ID4132,S,0,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,17/01/2012 20:01,17/01/2012 23:43,003:42,251,Spur Gear,ID4132,D,17,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,17/01/2012 23:49,18/01/2012 06:32,006:43,251,Spur Gear,ID4794,D,37,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,18/01/2012 06:59,18/01/2012 07:24,000:25,251,Spur Gear,ID3846,D,4,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,18/01/2012 16:33,18/01/2012 17:55,001:22,251,Spur Gear,ID4132,S,1,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,18/01/2012 17:57,18/01/2012 20:04,002:07,251,Spur Gear,ID4132,D,3,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,18/01/2012 20:10,19/01/2012 06:29,010:19,251,Spur Gear,ID4794,D,40,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,19/01/2012 16:12,19/01/2012 18:09,001:57,251,Spur Gear,ID4132,S,1,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,19/01/2012 18:10,19/01/2012 20:08,001:58,251,Spur Gear,ID4132,D,8,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,19/01/2012 20:09,20/01/2012 05:10,009:01,251,Spur Gear,ID4794,D,40,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,22/01/2012 02:42,22/01/2012 06:34,003:52,251,Spur Gear,ID4641,D,17,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,22/01/2012 07:00,22/01/2012 07:13,000:13,251,Spur Gear,ID3846,D,3,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,22/01/2012 09:02,22/01/2012 17:47,008:45,251,Spur Gear,ID3846,D,79,0,0,
Case 10,Turning Q.C.,Quality Check 1,23/01/2012 07:54,23/01/2012 10:26,002:32,251,Spur Gear,ID4618,D,251,0,0,
Case 10,Laser Marking - Machine 7,Machine 7- Laser Marking,25/01/2012 09:31,25/01/2012 10:57,001:26,251,Spur Gear,ID4794,D,40,0,0,
Case 10,Laser Marking - Machine 7,Machine 7- Laser Marking,25/01/2012 11:00,25/01/2012 12:54,001:54,251,Spur Gear,ID4882,D,160,0,0,
Case 10,Laser Marking - Machine 7,Machine 7- Laser Marking,25/01/2012 13:22,25/01/2012 14:09,000:47,251,Spur Gear,ID4882,D,51,0,0,
Case 10,Flat Grinding - Machine 11,Machine 11 - Grinding,27/01/2012 10:30,27/01/2012 13:00,002:30,251,Spur Gear,ID0998,D,100,0,0,
Case 10,Flat Grinding - Machine 11,Machine 11 - Grinding,29/01/2012 08:09,29/01/2012 15:06,006:57,251,Spur Gear,ID0998,D,100,0,0,
Case 10,Flat Grinding - Machine 11,Machine 11 - Grinding,30/01/2012 15:19,30/01/2012 16:59,001:40,251,Spur Gear,ID0998,D,51,0,0,
Case 10,Final Inspection Q.C.,Quality Check 1,02/02/2012 12:38,02/02/2012 14:16,001:38,251,Spur Gear,ID4618,D,250,1,0,
Case 10,Packing,Packing,03/02/2012 00:00,03/02/2012 01:00,000:00,251,Spur Gear,ID4820,D,250,0,0,
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,20/02/2012 17:09,20/02/2012 17:57,000:48,18,Ballnut,ID4219,D,7,0,0,
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,20/02/2012 22:57,21/02/2012 02:57,004:00,18,Ballnut,ID4529,D,11,0,0,
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,21/02/2012 06:45,21/02/2012 11:03,004:18,18,Ballnut,ID4219,S,1,0,0,
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,21/02/2012 11:04,21/02/2012 12:08,001:04,18,Ballnut,ID4219,D,17,0,0,
Case 100,Turning & Milling Q.C.,Quality Check 1,22/02/2012 14:48,22/02/2012 15:10,000:22,18,Ballnut,ID4618,D,18,0,0,
Case 100,Laser Marking - Machine 7,Machine 7- Laser Marking,11/03/2012 11:05,11/03/2012 11:06,000:01,18,Ballnut,ID0998,D,18,0,0,
Case 100,Flat Grinding - Machine 11,Machine 11 - Grinding,11/03/2012 12:23,11/03/2012 12:45,000:22,18,Ballnut,ID0998,D,18,0,0,
Case 100,Lapping - Machine 1,Machine 1 - Lapping,11/03/2012 12:46,11/03/2012 13:18,000:32,18,Ballnut,ID4882,D,18,0,0,
Case 100,Round Grinding - Machine 3,Machine 3 - Round Grinding,13/03/2012 10:34,13/03/2012 10:41,000:07,18,Ballnut,ID4445,S,0,0,0,
Case 100,Round Grinding - Machine 3,Machine 3 - Round Grinding,13/03/2012 10:41,13/03/2012 15:12,004:31,18,Ballnut,ID4445,D,18,0,0,
Case 100,Grinding Rework - Machine 12,Machine 12 - Grinding,16/03/2012 11:30,16/03/2012 12:40,001:10,18,Ballnut,ID4872,D,0,0,0,
Case 100,Final Inspection Q.C.,Quality Check 1,19/03/2012 11:21,19/03/2012 14:06,002:45,18,Ballnut,ID4618,D,0,0,0,
Case 100,Packing,Packing,21/03/2012 00:00,21/03/2012 01:00,000:00,18,Ballnut,ID4820,D,18,0,0,
Case 100,Final Inspection Q.C.,Quality Check 1,21/03/2012 07:02,21/03/2012 07:03,000:01,18,Ballnut,ID4618,D,18,0,0,
Case 101,Setup - Machine 8,Machine 8 - Turning & Milling,13/03/2012 18:47,13/03/2012 20:03,001:16,27,Housing,ID4219,S,0,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,13/03/2012 20:38,13/03/2012 23:03,002:25,27,Housing,ID4219,S,0,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,13/03/2012 23:04,13/03/2012 23:49,000:45,27,Housing,ID4219,B,0,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,13/03/2012 23:50,14/03/2012 01:06,001:16,27,Housing,ID4219,D,7,0,0,
