case,activity,time
Case 105,Turning & Milling - Machine 4,2012-03-20T23:18:00Z
Case 105,Turning & Milling - Machine 4,2012-03-21T07:18:00Z
Case 240,Turning & Milling - Machine 6,2012-02-01T03:22:00Z
Case 240,Turning & Milling - Machine 6,2012-02-01T07:02:00Z
Case 240,Turning & Milling - Machine 6,2012-02-01T16:44:00Z
Case 240,Turning & Milling - Machine 6,2012-02-01T19:56:00Z
Case 240,Turning & Milling - Machine 6,2012-02-02T07:00:00Z
Case 240,Turning & Milling - Machine 6,2012-02-02T16:10:00Z
Case 240,Flat Grinding - Machine 11,2012-02-06T00:00:00Z
Case 240,Turning & Milling Q.C.,2012-02-06T15:21:00Z
Case 240,Laser Marking - Machine 7,2012-02-06T15:23:00Z
Case 240,Flat Grinding - Machine 11,2012-02-06T16:24:00Z
Case 240,Packing,2012-02-07T00:00:00Z
Case 240,Turning & Milling - Machine 6,2012-02-07T07:15:00Z
Case 240,Lapping - Machine 1,2012-02-07T09:06:00Z
Case 240,Turning & Milling - Machine 6,2012-02-07T09:18:00Z
Case 240,Final Inspection Q.C.,2012-02-07T10:25:00Z
Case 240,Final Inspection Q.C.,2012-02-07T13:45:00Z
Case 240,Turning & Milling Q.C.,2012-02-07T14:34:00Z
Case 240,Laser Marking - Machine 7,2012-02-12T08:21:00Z
Case 240,Turning & Milling Q.C.,2012-02-12T09:50:00Z
Case 240,Flat Grinding - Machine 11,2012-02-12T10:16:00Z
Case 240,Lapping - Machine 1,2012-02-13T00:00:00Z
Case 240,Lapping - Machine 1,2012-02-13T09:01:00Z
Case 240,Lapping - Machine 1,2012-02-13T10:32:00Z
Case 240,Final Inspection Q.C.,2012-02-13T14:19:00Z
Case 240,Final Inspection Q.C.,2012-02-14T12:32:00Z
Case 240,Final Inspection Q.C.,2012-02-14T14:45:00Z
Case 240,Packing,2012-02-15T00:00:00Z
Case 261,Turning & Milling - Machine 8,2012-02-06T20:38:00Z
Case 261,Turning & Milling - Machine 8,2012-02-07T02:05:00Z
Case 261,Turning & Milling Q.C.,2012-02-07T06:50:00Z
Case 261,Turning & Milling - Machine 8,2012-02-07T08:16:00Z
Case 261,Turning & Milling Q.C.,2012-02-07T13:20:00Z
Case 261,Flat Grinding - Machine 11,2012-02-08T00:00:00Z
Case 261,Laser Marking - Machine 7,2012-02-08T10:21:00Z
Case 261,Flat Grinding - Machine 11,2012-02-08T13:21:00Z
Case 261,Packing,2012-02-14T00:00:00Z
Case 261,Final Inspection Q.C.,2012-02-14T08:10:00Z
Case 264,Turning & Milling - Machine 6,2012-03-26T08:38:00Z
Case 264,Turning & Milling - Machine 6,2012-03-26T15:28:00Z
Case 264,Turning & Milling - Machine 6,2012-03-26T15:42:00Z
Case 264,Turning & Milling - Machine 6,2012-03-26T20:21:00Z
Case 264,Turning & Milling Q.C.,2012-03-27T07:09:00Z
Case 264,Turning & Milling - Machine 6,2012-03-27T08:04:00Z
Case 264,Turning & Milling - Machine 6,2012-03-27T17:36:00Z
Case 264,Turning & Milling - Machine 6,2012-03-27T20:09:00Z
Case 264,Turning & Milling - Machine 6,2012-03-28T07:00:00Z
Case 264,Turning & Milling Q.C.,2012-03-28T07:05:00Z
Case 264,Turning & Milling Q.C.,2012-03-28T07:41:00Z
Case 264,Turning & Milling - Machine 6,2012-03-28T07:50:00Z
Case 264,Laser Marking - Machine 7,2012-03-28T08:20:00Z
Case 264,Turning & Milling Q.C.,2012-03-29T12:24:00Z
Case 5,Turning & Milling - Machine 8,2012-03-30T06:17:00Z
Case 5,Turning & Milling - Machine 8,2012-03-30T11:14:00Z
Case 55,Turn & Mill. & Screw Assem - Machine 10,2012-02-09T14:27:00Z
Case 55,Turn & Mill. & Screw Assem - Machine 10,2012-02-09T20:13:00Z
Case 55,Turn & Mill. & Screw Assem - Machine 10,2012-02-09T21:22:00Z
Case 55,Turning & Milling Q.C.,2012-02-10T06:59:00Z
Case 55,Turn & Mill. & Screw Assem - Machine 10,2012-02-10T07:12:00Z
Case 55,Turn & Mill. & Screw Assem - Machine 10,2012-02-11T22:05:00Z
Case 55,Turn & Mill. & Screw Assem - Machine 10,2012-02-12T06:58:00Z
Case 55,Turn & Mill. & Screw Assem - Machine 10,2012-02-12T09:04:00Z
Case 55,Turn & Mill. & Screw Assem - Machine 10,2012-02-12T16:06:00Z
Case 55,Turning & Milling Q.C.,2012-02-19T09:00:00Z
Case 55,Laser Marking - Machine 7,2012-02-20T09:49:00Z
Case 55,Flat Grinding - Machine 11,2012-02-21T00:00:00Z
Case 55,Flat Grinding - Machine 11,2012-02-21T09:03:00Z
Case 55,Lapping - Machine 1,2012-02-22T00:00:00Z
Case 55,Lapping - Machine 1,2012-02-22T09:07:00Z
Case 55,Final Inspection Q.C.,2012-02-23T10:21:00Z
Case 55,Packing,2012-02-24T00:00:00Z
Case 55,Turn & Mill. & Screw Assem - Machine 10,2012-03-19T00:00:00Z
Case 6,Turning & Milling - Machine 8,2012-02-06T05:00:00Z
Case 6,Turning & Milling - Machine 8,2012-02-06T06:12:00Z
Case 6,Turning & Milling - Machine 8,2012-02-07T12:40:00Z
Case 6,Turning & Milling - Machine 8,2012-02-07T16:00:00Z
Case 6,Turning & Milling - Machine 8,2012-02-07T20:27:00Z
Case 6,Turning & Milling - Machine 8,2012-02-08T03:39:00Z
Case 6,Turning & Milling Q.C.,2012-02-08T06:50:00Z
Case 6,Turning & Milling Q.C.,2012-02-08T06:50:00Z
Case 6,Turning & Milling - Machine 8,2012-02-08T07:00:00Z
Case 6,Turning & Milling - Machine 8,2012-02-08T20:39:00Z
Case 6,Flat Grinding - Machine 11,2012-02-09T00:00:00Z
Case 6,Turning & Milling Q.C.,2012-02-09T07:14:00Z
Case 6,Flat Grinding - Machine 11,2012-02-10T08:31:00Z
Case 6,Laser Marking - Machine 7,2012-02-12T09:39:00Z
Case 6,Final Inspection Q.C.,2012-02-13T16:40:00Z
Case 6,Packing,2012-02-14T00:00:00Z
Case 6,Packing,2012-02-14T00:00:00Z
Case 6,Laser Marking - Machine 7,2012-02-27T00:00:00Z
Case 65,Turning & Milling - Machine 9,2012-03-22T07:00:00Z
Case 65,Turning & Milling Q.C.,2012-03-22T11:08:00Z
Case 65,Turning & Milling - Machine 9,2012-03-29T10:58:00Z
Case 65,Turning & Milling - Machine 9,2012-03-29T16:43:00Z
Case 65,Turning & Milling - Machine 9,2012-03-29T23:55:00Z
Case 65,Turning & Milling - Machine 9,2012-03-30T09:00:00Z
Case 7,Turning & Milling - Machine 4,2012-03-11T11:48:00Z
Case 7,Setup - Machine 4,2012-03-11T19:37:00Z
Case 7,Turning & Milling - Machine 4,2012-03-12T07:53:00Z
Case 7,Turning & Milling - Machine 4,2012-03-12T17:17:00Z
Case 7,Turning & Milling - Machine 4,2012-03-12T19:48:00Z
Case 7,Turning & Milling - Machine 4,2012-03-12T20:25:00Z
Case 7,Turning & Milling Q.C.,2012-03-13T09:19:00Z
Case 7,Flat Grinding - Machine 11,2012-03-14T15:58:00Z
Case 7,Lapping - Machine 1,2012-03-14T15:58:00Z
Case 7,Laser Marking - Machine 7,2012-03-14T15:59:00Z
Case 7,Final Inspection Q.C.,2012-03-14T17:02:00Z
Case 7,Final Inspection Q.C.,2012-03-15T06:58:00Z
Case 7,Packing,2012-03-16T00:00:00Z
Case 79,Turning & Milling Q.C.,2012-03-12T17:00:00Z
Case 79,Laser Marking - Machine 7,2012-03-13T10:47:00Z
Case 79,Lapping - Machine 1,2012-03-14T00:00:00Z
Case 79,Lapping - Machine 1,2012-03-14T11:17:00Z
Case 79,Final Inspection Q.C.,2012-03-15T14:30:00Z
Case 79,Packing,2012-03-18T00:00:00Z
Case 81,Turning & Milling Q.C.,2012-03-23T11:25:00Z
Case 81,Turning & Milling Q.C.,2012-03-25T11:48:00Z
Case 81,Turning & Milling Q.C.,2012-03-26T06:48:00Z
