case,activity,time
Case 253,Turning & Milling - Machine 9,2012-01-09T02:21:00Z
Case 253,Turning & Milling - Machine 9,2012-01-09T05:49:00Z
Case 253,Turning & Milling Q.C.,2012-01-09T07:04:00Z
Case 253,Turning & Milling - Machine 9,2012-01-09T07:10:00Z
Case 253,Turning & Milling Q.C.,2012-01-09T09:05:00Z
Case 253,Laser Marking - Machine 7,2012-01-10T10:37:00Z
Case 253,Lapping - Machine 1,2012-01-10T10:54:00Z
Case 253,Flat Grinding - Machine 11,2012-01-10T11:59:00Z
Case 253,Lapping - Machine 1,2012-01-10T11:59:00Z
Case 253,Lapping - Machine 1,2012-01-11T00:00:00Z
Case 253,Laser Marking - Machine 7,2012-01-11T14:23:00Z
Case 253,Final Inspection Q.C.,2012-01-15T06:50:00Z
Case 253,Packing,2012-01-16T00:00:00Z
Case 253,Packing,2012-01-16T00:00:00Z
