case,activity,time
Case 108,Turning & Milling - Machine 4,2012-02-27T01:18:00Z
Case 108,Turning & Milling - Machine 4,2012-02-27T06:59:00Z
Case 108,Turning & Milling Q.C.,2012-02-27T07:00:00Z
Case 108,Turning & Milling - Machine 4,2012-02-27T09:13:00Z
Case 108,Turning & Milling Q.C.,2012-02-28T13:20:00Z
Case 108,Laser Marking - Machine 7,2012-02-28T17:52:00Z
Case 108,Flat Grinding - Machine 11,2012-02-29T00:00:00Z
Case 108,Flat Grinding - Machine 11,2012-02-29T22:05:00Z
Case 108,Lapping - Machine 1,2012-03-01T02:35:00Z
Case 108,Lapping - Machine 1,2012-03-01T02:36:00Z
Case 108,Round Grinding - Machine 3,2012-03-07T08:30:00Z
Case 108,Round Grinding - Machine 3,2012-03-07T11:18:00Z
Case 108,Round Grinding - Machine 3,2012-03-07T14:12:00Z
Case 108,Round Grinding - Machine 3,2012-03-07T15:57:00Z
Case 108,Final Inspection Q.C.,2012-03-08T11:00:00Z
Case 108,Packing,2012-03-09T00:00:00Z
Case 108,Final Inspection Q.C.,2012-03-09T09:00:00Z
Case 255,Turning - Machine 8,2012-01-02T07:00:00Z
Case 255,Turning Q.C.,2012-01-05T13:58:00Z
Case 255,Laser Marking - Machine 7,2012-01-10T09:22:00Z
Case 255,Final Inspection Q.C.,2012-01-11T10:22:00Z
Case 255,Packing,2012-01-16T00:00:00Z
