case,activity,time
Case 1,Turning & Milling - Machine 4,2012-01-29T23:24:00Z
Case 1,Turning & Milling - Machine 4,2012-01-30T05:44:00Z
Case 1,Turning & Milling - Machine 4,2012-01-30T06:59:00Z
Case 1,Turning & Milling - Machine 4,2012-01-30T07:21:00Z
Case 1,Turning & Milling Q.C.,2012-01-31T13:20:00Z
Case 1,Laser Marking - Machine 7,2012-02-01T08:18:00Z
Case 1,Lapping - Machine 1,2012-02-14T00:00:00Z
Case 1,Lapping - Machine 1,2012-02-14T00:00:00Z
Case 1,Lapping - Machine 1,2012-02-14T09:05:00Z
Case 1,Lapping - Machine 1,2012-02-14T09:05:00Z
Case 1,Round Grinding - Machine 3,2012-02-14T09:13:00Z
Case 1,Round Grinding - Machine 3,2012-02-14T13:37:00Z
Case 1,Final Inspection Q.C.,2012-02-16T06:59:00Z
Case 1,Final Inspection Q.C.,2012-02-16T12:11:00Z
Case 1,Final Inspection Q.C.,2012-02-16T12:43:00Z
Case 1,Packing,2012-02-17T00:00:00Z
Case 104,Turning & Milling - Machine 5,2012-03-19T20:43:00Z
Case 104,Turning & Milling - Machine 5,2012-03-20T02:27:00Z
Case 104,Turning & Milling - Machine 5,2012-03-20T07:00:00Z
Case 104,Turning & Milling Q.C.,2012-03-20T09:54:00Z
Case 104,Turning & Milling Q.C.,2012-03-21T06:55:00Z
Case 104,Laser Marking - Machine 7,2012-03-21T09:21:00Z
Case 107,Turning & Milling - Machine 10,2012-03-30T06:36:00Z
Case 111,Turning - Machine 4,2012-03-12T21:10:00Z
Case 111,Turning - Machine 4,2012-03-13T00:13:00Z
Case 111,Turning - Machine 4,2012-03-13T07:10:00Z
Case 111,Turning - Machine 4,2012-03-13T16:14:00Z
Case 111,Turning - Machine 4,2012-03-13T19:44:00Z
Case 111,Turning - Machine 4,2012-03-14T06:58:00Z
Case 111,Turning Q.C.,2012-03-14T13:50:00Z
Case 111,Turning & Milling - Machine 4,2012-03-22T11:14:00Z
Case 111,Turning & Milling - Machine 4,2012-03-22T20:00:00Z
Case 111,Turning & Milling - Machine 4,2012-03-23T07:00:00Z
Case 111,Turning - Machine 4,2012-03-23T07:09:00Z
Case 111,Turning - Machine 4,2012-03-24T06:31:00Z
Case 111,Turning & Milling - Machine 4,2012-03-24T13:51:00Z
Case 111,Turning & Milling - Machine 4,2012-03-24T22:52:00Z
Case 111,Turning & Milling - Machine 4,2012-03-25T07:06:00Z
Case 111,Turning & Milling - Machine 4,2012-03-25T19:54:00Z
Case 111,Turning & Milling Q.C.,2012-03-26T07:21:00Z
Case 111,Laser Marking - Machine 7,2012-03-26T15:42:00Z
Case 111,Laser Marking - Machine 7,2012-03-26T16:02:00Z
Case 111,Turning & Milling - Machine 4,2012-03-27T00:51:00Z
Case 111,Turning & Milling Q.C.,2012-03-27T07:00:00Z
Case 111,Turning & Milling Q.C.,2012-03-27T07:00:00Z
Case 111,Turning & Milling - Machine 4,2012-03-27T10:56:00Z
Case 111,Laser Marking - Machine 7,2012-03-27T11:10:00Z
Case 113,SETUP     Turning & Milling - Machine 5,2012-03-15T03:09:00Z
Case 113,Turning & Milling - Machine 5,2012-03-15T07:06:00Z
Case 113,Turning & Milling Q.C.,2012-03-16T07:03:00Z
Case 113,Laser Marking - Machine 7,2012-03-16T11:15:00Z
Case 120,Turning & Milling - Machine 5,2012-02-26T11:19:00Z
Case 120,Turning & Milling - Machine 5,2012-02-26T16:18:00Z
Case 120,Turning & Milling - Machine 5,2012-02-27T00:38:00Z
Case 120,Turning & Milling Q.C.,2012-03-08T08:35:00Z
Case 120,Laser Marking - Machine 7,2012-03-08T13:32:00Z
Case 120,Lapping - Machine 1,2012-03-13T15:52:00Z
Case 120,Round Grinding - Machine 12,2012-03-14T07:00:00Z
Case 120,Round Grinding - Machine 12,2012-03-14T10:26:00Z
Case 120,Round Grinding - Machine 3,2012-03-14T12:22:00Z
Case 120,Round Grinding - Machine 3,2012-03-14T15:54:00Z
Case 120,Round Grinding - Machine 3,2012-03-14T16:31:00Z
Case 120,Final Inspection Q.C.,2012-03-15T07:56:00Z
Case 123,Turning & Milling - Machine 4,2012-03-14T00:00:00Z
Case 123,Turning & Milling - Machine 4,2012-03-14T23:30:00Z
Case 123,Turning & Milling - Machine 4,2012-03-15T02:00:00Z
Case 123,Turning & Milling - Machine 4,2012-03-15T07:31:00Z
Case 123,Turning & Milling - Machine 4,2012-03-15T10:39:00Z
Case 123,Turning & Milling - Machine 4,2012-03-15T19:49:00Z
Case 123,Turning & Milling - Machine 4,2012-03-16T01:28:00Z
Case 123,Turning & Milling - Machine 4,2012-03-16T03:31:00Z
Case 123,Turning & Milling - Machine 4,2012-03-16T07:10:00Z
Case 123,Turning & Milling - Machine 4,2012-03-16T07:12:00Z
Case 123,Turning & Milling Q.C.,2012-03-16T08:31:00Z
Case 123,Turning & Milling - Machine 4,2012-03-17T13:22:00Z
Case 123,Turning & Milling - Machine 4,2012-03-18T00:56:00Z
Case 123,Turning & Milling - Machine 4,2012-03-18T00:57:00Z
Case 123,Turning & Milling - Machine 4,2012-03-18T06:55:00Z
Case 123,Turning & Milling Q.C.,2012-03-18T07:00:00Z
Case 123,Turning & Milling - Machine 4,2012-03-18T09:19:00Z
Case 123,Turning & Milling - Machine 4,2012-03-18T09:20:00Z
Case 123,Laser Marking - Machine 7,2012-03-18T15:03:00Z
Case 138,Turning & Milling - Machine 4,2012-03-26T17:13:00Z
Case 138,Turning & Milling - Machine 4,2012-03-26T19:42:00Z
Case 138,Turning & Milling - Machine 4,2012-03-27T00:45:00Z
Case 138,Turning & Milling - Machine 4,2012-03-27T08:06:00Z
Case 138,Turning & Milling - Machine 5,2012-03-27T16:06:00Z
Case 138,Turning & Milling Q.C.,2012-03-28T10:00:00Z
Case 138,Turning & Milling Q.C.,2012-03-28T10:30:00Z
Case 138,Turning & Milling Q.C.,2012-03-28T11:00:00Z
Case 138,Laser Marking - Machine 7,2012-03-28T14:15:00Z
Case 139,Round Grinding - Q.C.,2012-03-15T06:43:00Z
Case 140,Turning & Milling - Machine 5,2012-03-19T07:14:00Z
Case 140,Turning & Milling - Machine 5,2012-03-19T20:20:00Z
Case 140,Turning & Milling Q.C.,2012-03-20T11:02:00Z
Case 140,Laser Marking - Machine 7,2012-03-20T13:37:00Z
Case 140,Lapping - Machine 1,2012-03-27T08:27:00Z
Case 140,Round Grinding - Machine 2,2012-03-27T12:34:00Z
Case 140,Round Grinding - Machine 2,2012-03-27T16:15:00Z
Case 140,Round Grinding - Machine 2,2012-03-27T17:07:00Z
Case 140,Grinding Rework - Machine 12,2012-03-29T21:36:00Z
Case 140,Round Grinding - Machine 2,2012-03-29T23:54:00Z
Case 140,Packing,2012-03-30T00:00:00Z
Case 140,Final Inspection Q.C.,2012-03-30T07:12:00Z
Case 144,Packing,2012-03-30T00:00:00Z
Case 144,Final Inspection Q.C.,2012-03-30T08:56:00Z
Case 157,Lapping - Machine 1,2012-02-21T00:00:00Z
Case 177,Lapping - Machine 1,2012-01-04T08:20:00Z
Case 177,Round Grinding - Machine 2,2012-01-08T13:21:00Z
Case 177,Round Grinding - Machine 2,2012-01-08T15:09:00Z
Case 177,Round Grinding - Machine 2,2012-01-08T15:59:00Z
Case 177,Final Inspection Q.C.,2012-01-17T07:00:00Z
Case 177,Final Inspection Q.C.,2012-01-17T09:00:00Z
Case 177,Final Inspection Q.C.,2012-01-18T07:00:00Z
Case 177,Final Inspection Q.C.,2012-01-18T08:00:00Z
Case 177,Grinding Rework - Machine 27,2012-02-12T13:42:00Z
Case 177,Packing,2012-02-13T00:00:00Z
Case 177,Final Inspection Q.C.,2012-02-13T09:15:00Z
Case 177,Lapping - Machine 1,2012-03-30T00:00:00Z
Case 178,Round Grinding - Machine 3,2012-01-02T00:00:00Z
Case 178,Round Grinding - Machine 2,2012-01-02T10:00:00Z
Case 178,Grinding Rework - Machine 27,2012-01-11T22:51:00Z
Case 178,Grinding Rework - Machine 27,2012-01-15T08:08:00Z
Case 178,Lapping - Machine 1,2012-01-15T10:13:00Z
Case 178,Lapping - Machine 1,2012-01-15T10:20:00Z
Case 178,Grinding Rework - Machine 27,2012-01-16T06:57:00Z
Case 178,Grinding Rework - Machine 2,2012-01-16T10:14:00Z
Case 178,Grinding Rework - Machine 2,2012-01-16T16:33:00Z
Case 178,Fix - Machine 19,2012-01-16T23:52:00Z
Case 178,Grinding Rework - Machine 2,2012-01-17T06:53:00Z
Case 178,Grinding Rework - Machine 2,2012-01-19T06:51:00Z
Case 178,Grinding Rework - Machine 27,2012-01-20T09:11:00Z
Case 178,Grinding Rework - Machine 27,2012-01-23T16:09:00Z
Case 178,Grinding Rework - Machine 27,2012-01-24T16:06:00Z
Case 178,Grinding Rework - Machine 27,2012-01-25T16:10:00Z
Case 178,Grinding Rework - Machine 27,2012-01-29T08:21:00Z
Case 178,Grinding Rework - Machine 27,2012-01-30T07:12:00Z
Case 178,Grinding Rework - Machine 27,2012-02-09T10:02:00Z
Case 178,Grinding Rework - Machine 27,2012-02-16T11:11:00Z
Case 178,Grinding Rework - Machine 27,2012-03-07T15:20:00Z
Case 178,Grinding Rework - Machine 27,2012-03-07T19:30:00Z
Case 178,Grinding Rework - Machine 27,2012-03-08T07:07:00Z
Case 178,Grinding Rework - Machine 27,2012-03-08T15:58:00Z
Case 178,Grinding Rework - Machine 27,2012-03-09T07:10:00Z
Case 178,Grinding Rework - Machine 27,2012-03-11T08:02:00Z
Case 178,Grinding Rework - Machine 27,2012-03-11T16:08:00Z
Case 178,Grinding Rework - Machine 27,2012-03-12T07:21:00Z
Case 178,Grinding Rework - Machine 27,2012-03-12T12:39:00Z
Case 178,Turning & Milling Q.C.,2012-03-12T16:37:00Z
Case 178,Lapping - Machine 1,2012-03-14T00:00:00Z
Case 178,Laser Marking - Machine 7,2012-03-14T00:00:00Z
Case 178,Round Grinding - Machine 3,2012-03-14T00:00:00Z
Case 178,Round Grinding - Q.C.,2012-03-14T00:00:00Z
Case 179,Grinding Rework - Machine 27,2012-01-11T18:59:00Z
Case 179,Final Inspection Q.C.,2012-01-13T09:00:00Z
Case 179,Packing,2012-01-15T00:00:00Z
Case 179,Grinding Rework - Machine 12,2012-02-20T10:45:00Z
Case 179,Final Inspection Q.C.,2012-02-22T09:00:00Z
Case 179,Packing,2012-02-23T00:00:00Z
Case 179,Final Inspection Q.C.,2012-02-23T07:00:00Z
Case 18,Turning & Milling - Machine 5,2012-01-18T03:51:00Z
Case 18,Turning & Milling - Machine 5,2012-01-18T05:32:00Z
Case 18,Turning & Milling - Machine 5,2012-01-18T07:01:00Z
Case 18,Turning & Milling - Machine 5,2012-01-18T19:56:00Z
Case 18,Turning & Milling - Machine 5,2012-01-18T20:12:00Z
Case 18,Turning & Milling - Machine 4,2012-01-19T02:31:00Z
Case 18,Turning & Milling - Machine 5,2012-01-19T07:22:00Z
Case 18,Turning & Milling - Machine 4,2012-01-19T07:58:00Z
Case 18,Turning & Milling - Machine 5,2012-01-19T15:42:00Z
Case 18,Turning & Milling - Machine 4,2012-01-19T19:58:00Z
Case 18,Turning & Milling - Machine 5,2012-01-19T19:58:00Z
Case 18,Turning & Milling - Machine 5,2012-01-19T19:59:00Z
Case 18,Turning & Milling - Machine 4,2012-01-20T09:22:00Z
Case 18,Turning & Milling - Machine 5,2012-01-21T12:53:00Z
Case 18,Turning & Milling - Machine 4,2012-01-21T12:54:00Z
Case 18,Turning & Milling - Machine 4,2012-01-22T00:00:00Z
Case 18,Turning & Milling - Machine 5,2012-01-22T00:02:00Z
Case 18,Turning & Milling - Machine 4,2012-01-22T00:15:00Z
Case 18,Turning & Milling Q.C.,2012-01-22T07:00:00Z
