case,activity,time
Case 116,Round Grinding - Manual,2012-02-22T06:50:00Z
Case 116,Round Grinding - Manual,2012-02-22T11:29:00Z
Case 116,Round Grinding - Manual,2012-02-22T16:39:00Z
Case 116,Packing,2012-02-23T00:00:00Z
Case 116,Round Grinding - Manual,2012-02-23T07:01:00Z
Case 116,Final Inspection Q.C.,2012-02-23T07:40:00Z
Case 116,Round Grinding - Manual,2012-02-23T09:05:00Z
Case 116,Round Grinding - Manual,2012-02-26T15:49:00Z
Case 116,Round Grinding - Manual,2012-02-27T16:00:00Z
Case 116,Round Grinding - Manual,2012-02-28T15:45:00Z
Case 116,Packing,2012-02-29T00:00:00Z
Case 116,Final Inspection Q.C.,2012-02-29T07:00:00Z
Case 163,Packing,2012-01-09T00:00:00Z
Case 163,Final Inspection Q.C.,2012-01-09T08:00:00Z
Case 163,Turning Q.C.,2012-01-09T10:01:00Z
Case 163,Turning Q.C.,2012-01-10T10:11:00Z
Case 163,Turning - Machine 8,2012-01-22T07:14:00Z
Case 163,Packing,2012-01-24T00:00:00Z
Case 163,Final Inspection Q.C.,2012-01-24T00:00:00Z
Case 163,Final Inspection Q.C.,2012-01-24T00:00:00Z
Case 163,Final Inspection Q.C.,2012-01-24T13:30:00Z
Case 163,Final Inspection Q.C.,2012-01-24T15:30:00Z
Case 163,Packing,2012-03-01T00:00:00Z
Case 163,Final Inspection Q.C.,2012-03-01T09:00:00Z
Case 163,Final Inspection Q.C.,2012-03-22T14:30:00Z
Case 17,Turning - Machine 8,2012-02-26T16:49:00Z
Case 17,Turning - Machine 8,2012-02-26T21:20:00Z
Case 17,Turning - Machine 8,2012-02-26T22:16:00Z
Case 17,Turning - Machine 8,2012-02-26T23:07:00Z
Case 17,Turning - Machine 8,2012-02-27T00:28:00Z
Case 17,Turning - Machine 8,2012-02-27T00:30:00Z
Case 17,Turning - Machine 8,2012-02-27T06:58:00Z
Case 17,Turning - Machine 8,2012-02-27T16:14:00Z
Case 17,Turning - Machine 8,2012-02-27T20:07:00Z
Case 17,Turning - Machine 8,2012-02-28T07:05:00Z
Case 17,Turning - Machine 8,2012-02-28T16:32:00Z
Case 17,Turning - Machine 8,2012-02-28T20:00:00Z
Case 17,Turning - Machine 8,2012-02-29T07:20:00Z
Case 17,Turning Q.C.,2012-02-29T08:00:00Z
Case 17,Turning Q.C.,2012-02-29T13:20:00Z
Case 17,Laser Marking - Machine 7,2012-02-29T13:39:00Z
Case 17,Turning Q.C.,2012-02-29T16:07:00Z
Case 17,Turning - Machine 8,2012-02-29T18:00:00Z
Case 17,Turning - Machine 8,2012-02-29T21:25:00Z
Case 17,Turning - Machine 8,2012-02-29T21:28:00Z
Case 17,Turning - Machine 8,2012-03-01T00:12:00Z
Case 17,Turning Q.C.,2012-03-01T15:04:00Z
Case 17,Turning - Machine 8,2012-03-02T01:24:00Z
Case 17,Turning - Machine 8,2012-03-02T01:25:00Z
Case 17,Turning - Machine 8,2012-03-05T09:31:00Z
Case 17,Turning Q.C.,2012-03-07T07:30:00Z
Case 17,Turning Q.C.,2012-03-08T09:02:00Z
Case 17,Turning - Machine 8,2012-03-08T15:48:00Z
Case 17,Turning - Machine 8,2012-03-10T22:07:00Z
Case 17,Packing,2012-03-22T00:00:00Z
Case 17,Final Inspection Q.C.,2012-03-22T13:30:00Z
Case 17,Turning - Machine 8,2012-03-25T16:57:00Z
Case 17,Turning - Machine 8,2012-03-25T20:53:00Z
Case 17,Turning - Machine 8,2012-03-25T23:14:00Z
Case 17,Turning - Machine 8,2012-03-26T20:00:00Z
Case 17,Turning - Machine 8,2012-03-27T07:39:00Z
Case 17,Turning - Machine 8,2012-03-27T23:07:00Z
Case 17,Turning - Machine 8,2012-03-28T12:37:00Z
Case 17,Turning - Machine 8,2012-03-28T21:43:00Z
Case 17,Turning - Machine 8,2012-03-29T07:11:00Z
