case,activity,time
Case 188,Laser Marking - Machine 7,2012-01-02T12:15:00Z
Case 188,Lapping - Machine 1,2012-01-02T12:20:00Z
Case 188,Lapping - Machine 1,2012-01-02T13:20:00Z
Case 188,Lapping - Machine 1,2012-01-02T16:00:00Z
Case 188,Turning & Milling Q.C.,2012-01-17T11:18:00Z
Case 188,Wire Cut - Machine 13,2012-01-29T07:00:00Z
Case 188,Round Grinding - Machine 3,2012-02-01T12:24:00Z
Case 188,Round Grinding - Machine 3,2012-02-01T14:34:00Z
Case 188,Round Grinding - Machine 3,2012-02-01T20:24:00Z
Case 188,Round Grinding - Machine 3,2012-02-02T07:02:00Z
Case 188,Final Inspection Q.C.,2012-02-02T09:19:00Z
Case 188,Round Grinding - Machine 3,2012-02-02T10:36:00Z
Case 188,Laser Marking - Machine 7,2012-02-02T10:38:00Z
Case 188,Lapping - Machine 1,2012-02-02T13:29:00Z
Case 188,Round Grinding - Machine 3,2012-02-02T13:32:00Z
Case 188,Round Grinding - Machine 3,2012-02-02T19:58:00Z
Case 188,Final Inspection Q.C.,2012-02-03T10:36:00Z
Case 188,Round Grinding - Machine 3,2012-02-04T22:45:00Z
Case 188,Round Grinding - Machine 3,2012-02-05T00:00:00Z
Case 188,Final Inspection Q.C.,2012-02-05T07:28:00Z
Case 188,Final Inspection Q.C.,2012-02-05T14:04:00Z
Case 188,Turning & Milling Q.C.,2012-02-05T14:15:00Z
Case 188,Turning & Milling Q.C.,2012-02-05T14:16:00Z
Case 188,Turning & Milling Q.C.,2012-02-05T14:17:00Z
Case 188,Final Inspection Q.C.,2012-02-05T14:39:00Z
Case 188,Packing,2012-02-06T00:00:00Z
Case 188,Final Inspection Q.C.,2012-02-06T07:14:00Z
Case 188,Packing,2012-02-07T00:00:00Z
Case 188,Final Inspection Q.C.,2012-02-07T13:48:00Z
Case 267,Turning & Milling - Machine 4,2012-01-05T12:14:00Z
Case 267,Turning & Milling - Machine 4,2012-01-05T20:21:00Z
Case 267,Turning & Milling - Machine 4,2012-01-06T01:15:00Z
Case 267,Turning & Milling - Machine 4,2012-01-06T07:34:00Z
Case 267,Turning & Milling Q.C.,2012-01-06T07:39:00Z
Case 267,Turning & Milling - Machine 4,2012-01-06T13:00:00Z
Case 267,Turning & Milling - Machine 4,2012-01-07T07:00:00Z
Case 267,Turning & Milling - Machine 4,2012-01-07T23:37:00Z
Case 267,Turning & Milling - Machine 4,2012-01-08T07:00:00Z
Case 267,Turning & Milling Q.C.,2012-01-08T07:50:00Z
Case 267,Turning & Milling - Machine 4,2012-01-08T16:00:00Z
Case 267,Turning & Milling - Machine 4,2012-01-08T20:00:00Z
Case 267,Turning & Milling - Machine 4,2012-01-09T06:49:00Z
Case 267,Turning & Milling Q.C.,2012-01-09T08:04:00Z
Case 267,Turning & Milling - Machine 4,2012-01-09T20:30:00Z
Case 267,Turning & Milling - Machine 4,2012-01-10T01:00:00Z
Case 267,Turning & Milling - Machine 4,2012-01-10T07:02:00Z
Case 267,Turning & Milling Q.C.,2012-01-10T07:09:00Z
Case 267,Turning & Milling - Machine 4,2012-01-10T12:08:00Z
Case 267,Turning & Milling - Machine 4,2012-01-10T12:45:00Z
Case 267,Turning & Milling - Machine 4,2012-01-10T17:55:00Z
Case 267,Turning & Milling Q.C.,2012-01-11T06:50:00Z
Case 267,Turning & Milling - Machine 4,2012-01-11T07:42:00Z
Case 267,Turning & Milling - Machine 4,2012-01-11T16:10:00Z
Case 267,Turning & Milling Q.C.,2012-01-17T09:57:00Z
Case 267,Turning & Milling Q.C.,2012-01-17T10:20:00Z
