case,activity,time
Case 10,Turning & Milling - Machine 9,2012-01-17T07:01:00Z
Case 10,Turning Q.C.,2012-01-17T11:00:00Z
Case 10,Turning & Milling - Machine 9,2012-01-17T19:24:00Z
Case 10,Turning & Milling - Machine 9,2012-01-17T20:01:00Z
Case 10,Turning & Milling - Machine 9,2012-01-17T23:49:00Z
Case 10,Turning & Milling - Machine 9,2012-01-18T06:59:00Z
Case 10,Turning & Milling - Machine 9,2012-01-18T16:33:00Z
Case 10,Turning & Milling - Machine 9,2012-01-18T17:57:00Z
Case 10,Turning & Milling - Machine 9,2012-01-18T20:10:00Z
Case 10,Turning & Milling - Machine 9,2012-01-19T16:12:00Z
Case 10,Turning & Milling - Machine 9,2012-01-19T18:10:00Z
Case 10,Turning & Milling - Machine 9,2012-01-19T20:09:00Z
Case 10,Turning & Milling - Machine 9,2012-01-22T02:42:00Z
Case 10,Turning & Milling - Machine 9,2012-01-22T07:00:00Z
Case 10,Turning & Milling - Machine 9,2012-01-22T09:02:00Z
Case 10,Turning Q.C.,2012-01-23T07:54:00Z
Case 10,Laser Marking - Machine 7,2012-01-25T09:31:00Z
Case 10,Laser Marking - Machine 7,2012-01-25T11:00:00Z
Case 10,Laser Marking - Machine 7,2012-01-25T13:22:00Z
Case 10,Flat Grinding - Machine 11,2012-01-27T10:30:00Z
Case 10,Flat Grinding - Machine 11,2012-01-29T08:09:00Z
Case 10,Flat Grinding - Machine 11,2012-01-30T15:19:00Z
Case 10,Final Inspection Q.C.,2012-02-02T12:38:00Z
Case 10,Packing,2012-02-03T00:00:00Z
Case 102,Turning & Milling - Machine 8,2012-02-27T16:40:00Z
Case 102,Turning & Milling - Machine 8,2012-02-27T21:46:00Z
Case 102,Turning & Milling - Machine 8,2012-02-28T11:00:00Z
Case 102,Turning & Milling - Machine 8,2012-02-28T14:20:00Z
Case 102,Turning & Milling Q.C.,2012-02-28T14:35:00Z
Case 102,Turning & Milling - Machine 8,2012-02-28T16:12:00Z
Case 102,Turning & Milling - Machine 8,2012-02-28T21:28:00Z
Case 102,Turning & Milling - Machine 8,2012-02-29T01:30:00Z
Case 102,Turning & Milling - Machine 8,2012-02-29T07:32:00Z
Case 102,Turning & Milling - Machine 8,2012-02-29T11:05:00Z
Case 102,Turning & Milling Q.C.,2012-02-29T15:00:00Z
Case 102,Turning & Milling - Machine 8,2012-02-29T16:00:00Z
Case 102,Turning & Milling Q.C.,2012-02-29T16:04:00Z
Case 102,Turning & Milling - Machine 8,2012-02-29T17:19:00Z
Case 102,Turning & Milling - Machine 8,2012-02-29T22:27:00Z
Case 102,Turning & Milling Q.C.,2012-03-01T09:30:00Z
Case 102,Turning & Milling Q.C.,2012-03-06T00:00:00Z
Case 102,Laser Marking - Machine 7,2012-03-08T13:32:00Z
Case 102,Lapping - Machine 1,2012-03-09T00:00:00Z
Case 102,Lapping - Machine 1,2012-03-11T09:38:00Z
Case 102,Round Grinding - Manual,2012-03-11T19:25:00Z
Case 102,Round Grinding - Manual,2012-03-11T20:00:00Z
Case 102,Round Grinding - Machine 3,2012-03-12T07:03:00Z
Case 102,Round Grinding - Q.C.,2012-03-12T07:50:00Z
Case 102,Round Grinding - Machine 3,2012-03-12T08:02:00Z
Case 102,Round Grinding - Machine 3,2012-03-12T08:10:00Z
Case 102,Round Grinding - Q.C.,2012-03-12T10:00:00Z
Case 102,Final Inspection Q.C.,2012-03-12T14:00:00Z
Case 102,Final Inspection Q.C.,2012-03-13T08:00:00Z
Case 102,Packing,2012-03-14T00:00:00Z
Case 11,Turning & Milling - Machine 10,2012-01-15T18:04:00Z
Case 11,Turning & Milling - Machine 10,2012-01-16T06:59:00Z
Case 11,Turning & Milling Q.C.,2012-01-16T09:00:00Z
Case 11,Turning & Milling - Machine 10,2012-01-16T09:50:00Z
Case 11,Turning & Milling - Machine 10,2012-01-16T18:08:00Z
Case 11,Turning & Milling - Machine 10,2012-01-16T23:39:00Z
Case 11,Turning & Milling - Machine 10,2012-01-17T10:46:00Z
Case 11,Turning & Milling Q.C.,2012-01-18T07:00:00Z
Case 11,Turning & Milling - Machine 10,2012-01-18T08:35:00Z
Case 11,Turning & Milling - Machine 10,2012-01-18T08:36:00Z
Case 11,Turning & Milling - Machine 10,2012-01-18T09:57:00Z
Case 11,Turning & Milling Q.C.,2012-01-18T10:14:00Z
Case 11,Turning & Milling - Machine 9,2012-01-19T07:39:00Z
Case 11,Turning & Milling - Machine 10,2012-01-19T09:01:00Z
Case 11,Turning & Milling - Machine 10,2012-01-19T16:08:00Z
Case 11,Laser Marking - Machine 7,2012-01-22T15:01:00Z
Case 11,Turning & Milling Q.C.,2012-01-23T09:24:00Z
Case 11,Laser Marking - Machine 7,2012-01-24T14:41:00Z
Case 11,Packing,2012-01-25T00:00:00Z
Case 11,Final Inspection Q.C.,2012-01-25T11:11:00Z
Case 11,Turning & Milling Q.C.,2012-01-25T14:10:00Z
Case 12,Turning - Machine 9,2012-01-26T02:38:00Z
Case 12,Turning - Machine 9,2012-01-26T08:17:00Z
Case 12,Turning Q.C.,2012-01-26T11:11:00Z
Case 12,Turning - Machine 9,2012-01-26T12:00:00Z
Case 12,Turning - Machine 9,2012-01-26T20:31:00Z
Case 12,Turning - Machine 9,2012-01-27T07:04:00Z
Case 12,Turning - Machine 9,2012-01-29T09:06:00Z
Case 12,Turning - Machine 9,2012-01-29T16:11:00Z
Case 12,Turning - Machine 9,2012-01-29T22:00:00Z
Case 12,Turning - Machine 9,2012-01-30T06:57:00Z
Case 12,Turning Q.C.,2012-01-30T10:29:00Z
Case 12,Turning & Milling - Machine 9,2012-02-05T00:00:00Z
Case 12,Lapping - Machine 1,2012-02-05T14:00:00Z
Case 12,Flat Grinding - Machine 11,2012-02-06T00:00:00Z
Case 12,Flat Grinding - Machine 11,2012-02-06T09:53:00Z
Case 12,Laser Marking - Machine 7,2012-02-06T12:47:00Z
Case 12,Flat Grinding - Machine 11,2012-02-07T00:00:00Z
Case 12,Flat Grinding - Machine 11,2012-02-07T00:00:00Z
Case 12,Final Inspection Q.C.,2012-02-07T13:42:00Z
Case 12,Laser Marking - Machine 7,2012-02-07T13:48:00Z
Case 12,Flat Grinding - Machine 11,2012-02-07T13:51:00Z
Case 12,Flat Grinding - Machine 11,2012-02-07T13:52:00Z
Case 12,Final Inspection Q.C.,2012-02-13T15:50:00Z
Case 12,Final Inspection Q.C.,2012-02-14T10:56:00Z
Case 12,Final Inspection Q.C.,2012-02-16T15:32:00Z
Case 12,Packing,2012-02-17T00:00:00Z
Case 13,Turning - Machine 9,2012-01-17T13:47:00Z
Case 13,Turning - Machine 9,2012-01-17T15:31:00Z
Case 13,Turning - Machine 9,2012-01-17T16:23:00Z
Case 13,Packing,2012-01-18T00:00:00Z
Case 13,Turning Q.C.,2012-01-18T06:50:00Z
Case 13,Laser Marking - Machine 7,2012-01-18T07:45:00Z
Case 13,Final Inspection Q.C.,2012-01-18T10:27:00Z
Case 210,Turning & Milling - Machine 6,2012-01-03T10:00:00Z
Case 210,Turning & Milling - Machine 6,2012-01-03T20:15:00Z
Case 210,Turning & Milling - Machine 6,2012-01-03T21:06:00Z
Case 210,Turning & Milling - Machine 6,2012-01-04T08:00:00Z
Case 210,Turning & Milling - Machine 6,2012-01-04T20:08:00Z
Case 210,Turning & Milling Q.C.,2012-01-05T06:54:00Z
Case 210,Turning & Milling - Machine 6,2012-01-05T08:00:00Z
Case 210,Turning & Milling - Machine 6,2012-01-05T20:22:00Z
Case 210,Turning & Milling Q.C.,2012-01-06T06:50:00Z
Case 210,Turning & Milling Q.C.,2012-01-06T10:04:00Z
