case,activity,time
Case 1,Turning & Milling - Machine 4,2012-01-02T00:00:00Z
Case 1,Turning & Milling - Machine 4,2012-01-02T00:00:00Z
Case 1,Turning & Milling - Machine 4,2012-01-02T01:00:00Z
Case 1,Turning & Milling - Machine 4,2012-01-02T07:00:00Z
Case 1,Turning & Milling Q.C.,2012-01-02T07:00:00Z
Case 1,Laser Marking - Machine 7,2012-01-02T07:00:00Z
Case 1,Lapping - Machine 1,2012-01-02T07:30:00Z
Case 1,Lapping - Machine 1,2012-01-02T09:00:00Z
Case 1,Lapping - Machine 1,2012-01-02T09:00:00Z
Case 1,Lapping - Machine 1,2012-01-02T10:00:00Z
Case 1,Round Grinding - Machine 3,2012-01-02T10:15:00Z
Case 1,Round Grinding - Machine 3,2012-01-02T11:01:00Z
Case 1,Final Inspection Q.C.,2012-01-02T12:15:00Z
Case 1,Final Inspection Q.C.,2012-01-02T12:20:00Z
Case 1,Final Inspection Q.C.,2012-01-02T13:00:00Z
Case 1,Packing,2012-01-02T13:20:00Z
Case 10,Turning & Milling - Machine 9,2012-01-02T14:00:00Z
Case 10,Turning Q.C.,2012-01-02T14:00:00Z
Case 10,Turning & Milling - Machine 9,2012-01-02T14:00:00Z
Case 10,Turning & Milling - Machine 9,2012-01-02T16:00:00Z
Case 10,Turning & Milling - Machine 9,2012-01-02T16:00:00Z
Case 10,Turning & Milling - Machine 9,2012-01-02T19:00:00Z
Case 10,Turning & Milling - Machine 9,2012-01-02T19:50:00Z
Case 10,Turning & Milling - Machine 9,2012-01-02T20:00:00Z
Case 10,Turning & Milling - Machine 9,2012-01-02T20:00:00Z
Case 10,Turning & Milling - Machine 9,2012-01-02T20:19:00Z
Case 10,Turning & Milling - Machine 9,2012-01-02T20:45:00Z
Case 10,Turning & Milling - Machine 9,2012-01-02T22:00:00Z
Case 10,Turning & Milling - Machine 9,2012-01-02T23:00:00Z
Case 10,Turning & Milling - Machine 9,2012-01-03T00:00:00Z
Case 10,Turning & Milling - Machine 9,2012-01-03T00:00:00Z
Case 10,Turning Q.C.,2012-01-03T00:00:00Z
Case 10,Laser Marking - Machine 7,2012-01-03T00:00:00Z
Case 10,Laser Marking - Machine 7,2012-01-03T06:50:00Z
Case 10,Laser Marking - Machine 7,2012-01-03T06:59:00Z
Case 10,Flat Grinding - Machine 11,2012-01-03T07:00:00Z
Case 10,Flat Grinding - Machine 11,2012-01-03T07:00:00Z
Case 10,Flat Grinding - Machine 11,2012-01-03T07:00:00Z
Case 10,Final Inspection Q.C.,2012-01-03T07:01:00Z
Case 10,Packing,2012-01-03T07:04:00Z
Case 100,Turning & Milling - Machine 8,2012-01-03T07:05:00Z
Case 100,Turning & Milling - Machine 8,2012-01-03T07:05:00Z
Case 100,Turning & Milling - Machine 8,2012-01-03T07:10:00Z
Case 100,Turning & Milling - Machine 8,2012-01-03T07:24:00Z
Case 100,Turning & Milling Q.C.,2012-01-03T07:30:00Z
Case 100,Laser Marking - Machine 7,2012-01-03T07:34:00Z
Case 100,Flat Grinding - Machine 11,2012-01-03T07:35:00Z
Case 100,Lapping - Machine 1,2012-01-03T07:44:00Z
Case 100,Round Grinding - Machine 3,2012-01-03T08:24:00Z
Case 100,Round Grinding - Machine 3,2012-01-03T10:00:00Z
Case 100,Grinding Rework - Machine 12,2012-01-03T10:13:00Z
Case 100,Final Inspection Q.C.,2012-01-03T10:17:00Z
Case 100,Packing,2012-01-03T11:00:00Z
Case 100,Final Inspection Q.C.,2012-01-03T11:30:00Z
Case 101,Setup - Machine 8,2012-01-03T11:50:00Z
Case 101,Turning & Milling - Machine 8,2012-01-03T11:52:00Z
Case 101,Turning & Milling - Machine 8,2012-01-03T12:25:00Z
Case 101,Turning & Milling - Machine 8,2012-01-03T12:30:00Z
Case 101,Turning & Milling - Machine 8,2012-01-03T13:20:00Z
Case 101,Turning & Milling - Machine 8,2012-01-03T13:30:00Z
Case 101,Turning & Milling - Machine 8,2012-01-03T14:14:00Z
Case 101,Turning & Milling - Machine 8,2012-01-03T15:35:00Z
Case 101,Turning & Milling Q.C.,2012-01-03T15:55:00Z
Case 101,Flat Grinding - Machine 11,2012-01-03T15:55:00Z
Case 101,Lapping - Machine 1,2012-01-03T15:57:00Z
Case 101,Round Grinding - Machine 12,2012-01-03T16:00:00Z
Case 101,Round Grinding - Machine 12,2012-01-03T16:07:00Z
Case 101,Final Inspection Q.C.,2012-01-03T17:04:00Z
Case 101,Lapping - Machine 1,2012-01-03T18:59:00Z
Case 101,Laser Marking - Machine 7,2012-01-03T20:01:00Z
Case 101,Packing,2012-01-03T20:14:00Z
Case 102,Turning & Milling - Machine 8,2012-01-03T20:15:00Z
Case 102,Turning & Milling - Machine 8,2012-01-03T20:25:00Z
Case 102,Turning & Milling - Machine 8,2012-01-03T21:06:00Z
Case 102,Turning & Milling - Machine 8,2012-01-04T00:00:00Z
Case 102,Turning & Milling Q.C.,2012-01-04T00:00:00Z
Case 102,Turning & Milling - Machine 8,2012-01-04T00:00:00Z
Case 102,Turning & Milling - Machine 8,2012-01-04T00:00:00Z
Case 102,Turning & Milling - Machine 8,2012-01-04T00:00:00Z
Case 102,Turning & Milling - Machine 8,2012-01-04T00:00:00Z
Case 102,Turning & Milling - Machine 8,2012-01-04T00:00:00Z
Case 102,Turning & Milling Q.C.,2012-01-04T00:04:00Z
Case 102,Turning & Milling - Machine 8,2012-01-04T06:50:00Z
Case 102,Turning & Milling Q.C.,2012-01-04T06:59:00Z
Case 102,Turning & Milling - Machine 8,2012-01-04T07:00:00Z
Case 102,Turning & Milling - Machine 8,2012-01-04T07:00:00Z
Case 102,Turning & Milling Q.C.,2012-01-04T07:00:00Z
Case 102,Turning & Milling Q.C.,2012-01-04T07:13:00Z
Case 102,Laser Marking - Machine 7,2012-01-04T07:15:00Z
Case 102,Lapping - Machine 1,2012-01-04T07:39:00Z
Case 102,Lapping - Machine 1,2012-01-04T07:59:00Z
Case 102,Round Grinding - Manual,2012-01-04T08:00:00Z
Case 102,Round Grinding - Manual,2012-01-04T08:20:00Z
Case 102,Round Grinding - Machine 3,2012-01-04T08:35:00Z
Case 102,Round Grinding - Q.C.,2012-01-04T09:00:00Z
Case 102,Round Grinding - Machine 3,2012-01-04T09:00:00Z
Case 102,Round Grinding - Machine 3,2012-01-04T09:21:00Z
Case 102,Round Grinding - Q.C.,2012-01-04T09:35:00Z
Case 102,Final Inspection Q.C.,2012-01-04T09:39:00Z
Case 102,Final Inspection Q.C.,2012-01-04T10:00:00Z
Case 102,Packing,2012-01-04T10:00:00Z
Case 103,Turning & Milling - Machine 8,2012-01-04T10:28:00Z
Case 103,Turning & Milling - Machine 8,2012-01-04T10:52:00Z
Case 103,Turning & Milling - Machine 8,2012-01-04T10:59:00Z
Case 103,Turning & Milling - Machine 8,2012-01-04T11:00:00Z
Case 103,Turning & Milling - Machine 8,2012-01-04T11:05:00Z
Case 103,Turning & Milling Q.C.,2012-01-04T11:12:00Z
