case,activity,time
19393_N200WN_120,MCO,2018-08-07T22:18:00
19393_N200WN_120,ATL,2018-08-07T23:33:00
19393_N200WN_1482,SLC,2018-08-22T15:17:00
19393_N200WN_1482,DEN,2018-08-22T17:03:00
19393_N200WN_2421,SFO,2018-08-17T19:31:00
19393_N200WN_2421,LAX,2018-08-17T20:46:00
19393_N200WN_4860,SLC,2018-08-04T20:13:00
19393_N200WN_4860,LAS,2018-08-04T20:21:00
19393_N200WN_656,DEN,2018-08-03T05:23:00
19393_N200WN_656,ATL,2018-08-03T10:16:00
19393_N200WN_6999,DEN,2018-08-26T15:06:00
19393_N200WN_6999,ATL,2018-08-26T19:58:00
19393_N200WN_745,LAX,2018-08-09T00:47:00
19393_N200WN_745,DEN,2018-08-09T23:34:00
19393_N201LV_1078,SLC,2018-08-28T19:21:00
19393_N201LV_1078,LAX,2018-08-28T20:14:00
19393_N201LV_2084,SEA,2018-08-22T00:46:00
19393_N201LV_2084,DEN,2018-08-22T23:11:00
19393_N201LV_2285,DEN,2018-08-22T10:08:00
19393_N201LV_2285,LAS,2018-08-22T10:54:00
19393_N201LV_2422,DTW,2018-08-08T17:57:00
19393_N201LV_2422,ATL,2018-08-08T21:40:00
19393_N201LV_6811,DEN,2018-08-26T08:41:00
19393_N201LV_6811,LAX,2018-08-26T10:07:00
19393_N202WN_2399,SLC,2018-08-28T14:38:00
19393_N202WN_2399,PHX,2018-08-28T15:05:00
19393_N202WN_2473,DTW,2018-08-24T12:06:00
19393_N202WN_2473,LAS,2018-08-24T13:24:00
19393_N203WN_1104,MCO,2018-08-15T09:56:00
19393_N203WN_1104,FLL,2018-08-15T10:45:00
19393_N203WN_2546,DEN,2018-08-10T19:49:00
19393_N203WN_2546,LAS,2018-08-10T20:21:00
19393_N203WN_26,DEN,2018-08-25T12:56:00
19393_N203WN_26,SEA,2018-08-25T14:51:00
19393_N203WN_380,MCO,2018-08-02T16:03:00
19393_N203WN_380,DEN,2018-08-02T18:03:00
19393_N203WN_6555,SFO,2018-08-12T06:35:00
19393_N203WN_6555,LAS,2018-08-12T08:03:00
19393_N203WN_6557,DEN,2018-08-12T12:19:00
19393_N203WN_6557,LAS,2018-08-12T12:51:00
19393_N204WN_1585,FLL,2018-08-09T00:04:00
19393_N204WN_1585,MCO,2018-08-09T23:18:00
19393_N204WN_1706,DTW,2018-08-15T20:15:00
19393_N204WN_1706,DEN,2018-08-15T21:01:00
19393_N204WN_1894,SLC,2018-08-14T07:21:00
19393_N204WN_1894,LAX,2018-08-14T08:08:00
19393_N204WN_2112,DEN,2018-08-01T09:28:00
19393_N204WN_2112,LAX,2018-08-01T10:41:00
19393_N204WN_2471,DEN,2018-08-06T19:47:00
19393_N204WN_2471,PHX,2018-08-06T20:51:00
19393_N204WN_4149,DEN,2018-08-05T19:59:00
19393_N204WN_4149,SEA,2018-08-05T21:48:00
19393_N204WN_4153,SFO,2018-08-05T16:02:00
19393_N204WN_4153,DEN,2018-08-05T19:19:00
19393_N204WN_5221,MCO,2018-08-04T11:24:00
19393_N204WN_5221,FLL,2018-08-04T12:19:00
19393_N204WN_5404,SLC,2018-08-25T11:43:00
19393_N204WN_5404,DEN,2018-08-25T12:53:00
19393_N204WN_5643,DEN,2018-08-11T08:32:00
19393_N204WN_5643,SEA,2018-08-11T10:22:00
19393_N204WN_5647,DEN,2018-08-11T15:38:00
19393_N204WN_5647,PHX,2018-08-11T16:16:00
19393_N205WN_2190,MCO,2018-08-24T06:20:00
19393_N205WN_2190,ATL,2018-08-24T07:48:00
19393_N205WN_2473,DTW,2018-08-09T11:49:00
19393_N205WN_2473,LAS,2018-08-09T12:35:00
19393_N205WN_719,SLC,2018-08-07T13:44:00
19393_N205WN_719,LAS,2018-08-07T14:08:00
19393_N206WN_1066,SFO,2018-08-28T08:38:00
19393_N206WN_1066,LAX,2018-08-28T10:02:00
19393_N206WN_1656,DEN,2018-08-13T15:12:00
19393_N206WN_1656,ATL,2018-08-13T20:03:00
19393_N206WN_2193,SFO,2018-08-24T12:59:00
19393_N206WN_2193,DEN,2018-08-24T16:38:00
19393_N206WN_2193,DEN,2018-08-24T17:22:00
19393_N206WN_2193,PHX,2018-08-24T18:19:00
19393_N206WN_6048,SLC,2018-08-19T10:11:00
19393_N206WN_6048,LAX,2018-08-19T10:56:00
19393_N208WN_1585,MCO,2018-08-16T19:35:00
19393_N208WN_1585,FLL,2018-08-16T20:27:00
19393_N208WN_1949,DEN,2018-08-30T16:03:00
19393_N208WN_1949,PHX,2018-08-30T16:42:00
19393_N208WN_2207,MCO,2018-08-14T07:00:00
19393_N208WN_2207,FLL,2018-08-14T07:49:00
19393_N208WN_2401,DEN,2018-08-01T05:56:00
19393_N208WN_2401,LAX,2018-08-01T07:09:00
19393_N208WN_322,SFO,2018-08-25T11:43:00
19393_N208WN_322,PHX,2018-08-25T13:26:00
19393_N208WN_4547,MCO,2018-08-26T17:15:00
19393_N208WN_4547,ATL,2018-08-26T19:01:00
19393_N208WN_576,IAD,2018-08-07T10:47:00
19393_N208WN_576,ATL,2018-08-07T12:39:00
19393_N209WN_1540,SLC,2018-08-29T21:33:00
19393_N209WN_1540,PHX,2018-08-29T22:00:00
19393_N209WN_1577,DEN,2018-08-30T14:43:00
19393_N209WN_1577,PHX,2018-08-30T15:27:00
19393_N209WN_1865,DEN,2018-08-15T17:25:00
19393_N209WN_1865,MCO,2018-08-15T22:48:00
19393_N209WN_2207,MCO,2018-08-16T06:58:00
19393_N209WN_2207,FLL,2018-08-16T07:49:00
19393_N209WN_2349,DEN,2018-08-06T06:22:00
19393_N209WN_2349,ATL,2018-08-06T11:07:00
19393_N209WN_783,SLC,2018-08-27T17:24:00
19393_N209WN_783,PHX,2018-08-27T17:52:00
19393_N210WN_933,MCO,2018-08-27T10:09:00
19393_N210WN_933,DEN,2018-08-27T11:41:00
19393_N211WN_1585,MCO,2018-08-22T19:13:00
19393_N211WN_1585,FLL,2018-08-22T20:19:00
19393_N211WN_2399,SLC,2018-08-29T14:39:00
19393_N211WN_2399,PHX,2018-08-29T15:09:00
19393_N211WN_55,SLC,2018-08-15T12:32:00
19393_N211WN_55,PHX,2018-08-15T12:56:00
19393_N211WN_745,DEN,2018-08-30T22:15:00
19393_N211WN_745,LAX,2018-08-30T23:31:00
19393_N212WN_2193,SFO,2018-08-10T13:03:00
19393_N212WN_2193,DEN,2018-08-10T16:38:00
19393_N212WN_2193,DEN,2018-08-10T17:17:00
19393_N212WN_2193,PHX,2018-08-10T17:59:00
19393_N212WN_2444,DEN,2018-08-03T18:08:00
19393_N212WN_2444,ATL,2018-08-03T23:03:00
19393_N212WN_2473,DTW,2018-08-30T11:40:00
19393_N212WN_2473,LAS,2018-08-30T12:59:00
19393_N212WN_2677,MCO,2018-08-04T18:48:00
19393_N212WN_2677,DEN,2018-08-04T20:25:00
19393_N212WN_3010,DEN,2018-08-18T18:30:00
19393_N212WN_3010,PHX,2018-08-18T19:18:00
19393_N213WN_1132,MCO,2018-08-30T18:22:00
19393_N213WN_1132,ATL,2018-08-30T19:48:00
19393_N213WN_2232,FLL,2018-08-07T00:29:00
19393_N213WN_2232,DEN,2018-08-07T18:15:00
19393_N213WN_2473,DTW,2018-08-14T11:45:00
19393_N213WN_2473,LAS,2018-08-14T12:45:00
19393_N213WN_2806,SLC,2018-08-11T10:26:00
19393_N213WN_2806,LAS,2018-08-11T10:32:00
