Rank,Airports (large hubs),IATA,Major cities served,State,2020**,2019[3],2018[4],2017[5],2016[6],2015[7],2014[8],2013[9],2012[10],2011[11],2010[12],2009[13]
-2020,,Code,,,,,,,,,,,,,,
1,Hartsfield-Jackson International Airport,ATL,Atlanta,GA,"42,918,685","53,505,795","51,866,464","50,251,964","50,501,858","49,340,732","46,604,273","45,308,407","45,798,809","44,414,121","43,130,585","42,280,868"
2,Dallas/Fort Worth International Airport,DFW,Dallas & Ft. Worth,TX,"39,364,990","35,778,573","32,800,721","31,816,933","31,283,579","31,589,832","30,766,940","29,038,128","28,022,877","27,518,358","27,100,656","26,663,984"
3,Denver International Airport,DEN,Denver,CO,"33,741,129","33,592,945","31,363,573","29,809,097","28,267,394","26,280,043","26,000,591","25,496,885","25,799,832","25,667,499","25,241,962","24,013,669"
4,O'Hare International Airport,ORD,Chicago,IL,"30,860,251","40,871,223","39,874,879","38,593,028","37,589,899","36,305,668","33,686,811","32,317,835","32,171,743","31,892,301","32,171,831","31,135,732"
5,Los Angeles International Airport,LAX,Los Angeles,CA,"28,779,527","42,939,104","42,626,783","41,232,432","39,636,042","36,351,226","34,314,197","32,425,892","31,326,268","30,528,737","28,857,755","27,439,897"
6,Charlotte Douglas International Airport,CLT,Charlotte,NC,"27,205,082","24,199,688","22,283,574","22,011,251","21,511,880","21,913,166","21,542,277","21,346,601","20,032,426","19,022,535","18,629,181","18,165,476"
7,McCarran International Airport,LAS,Las Vegas,NV,"22,201,479","24,728,361","23,655,285","23,364,393","22,833,267","21,824,231","20,551,016","19,946,179","19,941,173","19,854,759","18,996,738","19,445,952"
8,Phoenix Sky Harbor International Airport,PHX,Phoenix,AZ,"21,978,708","22,433,552","21,623,842","21,185,458","20,896,265","21,351,445","20,344,867","19,525,109","19,556,189","19,750,306","18,907,171","18,559,647"
9,Orlando International Airport,MCO,Orlando,FL,"21,617,803","24,562,271","23,184,634","21,565,448","20,283,541","18,759,938","17,278,608","16,884,524","17,159,425","17,250,415","17,017,491","16,371,016"
10,Seattle–Tacoma International Airport,SEA,Seattle,WA,"20,061,507","25,001,762","24,894,338","22,639,124","21,887,110","21,231,781","18,781,489","17,450,425","16,625,787","16,425,732","15,406,243","15,273,092"
11,Miami International Airport,MIA,Miami,FL,"18,663,858","21,421,031","21,025,210","20,709,225","20,875,813","20,986,341","19,468,523","19,420,089","18,987,488","18,342,158","17,017,654","16,187,768"
12,George Bush Intercontinental Airport,IAH,Houston,TX,"18,213,571","21,905,309","21,157,948","19,603,731","20,062,072","20,595,874","19,772,054","18,952,840","19,038,958","19,306,660","19,528,631","19,290,239"
13,Fort Lauderdale–Hollywood International Airport,FLL,Fort Lauderdale,FL,"16,484,132","17,950,989","17,613,957","15,817,043","14,263,270","13,061,607","11,987,607","11,538,140","11,445,101","11,332,466","10,829,810","10,258,118"
14,San Francisco International Airport,SFO,San Francisco,CA,"16,427,801","27,779,230","27,794,154","26,900,048","25,707,101","24,190,549","22,756,008","21,704,626","21,284,224","20,038,679","19,359,003","18,467,908"
15,John F. Kennedy International Airport,JFK,New York City,NY,"15,602,239","31,036,655","30,541,459","29,533,154","29,239,151","27,782,369","26,244,928","25,036,358","24,520,943","23,664,830","22,934,047","22,710,272"
16,Minneapolis–Saint Paul International Airport,MSP,Minneapolis & Saint Paul,MN,"14,851,289","19,192,917","18,363,493","18,409,704","18,123,844","17,634,252","16,972,678","16,280,835","15,943,751","15,895,653","15,512,487","15,551,206"
17,Newark Liberty International Airport,EWR,Newark & New York City,NJ,"14,683,642","23,160,763","22,798,354","21,571,198","19,923,009","18,684,818","17,680,826","17,546,506","17,035,098","16,814,092","16,571,754","16,659,441"
18,Detroit Metropolitan Airport,DTW,Detroit,MI,"14,105,007","18,143,040","17,437,716","17,036,092","16,826,287","16,255,520","15,775,941","15,683,523","15,599,877","15,716,865","15,643,890","15,211,402"
19,Logan International Airport,BOS,Boston,MA,"12,618,128","20,699,377","20,010,262","18,759,742","17,749,202","16,290,362","15,425,869","14,810,153","14,293,675","14,171,476","13,561,814","12,566,797"
20,Salt Lake City International Airport,SLC,Salt Lake City,UT,"12,559,026","12,840,841","12,228,677","11,615,954","11,143,738","10,634,519","10,139,065","9,668,048","9,579,836","9,701,756","9,910,493","9,903,821"
21,Philadelphia International Airport,PHL,Philadelphia,PA,"11,865,006","16,006,389","15,285,948","14,271,243","14,564,419","15,101,318","14,747,112","14,727,945","14,587,631","14,883,180","14,951,254","15,002,961"
22,Baltimore/Washington International Airport,BWI,Baltimore,MD,"11,204,511","13,284,687","13,373,773","12,976,554","12,340,972","11,738,828","11,022,200","11,132,731","11,183,965","11,067,317","10,848,633","10,338,950"
23,Tampa International Airport,TPA,Tampa,FL,"10,238,151","10,978,756","10,369,622","9,548,580","9,194,994","9,150,414","8,531,561","8,267,752","8,216,153","8,174,194","8,137,222","8,263,294"
24,San Diego International Airport,SAN,San Diego,CA,"8,991,533","12,648,692","12,176,303","11,139,933","10,340,164","9,985,739","9,333,152","8,878,772","8,686,592","8,465,683","8,430,509","8,453,854"
25,Chicago Midway International Airport,MDW,Chicago,IL,"8,853,948","10,081,781","10,685,565","10,912,074","11,044,353","11,044,387","10,318,311","9,915,646","9,431,796","9,134,576","8,518,957","8,253,620"
26,Washington Dulles International Airport,IAD,"Washington, D.C.",VA,"8,333,460","11,884,117","11,628,309","11,024,306","10,596,942","10,363,918","10,415,948","10,570,993","10,785,683","11,043,829","11,276,481","11,132,098"
27,Nashville International Airport,BNA,Nashville,TN,"8,284,570","9,132,344","8,007,049","7,015,119","6,338,517","5,708,852","5,396,958[14]",,,,,
28,LaGuardia Airport,LGA,New York,NY,"7,724,374","15,393,601","15,059,648","14,614,802","14,706,123","14,762,593","13,415,797","13,372,269","12,818,717","11,989,227","12,001,501","11,084,300"
29,Dallas Love Field,DAL,Dallas,TX,"7,684,653","8,408,457","8,134,848","7,876,769","7,554,596","7,040,921","4,522,341",,,,,
30,Ronald Reagan Washington National Airport,DCA,"Washington, D.C.",VA,"7,574,966","11,595,454","11,367,176","11,506,310","11,470,854","11,242,375","10,057,794","9,838,034","9,462,206","9,053,004","8,736,804","8,490,288"
31,Portland International Airport,PDX,Portland,OR,"7,084,543","9,797,408","9,940,866","9,435,473","9,071,154","8,340,234","7,878,760","7,452,603","7,142,620","6,808,486","6,582,227","6,430,119"
