case,activity,time
1,start,2017-01-01T23:59:00
1,A,2017-01-02T00:00:00
1,B,2017-01-02T00:01:00
1,C,2017-01-02T00:02:00
1,D,2017-01-02T00:03:00
1,E,2017-01-02T00:04:00
1,end,2017-01-02T00:05:00
2,start,2017-01-01T23:59:00
2,A,2017-01-02T00:00:00
2,E,2017-01-02T00:01:00
2,end,2017-01-02T00:02:00
3,start,2017-01-01T23:59:00
3,A,2017-01-02T00:00:00
3,B,2017-01-02T00:02:00
3,end,2017-01-02T00:05:00
4,start,2017-01-01T23:59:00
4,A,2017-01-02T00:00:00
4,B,2017-01-02T00:02:00
4,C,2017-01-02T00:04:00
4,D,2017-01-02T00:06:00
4,E,2017-01-02T00:08:00
4,end,2017-01-02T00:09:00
