case,activity,time
3683,1,2012-07-16T15:02:21Z
3683,8,2012-07-16T15:32:02Z
3683,6,2012-07-16T15:41:30Z
3698,8,2012-07-16T15:53:41Z
3698,9,2012-07-16T16:04:52Z
3698,6,2012-07-16T16:05:02Z
3699,1,2012-07-16T16:17:06Z
3699,8,2012-07-16T16:29:32Z
3699,6,2012-07-16T16:32:44Z
3700,1,2012-07-16T17:52:06Z
3700,8,2012-07-16T18:05:21Z
3700,6,2012-07-16T18:11:45Z
3707,1,2012-07-16T18:12:30Z
3707,8,2012-07-16T18:15:14Z
3707,6,2012-07-16T18:15:52Z
3712,1,2012-07-16T18:48:44Z
3712,8,2012-07-16T21:23:52Z
3712,6,2012-07-16T21:24:13Z
3713,1,2012-07-16T21:37:17Z
3713,8,2012-07-16T21:45:42Z
3713,6,2012-07-16T21:45:50Z
3715,1,2012-07-16T22:00:44Z
3715,8,2012-07-16T22:00:55Z
3715,6,2012-07-16T22:28:09Z
3718,1,2012-07-17T15:15:53Z
3718,8,2012-07-17T15:22:25Z
3718,6,2012-07-17T15:22:33Z
3718,8,2012-07-17T15:24:06Z
3718,9,2012-07-17T15:54:58Z
3718,6,2012-07-17T16:16:40Z
3726,1,2012-07-17T16:52:44Z
3726,8,2012-07-17T17:04:48Z
3726,6,2012-07-17T17:05:02Z
3727,1,2012-07-17T18:39:38Z
3727,8,2012-07-17T18:39:48Z
3727,6,2012-07-17T18:41:41Z
3731,1,2012-07-17T18:43:08Z
3731,8,2012-07-17T18:44:26Z
3731,6,2012-07-17T18:44:48Z
3736,8,2012-07-17T18:48:11Z
3736,6,2012-07-17T20:46:20Z
3737,1,2012-07-17T20:47:20Z
3737,8,2012-07-17T20:52:35Z
3737,6,2012-07-17T21:05:02Z
3738,1,2012-07-17T21:13:29Z
3738,8,2012-07-17T21:16:36Z
3738,6,2012-07-17T21:22:35Z
3741,1,2012-07-17T21:49:31Z
3741,8,2012-07-17T22:05:41Z
3741,6,2012-07-17T22:20:57Z
3747,1,2012-07-17T23:31:35Z
3747,8,2012-07-17T23:31:50Z
3747,6,2012-07-17T23:38:54Z
3751,1,2012-07-18T15:01:14Z
3751,8,2012-07-18T15:05:01Z
3751,6,2012-07-18T15:05:36Z
3753,1,2012-07-18T15:09:13Z
3753,8,2012-07-18T15:24:34Z
3753,6,2012-07-18T15:37:44Z
3760,1,2012-07-18T16:05:33Z
3760,6,2012-07-18T16:06:40Z
3763,1,2012-07-18T16:23:30Z
3763,8,2012-07-18T16:23:38Z
3763,6,2012-07-18T16:23:42Z
3764,1,2012-07-18T17:00:13Z
3764,8,2012-07-18T18:27:00Z
3764,6,2012-07-18T18:29:48Z
3765,1,2012-07-18T18:53:53Z
3765,8,2012-07-18T18:56:55Z
3765,6,2012-07-18T18:59:39Z
3769,1,2012-07-18T20:02:20Z
3769,8,2012-07-18T20:02:34Z
3769,6,2012-07-18T20:24:11Z
3772,1,2012-07-18T20:44:16Z
3772,8,2012-07-18T21:11:34Z
3772,6,2012-07-18T21:15:59Z
3772,8,2012-07-18T21:16:28Z
3772,6,2012-07-18T21:17:22Z
3773,1,2012-07-18T21:29:20Z
3773,8,2012-07-18T22:00:13Z
3773,6,2012-07-18T22:04:41Z
3774,1,2012-07-18T22:19:03Z
3774,8,2012-07-18T22:57:05Z
3774,9,2012-07-18T22:58:04Z
3774,6,2012-07-18T22:58:17Z
3777,1,2012-07-18T22:59:06Z
3777,8,2012-07-18T22:59:06Z
3777,6,2012-07-18T23:08:39Z
3779,1,2012-07-18T23:10:24Z
3779,8,2012-07-18T23:14:55Z
3779,4,2012-07-18T23:21:27Z
3779,4,2012-07-18T23:43:16Z
3779,4,2012-07-18T23:44:22Z
3779,6,2012-07-18T23:54:24Z
3781,8,2012-07-19T14:48:08Z
3781,6,2012-07-19T14:56:32Z
3783,1,2012-07-19T15:10:42Z
3783,8,2012-07-19T15:13:07Z
3783,6,2012-07-19T15:14:42Z
3785,1,2012-07-19T15:20:40Z
3785,8,2012-07-19T15:24:17Z
3785,6,2012-07-19T15:32:21Z
3786,1,2012-07-19T15:32:34Z
3786,8,2012-07-19T16:25:47Z
3786,6,2012-07-19T17:04:58Z
3789,1,2012-07-19T17:05:23Z
3789,8,2012-07-19T17:35:41Z
3789,9,2012-07-19T18:33:30Z
3789,8,2012-07-19T18:45:18Z
3789,6,2012-07-19T18:51:18Z
3793,1,2012-07-19T18:55:01Z
3793,8,2012-07-19T18:59:25Z
3793,9,2012-07-19T19:01:33Z
3793,6,2012-07-19T20:10:18Z
3794,1,2012-07-19T20:10:47Z
3794,8,2012-07-19T22:24:54Z
3794,6,2012-07-19T22:53:47Z
3797,1,2012-07-19T23:09:30Z
3797,8,2012-07-19T23:09:40Z
3797,9,2012-07-19T23:51:08Z
3797,8,2012-07-19T23:51:21Z
3797,6,2012-07-19T23:57:30Z
3799,1,2012-07-20T00:00:07Z
3799,8,2012-07-20T00:00:21Z
3799,6,2012-07-20T00:03:57Z
3800,1,2012-07-20T15:01:09Z
3800,8,2012-07-20T15:23:06Z
3800,9,2012-07-20T15:52:34Z
3800,6,2012-07-20T16:01:43Z
3801,1,2012-07-20T16:02:06Z
3801,8,2012-07-20T16:09:14Z
3801,6,2012-07-20T16:49:34Z
3804,1,2012-07-20T16:51:27Z
3804,8,2012-07-20T17:08:19Z
3804,9,2012-07-20T17:59:43Z
3804,8,2012-07-20T18:02:52Z
3804,9,2012-07-20T18:07:01Z
3804,6,2012-07-20T18:07:28Z
3807,1,2012-07-20T18:11:44Z
3807,8,2012-07-20T18:15:16Z
3807,9,2012-07-20T18:17:11Z
3807,6,2012-07-20T18:17:23Z
3811,1,2012-07-20T18:19:26Z
3811,8,2012-07-20T18:23:19Z
3811,6,2012-07-20T18:23:35Z
3814,1,2012-07-20T18:25:48Z
3814,8,2012-07-20T18:26:36Z
3814,6,2012-07-20T20:37:04Z
3820,1,2012-07-20T21:17:21Z
3820,8,2012-07-20T22:06:41Z
3820,6,2012-07-20T22:19:15Z
3820,6,2012-07-20T22:44:15Z
3821,1,2012-07-20T23:10:14Z
3821,8,2012-07-20T23:36:36Z
3821,6,2012-07-23T15:00:05Z
3825,1,2012-07-23T15:14:09Z
3825,8,2012-07-23T15:24:50Z
3825,6,2012-07-23T15:28:56Z
3828,1,2012-07-23T15:30:10Z
3828,8,2012-07-23T15:31:01Z
3828,9,2012-07-23T15:49:04Z
3828,8,2012-07-23T15:49:14Z
3828,9,2012-07-23T15:52:47Z
3828,6,2012-07-23T16:07:11Z
3829,1,2012-07-23T16:21:01Z
3829,8,2012-07-23T16:29:30Z
3829,6,2012-07-23T16:33:14Z
3842,1,2012-07-23T16:48:56Z
3842,8,2012-07-23T16:51:59Z
3842,6,2012-07-23T16:57:49Z
3844,1,2012-07-23T18:05:58Z
3844,8,2012-07-23T18:10:59Z
3844,6,2012-07-23T18:11:25Z
3845,1,2012-07-23T18:14:41Z
3845,8,2012-07-23T18:15:27Z
3845,6,2012-07-23T18:20:33Z
3845,6,2012-07-23T18:21:13Z
3847,1,2012-07-23T19:01:18Z
3847,8,2012-07-23T19:04:02Z
3847,9,2012-07-23T20:09:09Z
3847,6,2012-07-23T20:41:55Z
3853,1,2012-07-23T20:56:58Z
3853,8,2012-07-23T21:52:59Z
3853,6,2012-07-23T22:02:04Z
3854,1,2012-07-23T22:08:08Z
3854,6,2012-07-23T22:21:41Z
3859,1,2012-07-23T22:27:42Z
3859,8,2012-07-23T22:27:49Z
3859,6,2012-07-23T23:01:05Z
3861,1,2012-07-23T23:04:26Z
3861,8,2012-07-23T23:34:10Z
3861,9,2012-07-23T23:34:20Z
3861,6,2012-07-24T15:13:51Z
3862,1,2012-07-24T15:18:46Z
3862,8,2012-07-24T15:22:02Z
3862,6,2012-07-24T15:42:04Z
3864,1,2012-07-24T15:43:06Z
3864,8,2012-07-24T16:11:53Z
3864,6,2012-07-24T16:12:31Z
3869,1,2012-07-24T17:31:05Z
3869,8,2012-07-24T17:38:20Z
3869,9,2012-07-24T17:43:08Z
3869,6,2012-07-24T17:44:24Z
3870,1,2012-07-24T20:13:56Z
3870,6,2012-07-24T20:15:16Z
3871,1,2012-07-24T21:35:31Z
3871,8,2012-07-24T21:50:16Z
3871,6,2012-07-24T22:28:24Z
3878,1,2012-07-24T22:31:53Z
3878,8,2012-07-24T22:39:54Z
3878,6,2012-07-24T22:56:45Z
3879,1,2012-07-24T23:05:30Z
3879,8,2012-07-24T23:10:51Z
3879,6,2012-07-24T23:24:35Z
3889,1,2012-07-24T23:29:40Z
3889,8,2012-07-24T23:33:46Z
3889,6,2012-07-24T23:35:48Z
3891,1,2012-07-24T23:37:47Z
3891,8,2012-07-24T23:42:04Z
3891,6,2012-07-24T23:44:05Z
3897,1,2012-07-25T15:02:54Z
3897,8,2012-07-25T15:22:47Z
3897,4,2012-07-25T15:29:44Z
3897,2,2012-07-25T15:59:53Z
3897,6,2012-07-25T16:23:29Z
3898,1,2012-07-25T16:23:43Z
3898,8,2012-07-25T16:28:00Z
3898,6,2012-07-25T16:29:47Z
3900,1,2012-07-25T16:45:39Z
3900,8,2012-07-25T17:34:12Z
3900,6,2012-07-25T20:14:09Z
3902,1,2012-07-25T20:23:22Z
3902,8,2012-07-25T20:44:54Z
3902,6,2012-07-25T20:47:40Z
3904,1,2012-07-25T20:52:04Z
3904,8,2012-07-25T20:53:03Z
3904,9,2012-07-25T21:32:00Z
3904,6,2012-07-25T21:33:25Z
3907,1,2012-07-25T21:38:16Z
3907,8,2012-07-25T21:53:33Z
3907,6,2012-07-25T22:29:33Z
3909,1,2012-07-25T22:47:20Z
3909,8,2012-07-25T22:47:47Z
3909,9,2012-07-25T22:47:54Z
3909,6,2012-07-25T23:15:05Z
3922,1,2012-07-25T23:31:35Z
3922,8,2012-07-25T23:34:31Z
3922,6,2012-07-25T23:36:51Z
3927,1,2012-07-25T23:38:49Z
3927,8,2012-07-25T23:40:43Z
3927,6,2012-07-25T23:49:27Z
3933,1,2012-07-25T23:52:58Z
3933,8,2012-07-26T15:00:25Z
3933,6,2012-07-26T15:12:09Z
3938,1,2012-07-26T15:13:29Z
3938,8,2012-07-26T15:14:23Z
3938,6,2012-07-26T15:18:26Z
3939,1,2012-07-26T16:16:10Z
3939,8,2012-07-26T17:51:10Z
3939,6,2012-07-26T18:00:53Z
3943,1,2012-07-26T18:03:30Z
3943,8,2012-07-26T18:06:04Z
3943,6,2012-07-26T18:09:20Z
3944,1,2012-07-26T18:16:27Z
3944,8,2012-07-26T18:19:27Z
3944,6,2012-07-26T18:21:02Z
3945,1,2012-07-26T18:22:56Z
3945,8,2012-07-26T18:30:53Z
3945,6,2012-07-26T18:32:51Z
3948,1,2012-07-26T18:42:13Z
3948,8,2012-07-26T18:42:23Z
3948,9,2012-07-26T18:44:23Z
3948,6,2012-07-26T18:45:35Z
3953,1,2012-07-26T18:48:21Z
3953,8,2012-07-26T18:50:31Z
3953,6,2012-07-26T18:50:38Z
3955,1,2012-07-26T18:51:00Z
3955,8,2012-07-26T18:51:58Z
3955,6,2012-07-26T19:28:24Z
3961,1,2012-07-26T19:29:03Z
3961,1,2012-07-26T20:10:16Z
3961,8,2012-07-26T20:10:25Z
3961,6,2012-07-26T20:21:15Z
3964,1,2012-07-26T20:25:06Z
3964,8,2012-07-26T20:26:11Z
3964,6,2012-07-26T20:27:46Z
3970,1,2012-07-26T20:36:50Z
3970,8,2012-07-26T21:22:41Z
3970,6,2012-07-26T21:23:24Z
3971,1,2012-07-26T22:18:01Z
3971,8,2012-07-26T22:18:13Z
3971,6,2012-07-26T22:41:08Z
3979,1,2012-07-26T22:54:55Z
3979,8,2012-07-26T23:13:57Z
3979,6,2012-07-26T23:14:39Z
3986,1,2012-07-26T23:15:06Z
3986,8,2012-07-26T23:18:26Z
3986,6,2012-07-26T23:18:35Z
3989,1,2012-07-26T23:23:51Z
3989,8,2012-07-26T23:24:15Z
3989,6,2012-07-26T23:24:59Z
3995,1,2012-07-26T23:27:12Z
3995,8,2012-07-26T23:31:51Z
3995,9,2012-07-26T23:32:02Z
3995,6,2012-07-26T23:34:07Z
