case,activity,time
2,1,2012-01-02T17:09:36Z
2,8,2012-01-02T17:09:51Z
2,6,2012-01-02T17:29:11Z
5,1,2012-01-02T17:29:12Z
5,8,2012-01-02T18:42:51Z
5,6,2012-01-02T18:43:06Z
5,8,2012-01-02T19:27:38Z
5,6,2012-01-02T19:28:56Z
8,1,2012-01-02T19:49:47Z
8,8,2012-01-02T19:49:58Z
8,6,2012-01-02T21:00:55Z
16,1,2012-01-02T21:00:56Z
16,8,2012-01-02T22:21:41Z
16,8,2012-01-03T00:39:13Z
16,6,2012-01-03T18:33:43Z
22,1,2012-01-03T19:28:28Z
22,8,2012-01-03T19:36:13Z
22,9,2012-01-03T20:08:05Z
22,6,2012-01-03T20:08:19Z
29,1,2012-01-03T23:28:01Z
29,8,2012-01-03T23:34:30Z
29,6,2012-01-03T23:42:41Z
35,1,2012-01-03T23:43:13Z
35,6,2012-01-04T01:07:37Z
38,1,2012-01-04T16:47:15Z
38,8,2012-01-04T17:34:18Z
38,6,2012-01-04T17:34:29Z
40,1,2012-01-04T18:17:14Z
40,8,2012-01-04T18:25:07Z
40,6,2012-01-04T18:39:58Z
43,1,2012-01-04T19:29:40Z
43,8,2012-01-04T19:47:56Z
43,6,2012-01-04T23:06:09Z
45,1,2012-01-05T00:07:42Z
45,8,2012-01-05T01:58:40Z
45,6,2012-01-05T17:26:10Z
50,1,2012-01-05T17:26:27Z
50,8,2012-01-05T19:20:52Z
50,6,2012-01-05T19:34:21Z
50,6,2012-01-05T20:17:06Z
51,1,2012-01-06T00:50:13Z
51,8,2012-01-06T00:50:26Z
51,9,2012-01-06T00:51:50Z
51,6,2012-01-06T00:55:08Z
52,1,2012-01-06T01:55:40Z
52,8,2012-01-06T01:55:53Z
52,6,2012-01-06T01:58:54Z
59,1,2012-01-06T02:00:36Z
59,8,2012-01-09T16:53:54Z
59,6,2012-01-09T17:16:15Z
59,6,2012-01-09T17:16:15Z
66,1,2012-01-09T17:17:49Z
66,8,2012-01-09T17:34:27Z
66,6,2012-01-09T17:35:57Z
68,1,2012-01-09T18:22:16Z
68,8,2012-01-09T18:30:45Z
68,6,2012-01-09T18:55:51Z
76,1,2012-01-09T18:59:35Z
76,6,2012-01-09T18:59:52Z
80,1,2012-01-09T19:01:47Z
80,8,2012-01-09T19:06:53Z
80,6,2012-01-09T19:07:36Z
86,1,2012-01-09T19:31:05Z
86,8,2012-01-09T19:42:43Z
86,9,2012-01-09T19:42:43Z
86,6,2012-01-09T19:49:13Z
93,1,2012-01-09T20:04:38Z
93,8,2012-01-09T20:05:05Z
93,6,2012-01-09T20:15:51Z
96,1,2012-01-09T20:16:03Z
96,8,2012-01-09T20:16:28Z
96,6,2012-01-09T20:19:35Z
96,6,2012-01-09T20:20:28Z
