case,activity,time,
2,1,02/01/2012 17:09,
2,8,02/01/2012 17:09,
2,6,02/01/2012 17:29,
5,1,02/01/2012 17:29,
5,8,02/01/2012 18:42,
5,6,02/01/2012 18:43,
5,8,02/01/2012 19:27,
5,6,02/01/2012 19:28,
8,1,02/01/2012 19:49,
8,8,02/01/2012 19:49,
8,6,02/01/2012 21:00,
16,1,02/01/2012 21:00,
16,8,02/01/2012 22:21,
16,8,03/01/2012 00:39,
16,6,03/01/2012 18:33,
22,1,03/01/2012 19:28,
22,8,03/01/2012 19:36,
22,9,03/01/2012 20:08,
22,6,03/01/2012 20:08,
29,1,03/01/2012 23:28,
29,8,03/01/2012 23:34,
29,6,03/01/2012 23:42,
35,1,03/01/2012 23:43,
35,6,04/01/2012 01:07,
38,1,04/01/2012 16:47,
38,8,04/01/2012 17:34,
38,6,04/01/2012 17:34,
40,1,04/01/2012 18:17,
40,8,04/01/2012 18:25,
40,6,04/01/2012 18:39,
43,1,04/01/2012 19:29,
43,8,04/01/2012 19:47,
43,6,04/01/2012 23:06,
45,1,05/01/2012 00:07,
45,8,05/01/2012 01:58,
45,6,05/01/2012 17:26,
50,1,05/01/2012 17:26,
50,8,05/01/2012 19:20,
50,6,05/01/2012 19:34,
50,6,05/01/2012 20:17,
51,1,06/01/2012 00:50,
51,8,06/01/2012 00:50,
51,9,06/01/2012 00:51,
51,6,06/01/2012 00:55,
52,1,06/01/2012 01:55,
52,8,06/01/2012 01:55,
52,6,06/01/2012 01:58,
59,1,06/01/2012 02:00,
59,8,09/01/2012 16:53,
59,6,09/01/2012 17:16,
59,6,09/01/2012 17:16,
66,1,09/01/2012 17:17,
66,8,09/01/2012 17:34,
66,6,09/01/2012 17:35,
68,1,09/01/2012 18:22,
68,8,09/01/2012 18:30,
68,6,09/01/2012 18:55,
76,1,09/01/2012 18:59,
76,6,09/01/2012 18:59,
80,1,09/01/2012 19:01,
80,8,09/01/2012 19:06,
80,6,09/01/2012 19:07,
86,1,09/01/2012 19:31,
86,8,09/01/2012 19:42,
86,9,09/01/2012 19:42,
86,6,09/01/2012 19:49,
93,1,09/01/2012 20:04,
93,8,09/01/2012 20:05,
93,6,09/01/2012 20:15,
96,1,09/01/2012 20:16,
96,8,09/01/2012 20:16,
96,6,09/01/2012 20:19,
96,6,09/01/2012 20:20,
98,1,09/01/2012 20:21,
98,8,09/01/2012 20:22,
98,6,09/01/2012 20:27,
102,1,09/01/2012 20:30,
102,8,09/01/2012 20:34,
102,6,09/01/2012 20:56,
117,1,09/01/2012 22:12,
117,8,09/01/2012 22:16,
117,6,09/01/2012 22:24,
120,1,09/01/2012 22:24,
120,8,09/01/2012 22:27,
120,9,09/01/2012 22:35,
120,6,09/01/2012 22:58,
124,1,09/01/2012 22:59,
124,8,10/01/2012 01:14,
124,6,10/01/2012 01:14,
126,1,10/01/2012 01:14,
126,1,10/01/2012 01:19,
126,6,10/01/2012 01:23,
132,1,10/01/2012 01:23,
132,8,10/01/2012 17:29,
132,9,10/01/2012 17:42,
132,6,10/01/2012 17:51,
136,1,10/01/2012 17:51,
136,8,10/01/2012 17:55,
136,6,10/01/2012 17:56,
138,1,10/01/2012 18:03,
138,8,10/01/2012 18:11,
138,6,10/01/2012 18:11,
142,1,10/01/2012 18:43,
142,8,10/01/2012 18:43,
