case,activity,time
2,1,2012-01-02T17:09:00Z
2,8,2012-01-02T17:09:00Z
2,6,2012-01-02T17:29:00Z
5,1,2012-01-02T17:29:00Z
5,8,2012-01-02T18:42:00Z
5,6,2012-01-02T18:43:00Z
5,8,2012-01-02T19:27:00Z
5,6,2012-01-02T19:28:00Z
8,1,2012-01-02T19:49:00Z
8,8,2012-01-02T19:49:00Z
8,6,2012-01-02T21:00:00Z
16,1,2012-01-02T21:00:00Z
16,8,2012-01-02T22:21:00Z
16,8,2012-01-03T00:39:00Z
16,6,2012-01-03T18:33:00Z
22,1,2012-01-03T19:28:00Z
22,8,2012-01-03T19:36:00Z
22,9,2012-01-03T20:08:00Z
22,6,2012-01-03T20:08:00Z
29,1,2012-01-03T23:28:00Z
29,8,2012-01-03T23:34:00Z
29,6,2012-01-03T23:42:00Z
35,1,2012-01-03T23:43:00Z
35,6,2012-01-04T01:07:00Z
38,1,2012-01-04T16:47:00Z
38,8,2012-01-04T17:34:00Z
38,6,2012-01-04T17:34:00Z
40,1,2012-01-04T18:17:00Z
40,8,2012-01-04T18:25:00Z
40,6,2012-01-04T18:39:00Z
43,1,2012-01-04T19:29:00Z
43,8,2012-01-04T19:47:00Z
43,6,2012-01-04T23:06:00Z
45,1,2012-01-05T00:07:00Z
45,8,2012-01-05T01:58:00Z
45,6,2012-01-05T17:26:00Z
50,1,2012-01-05T17:26:00Z
50,8,2012-01-05T19:20:00Z
50,6,2012-01-05T19:34:00Z
50,6,2012-01-05T20:17:00Z
51,1,2012-01-06T00:50:00Z
51,8,2012-01-06T00:50:00Z
51,9,2012-01-06T00:51:00Z
51,6,2012-01-06T00:55:00Z
52,1,2012-01-06T01:55:00Z
52,8,2012-01-06T01:55:00Z
52,6,2012-01-06T01:58:00Z
59,1,2012-01-06T02:00:00Z
59,8,2012-01-09T16:53:00Z
59,6,2012-01-09T17:16:00Z
59,6,2012-01-09T17:16:00Z
66,1,2012-01-09T17:17:00Z
66,8,2012-01-09T17:34:00Z
66,6,2012-01-09T17:35:00Z
68,1,2012-01-09T18:22:00Z
68,8,2012-01-09T18:30:00Z
68,6,2012-01-09T18:55:00Z
76,1,2012-01-09T18:59:00Z
76,6,2012-01-09T18:59:00Z
80,1,2012-01-09T19:01:00Z
80,8,2012-01-09T19:06:00Z
80,6,2012-01-09T19:07:00Z
86,1,2012-01-09T19:31:00Z
86,8,2012-01-09T19:42:00Z
86,9,2012-01-09T19:42:00Z
86,6,2012-01-09T19:49:00Z
93,1,2012-01-09T20:04:00Z
93,8,2012-01-09T20:05:00Z
93,6,2012-01-09T20:15:00Z
96,1,2012-01-09T20:16:00Z
96,8,2012-01-09T20:16:00Z
96,6,2012-01-09T20:19:00Z
96,6,2012-01-09T20:20:00Z
98,1,2012-01-09T20:21:00Z
98,8,2012-01-09T20:22:00Z
98,6,2012-01-09T20:27:00Z
102,1,2012-01-09T20:30:00Z
102,8,2012-01-09T20:34:00Z
102,6,2012-01-09T20:56:00Z
117,1,2012-01-09T22:12:00Z
117,8,2012-01-09T22:16:00Z
117,6,2012-01-09T22:24:00Z
120,1,2012-01-09T22:24:00Z
120,8,2012-01-09T22:27:00Z
120,9,2012-01-09T22:35:00Z
120,6,2012-01-09T22:58:00Z
124,1,2012-01-09T22:59:00Z
124,8,2012-01-10T01:14:00Z
124,6,2012-01-10T01:14:00Z
126,1,2012-01-10T01:14:00Z
126,1,2012-01-10T01:19:00Z
126,6,2012-01-10T01:23:00Z
132,1,2012-01-10T01:23:00Z
132,8,2012-01-10T17:29:00Z
132,9,2012-01-10T17:42:00Z
132,6,2012-01-10T17:51:00Z
136,1,2012-01-10T17:51:00Z
136,8,2012-01-10T17:55:00Z
136,6,2012-01-10T17:56:00Z
138,1,2012-01-10T18:03:00Z
138,8,2012-01-10T18:11:00Z
138,6,2012-01-10T18:11:00Z
142,1,2012-01-10T18:43:00Z
142,8,2012-01-10T18:43:00Z
142,6,2012-01-10T18:59:00Z
148,1,2012-01-10T18:59:00Z
148,8,2012-01-10T19:01:00Z
148,6,2012-01-10T19:02:00Z
148,6,2012-01-10T20:06:00Z
152,1,2012-01-10T20:06:00Z
152,8,2012-01-10T20:07:00Z
152,6,2012-01-10T20:15:00Z
153,1,2012-01-10T20:22:00Z
153,8,2012-01-10T20:33:00Z
153,6,2012-01-10T20:44:00Z
168,1,2012-01-10T20:47:00Z
168,8,2012-01-10T22:31:00Z
168,6,2012-01-10T22:55:00Z
170,1,2012-01-10T23:59:00Z
170,8,2012-01-11T00:01:00Z
170,9,2012-01-11T00:07:00Z
170,8,2012-01-11T00:08:00Z
170,9,2012-01-11T00:30:00Z
170,6,2012-01-11T00:57:00Z
176,1,2012-01-11T00:58:00Z
176,8,2012-01-11T01:22:00Z
176,6,2012-01-11T01:23:00Z
177,1,2012-01-11T01:37:00Z
177,8,2012-01-11T02:07:00Z
177,6,2012-01-11T17:03:00Z
178,1,2012-01-11T17:04:00Z
178,8,2012-01-11T17:09:00Z
178,6,2012-01-11T17:48:00Z
179,1,2012-01-11T17:52:00Z
179,8,2012-01-11T18:44:00Z
179,6,2012-01-11T18:46:00Z
186,1,2012-01-11T19:21:00Z
186,8,2012-01-11T19:22:00Z
186,9,2012-01-11T19:22:00Z
186,6,2012-01-11T19:22:00Z
188,1,2012-01-11T19:29:00Z
188,8,2012-01-11T19:38:00Z
188,6,2012-01-11T19:39:00Z
194,1,2012-01-11T19:40:00Z
194,8,2012-01-11T19:42:00Z
194,6,2012-01-11T19:52:00Z
197,1,2012-01-11T19:54:00Z
197,8,2012-01-11T19:55:00Z
197,6,2012-01-11T19:55:00Z
197,6,2012-01-11T20:00:00Z
200,1,2012-01-11T20:00:00Z
200,8,2012-01-11T20:46:00Z
200,6,2012-01-11T20:59:00Z
211,1,2012-01-11T22:16:00Z
211,6,2012-01-11T22:40:00Z
212,1,2012-01-11T23:10:00Z
212,8,2012-01-11T23:15:00Z
212,6,2012-01-11T23:21:00Z
223,1,2012-01-11T23:23:00Z
223,8,2012-01-11T23:28:00Z
223,6,2012-01-12T00:45:00Z
223,6,2012-01-12T00:59:00Z
224,1,2012-01-12T01:44:00Z
224,8,2012-01-12T01:46:00Z
224,9,2012-01-12T17:31:00Z
224,6,2012-01-12T17:34:00Z
241,1,2012-01-12T17:42:00Z
241,8,2012-01-12T17:45:00Z
241,6,2012-01-12T19:39:00Z
242,1,2012-01-12T20:41:00Z
242,8,2012-01-12T20:53:00Z
242,6,2012-01-12T20:57:00Z
247,3,2012-01-12T21:00:00Z
247,8,2012-01-12T21:02:00Z
247,6,2012-01-12T22:49:00Z
251,1,2012-01-12T23:17:00Z
251,8,2012-01-12T23:19:00Z
251,6,2012-01-12T23:25:00Z
255,1,2012-01-13T00:24:00Z
255,8,2012-01-13T01:46:00Z
255,6,2012-01-13T01:58:00Z
261,1,2012-01-13T01:58:00Z
261,8,2012-01-13T01:59:00Z
261,6,2012-01-13T17:20:00Z
266,1,2012-01-13T17:24:00Z
266,6,2012-01-13T17:25:00Z
266,6,2012-01-13T17:28:00Z
272,1,2012-01-13T17:28:00Z
272,8,2012-01-13T17:29:00Z
272,9,2012-01-13T17:32:00Z
272,6,2012-01-13T17:34:00Z
274,1,2012-01-13T17:35:00Z
274,8,2012-01-13T17:39:00Z
274,6,2012-01-13T18:25:00Z
277,1,2012-01-13T18:44:00Z
277,8,2012-01-13T18:45:00Z
277,6,2012-01-13T18:50:00Z
283,1,2012-01-13T18:50:00Z
283,8,2012-01-13T19:17:00Z
283,6,2012-01-13T19:36:00Z
285,1,2012-01-13T19:42:00Z
285,8,2012-01-13T19:48:00Z
