case,activity,time,
295,6,14/01/2012 01:31,
300,1,14/01/2012 01:33,
300,8,14/01/2012 01:34,
300,6,14/01/2012 01:34,
303,1,14/01/2012 01:34,
303,8,14/01/2012 01:54,
503,4,21/01/2012 00:39,
503,6,21/01/2012 02:00,
505,1,21/01/2012 02:05,
505,8,21/01/2012 03:28,
641,6,28/01/2012 00:16,
643,1,28/01/2012 00:25,
643,8,28/01/2012 00:25,
643,6,28/01/2012 00:27,
644,8,28/01/2012 00:32,
644,6,28/01/2012 00:35,
716,8,04/02/2012 01:58,
716,6,04/02/2012 02:05,
817,6,11/02/2012 00:14,
819,1,11/02/2012 00:24,
819,8,11/02/2012 00:48,
819,6,11/02/2012 00:53,
829,1,11/02/2012 01:27,
829,8,11/02/2012 02:05,
829,6,11/02/2012 02:17,
834,1,11/02/2012 02:56,
958,9,18/02/2012 01:44,
1056,1,25/02/2012 00:38,
1056,8,25/02/2012 00:38,
1056,6,25/02/2012 01:44,
1058,1,25/02/2012 01:46,
1271,6,10/03/2012 00:02,
1274,1,10/03/2012 00:38,
1274,8,10/03/2012 01:06,
1274,6,10/03/2012 01:56,
1370,1,17/03/2012 00:29,
1370,8,17/03/2012 00:29,
1370,6,17/03/2012 01:23,
1401,1,17/03/2012 01:28,
1401,8,17/03/2012 01:28,
1569,6,24/03/2012 00:41,
1587,1,24/03/2012 01:02,
1587,8,24/03/2012 01:11,
2258,6,05/05/2012 00:01,
2259,3,05/05/2012 00:01,
2757,8,26/05/2012 00:37,
2757,6,26/05/2012 00:39,
2908,6,02/06/2012 00:37,
3094,1,09/06/2012 00:33,
3679,1,14/07/2012 00:12,
4215,1,04/08/2012 00:21,
