case,activity,time
295,6,2012-01-14T01:31:00Z
300,1,2012-01-14T01:33:00Z
300,8,2012-01-14T01:34:00Z
300,6,2012-01-14T01:34:00Z
303,1,2012-01-14T01:34:00Z
303,8,2012-01-14T01:54:00Z
503,4,2012-01-21T00:39:00Z
503,6,2012-01-21T02:00:00Z
505,1,2012-01-21T02:05:00Z
505,8,2012-01-21T03:28:00Z
641,6,2012-01-28T00:16:00Z
643,1,2012-01-28T00:25:00Z
643,8,2012-01-28T00:25:00Z
643,6,2012-01-28T00:27:00Z
644,8,2012-01-28T00:32:00Z
644,6,2012-01-28T00:35:00Z
716,8,2012-02-04T01:58:00Z
716,6,2012-02-04T02:05:00Z
817,6,2012-02-11T00:14:00Z
819,1,2012-02-11T00:24:00Z
819,8,2012-02-11T00:48:00Z
819,6,2012-02-11T00:53:00Z
829,1,2012-02-11T01:27:00Z
829,8,2012-02-11T02:05:00Z
829,6,2012-02-11T02:17:00Z
834,1,2012-02-11T02:56:00Z
958,9,2012-02-18T01:44:00Z
1056,1,2012-02-25T00:38:00Z
1056,8,2012-02-25T00:38:00Z
1056,6,2012-02-25T01:44:00Z
1058,1,2012-02-25T01:46:00Z
1271,6,2012-03-10T00:02:00Z
1274,1,2012-03-10T00:38:00Z
1274,8,2012-03-10T01:06:00Z
1274,6,2012-03-10T01:56:00Z
1370,1,2012-03-17T00:29:00Z
1370,8,2012-03-17T00:29:00Z
1370,6,2012-03-17T01:23:00Z
1401,1,2012-03-17T01:28:00Z
1401,8,2012-03-17T01:28:00Z
1569,6,2012-03-24T00:41:00Z
1587,1,2012-03-24T01:02:00Z
1587,8,2012-03-24T01:11:00Z
2258,6,2012-05-05T00:01:00Z
2259,3,2012-05-05T00:01:00Z
2757,8,2012-05-26T00:37:00Z
2757,6,2012-05-26T00:39:00Z
2908,6,2012-06-02T00:37:00Z
3094,1,2012-06-09T00:33:00Z
3679,1,2012-07-14T00:12:00Z
4215,1,2012-08-04T00:21:00Z
