case,activity,time
2,1,02/01/2012 17:09:36
2,8,02/01/2012 17:09:51
2,6,02/01/2012 17:29:11
5,1,02/01/2012 17:29:12
5,8,02/01/2012 18:42:51
5,6,02/01/2012 18:43:06
5,8,02/01/2012 19:27:38
5,6,02/01/2012 19:28:56
8,1,02/01/2012 19:49:47
8,8,02/01/2012 19:49:58
8,6,02/01/2012 21:00:55
16,1,02/01/2012 21:00:56
16,8,02/01/2012 22:21:41
16,8,03/01/2012 00:39:13
16,6,03/01/2012 18:33:43
22,1,03/01/2012 19:28:28
22,8,03/01/2012 19:36:13
22,9,03/01/2012 20:08:05
22,6,03/01/2012 20:08:19
29,1,03/01/2012 23:28:01
29,8,03/01/2012 23:34:30
29,6,03/01/2012 23:42:41
35,1,03/01/2012 23:43:13
35,6,04/01/2012 01:07:37
38,1,04/01/2012 16:47:15
38,8,04/01/2012 17:34:18
38,6,04/01/2012 17:34:29
40,1,04/01/2012 18:17:14
40,8,04/01/2012 18:25:07
40,6,04/01/2012 18:39:58
43,1,04/01/2012 19:29:40
43,8,04/01/2012 19:47:56
43,6,04/01/2012 23:06:09
45,1,05/01/2012 00:07:42
45,8,05/01/2012 01:58:40
45,6,05/01/2012 17:26:10
50,1,05/01/2012 17:26:27
50,8,05/01/2012 19:20:52
50,6,05/01/2012 19:34:21
50,6,05/01/2012 20:17:06
51,1,06/01/2012 00:50:13
51,8,06/01/2012 00:50:26
51,9,06/01/2012 00:51:50
51,6,06/01/2012 00:55:08
52,1,06/01/2012 01:55:40
52,8,06/01/2012 01:55:53
52,6,06/01/2012 01:58:54
59,1,06/01/2012 02:00:36
59,8,09/01/2012 16:53:54
59,6,09/01/2012 17:16:15
59,6,09/01/2012 17:16:15
66,1,09/01/2012 17:17:49
66,8,09/01/2012 17:34:27
66,6,09/01/2012 17:35:57
68,1,09/01/2012 18:22:16
68,8,09/01/2012 18:30:45
68,6,09/01/2012 18:55:51
76,1,09/01/2012 18:59:35
76,6,09/01/2012 18:59:52
80,1,09/01/2012 19:01:47
80,8,09/01/2012 19:06:53
80,6,09/01/2012 19:07:36
86,1,09/01/2012 19:31:05
86,8,09/01/2012 19:42:43
86,9,09/01/2012 19:42:43
86,6,09/01/2012 19:49:13
93,1,09/01/2012 20:04:38
93,8,09/01/2012 20:05:05
93,6,09/01/2012 20:15:51
96,1,09/01/2012 20:16:03
96,8,09/01/2012 20:16:28
96,6,09/01/2012 20:19:35
96,6,09/01/2012 20:20:28
98,1,09/01/2012 20:21:29
98,8,09/01/2012 20:22:28
98,6,09/01/2012 20:27:16
102,1,09/01/2012 20:30:54
102,8,09/01/2012 20:34:14
102,6,09/01/2012 20:56:18
117,1,09/01/2012 22:12:24
117,8,09/01/2012 22:16:04
117,6,09/01/2012 22:24:02
120,1,09/01/2012 22:24:20
120,8,09/01/2012 22:27:05
120,9,09/01/2012 22:35:09
120,6,09/01/2012 22:58:58
124,1,09/01/2012 22:59:09
124,8,10/01/2012 01:14:26
124,6,10/01/2012 01:14:53
126,1,10/01/2012 01:14:53
126,1,10/01/2012 01:19:22
126,6,10/01/2012 01:23:38
132,1,10/01/2012 01:23:57
132,8,10/01/2012 17:29:10
132,9,10/01/2012 17:42:03
132,6,10/01/2012 17:51:08
136,1,10/01/2012 17:51:08
136,8,10/01/2012 17:55:26
136,6,10/01/2012 17:56:46
138,1,10/01/2012 18:03:01
138,8,10/01/2012 18:11:10
138,6,10/01/2012 18:11:22
142,1,10/01/2012 18:43:19
142,8,10/01/2012 18:43:37
142,6,10/01/2012 18:59:44
148,1,10/01/2012 18:59:56
148,8,10/01/2012 19:01:57
148,6,10/01/2012 19:02:08
148,6,10/01/2012 20:06:29
152,1,10/01/2012 20:06:39
152,8,10/01/2012 20:07:13
152,6,10/01/2012 20:15:26
153,1,10/01/2012 20:22:28
153,8,10/01/2012 20:33:53
153,6,10/01/2012 20:44:15
168,1,10/01/2012 20:47:30
168,8,10/01/2012 22:31:21
168,6,10/01/2012 22:55:48
170,1,10/01/2012 23:59:48
170,8,11/01/2012 00:01:36
170,9,11/01/2012 00:07:34
170,8,11/01/2012 00:08:08
170,9,11/01/2012 00:30:11
170,6,11/01/2012 00:57:01
176,1,11/01/2012 00:58:08
176,8,11/01/2012 01:22:31
176,6,11/01/2012 01:23:50
177,1,11/01/2012 01:37:22
177,8,11/01/2012 02:07:40
177,6,11/01/2012 17:03:49
178,1,11/01/2012 17:04:06
178,8,11/01/2012 17:09:54
178,6,11/01/2012 17:48:44
179,1,11/01/2012 17:52:55
179,8,11/01/2012 18:44:33
179,6,11/01/2012 18:46:42
186,1,11/01/2012 19:21:48
186,8,11/01/2012 19:22:06
186,9,11/01/2012 19:22:51
186,6,11/01/2012 19:22:51
188,1,11/01/2012 19:29:37
188,8,11/01/2012 19:38:55
188,6,11/01/2012 19:39:13
194,1,11/01/2012 19:40:19
194,8,11/01/2012 19:42:25
194,6,11/01/2012 19:52:28
197,1,11/01/2012 19:54:53
197,8,11/01/2012 19:55:04
197,6,11/01/2012 19:55:24
197,6,11/01/2012 20:00:46
200,1,11/01/2012 20:00:55
200,8,11/01/2012 20:46:46
200,6,11/01/2012 20:59:45
211,1,11/01/2012 22:16:26
211,6,11/01/2012 22:40:05
212,1,11/01/2012 23:10:33
212,8,11/01/2012 23:15:21
212,6,11/01/2012 23:21:45
223,1,11/01/2012 23:23:12
223,8,11/01/2012 23:28:02
223,6,12/01/2012 00:45:36
223,6,12/01/2012 00:59:39
224,1,12/01/2012 01:44:22
224,8,12/01/2012 01:46:12
224,9,12/01/2012 17:31:38
224,6,12/01/2012 17:34:21
241,1,12/01/2012 17:42:47
241,8,12/01/2012 17:45:12
241,6,12/01/2012 19:39:39
242,1,12/01/2012 20:41:57
242,8,12/01/2012 20:53:59
242,6,12/01/2012 20:57:34
247,3,12/01/2012 21:00:49
247,8,12/01/2012 21:02:38
247,6,12/01/2012 22:49:28
251,1,12/01/2012 23:17:06
251,8,12/01/2012 23:19:54
251,6,12/01/2012 23:25:42
255,1,13/01/2012 00:24:44
255,8,13/01/2012 01:46:38
255,6,13/01/2012 01:58:06
261,1,13/01/2012 01:58:23
261,8,13/01/2012 01:59:28
261,6,13/01/2012 17:20:49
266,1,13/01/2012 17:24:54
266,6,13/01/2012 17:25:55
266,6,13/01/2012 17:28:55
272,1,13/01/2012 17:28:56
272,8,13/01/2012 17:29:50
272,9,13/01/2012 17:32:31
272,6,13/01/2012 17:34:29
274,1,13/01/2012 17:35:41
274,8,13/01/2012 17:39:33
274,6,13/01/2012 18:25:14
277,1,13/01/2012 18:44:29
277,8,13/01/2012 18:45:33
277,6,13/01/2012 18:50:13
283,1,13/01/2012 18:50:13
283,8,13/01/2012 19:17:00
283,6,13/01/2012 19:36:45
285,1,13/01/2012 19:42:10
285,8,13/01/2012 19:48:02
285,6,13/01/2012 20:02:55
290,1,13/01/2012 20:12:44
290,9,13/01/2012 20:14:15
290,6,13/01/2012 20:14:30
290,6,13/01/2012 20:26:01
293,1,13/01/2012 20:39:49
293,8,13/01/2012 20:48:56
293,6,13/01/2012 22:16:43
295,1,13/01/2012 22:19:41
295,8,13/01/2012 22:21:36
295,6,13/01/2012 22:30:55
295,6,14/01/2012 01:31:55
300,1,14/01/2012 01:33:19
300,8,14/01/2012 01:34:37
300,6,14/01/2012 01:34:52
303,1,14/01/2012 01:34:57
303,8,14/01/2012 01:54:17
303,6,16/01/2012 17:07:30
305,1,16/01/2012 17:34:48
305,8,16/01/2012 17:35:07
305,9,16/01/2012 17:37:03
305,6,16/01/2012 17:37:16
307,1,16/01/2012 17:37:34
307,8,16/01/2012 17:38:28
